net,length_um
net36,2.14449mm
_0383_,1.0227mm
clknet_0_clk,717.4µm
_0553_,408.64µm
clknet_3_6__leaf_clk,358.235µm
_0911_,351.81µm
_0912_,340.53µm
clknet_3_2__leaf_clk,338.755µm
Encode_EN,329.92µm
_0187_,318.75µm
clknet_3_0__leaf_clk,305.24µm
OpSel_reg\[0\],300.86µm
clknet_3_3__leaf_clk,297.66µm
clknet_3_1__leaf_clk,294.16µm
a_r3\[3\],268.55µm
clknet_3_7__leaf_clk,263.4µm
_0910_,260.74µm
clk,247.95µm
_0185_,246.545µm
_0188_,228.44µm
B_reg\[1\],225.98µm
clknet_3_5__leaf_clk,217.39µm
clknet_3_4__leaf_clk,216.34µm
A_reg\[0\],210.04µm
B_reg\[2\],208.98µm
B_reg\[4\],199.18µm
A_reg\[11\],195.15µm
A_reg\[6\],194.06µm
A_reg\[1\],191.46µm
_0186_,190.22µm
net33,189.72µm
net34,189.3µm
A_reg\[9\],186.675µm
CRT_Start,185.39µm
A_reg\[4\],180.615µm
A_reg\[3\],176.56µm
B_reg\[5\],173.375µm
A_reg\[2\],171.16µm
A_reg\[10\],168.54µm
B_reg\[3\],168.26µm
net259,166.64µm
a_r3\[0\],162.28µm
_0184_,159.98µm
A_reg\[7\],159.22µm
b_r1\[0\],158.785µm
a_r3\[2\],154.94µm
A_reg\[8\],154.395µm
_0554_,153.04µm
B_reg\[8\],150.94µm
a_r1\[0\],148.815µm
net97,141.34µm
net17,140.72µm
a_r2\[0\],138.02µm
B_reg\[6\],135.04µm
a_r3\[1\],134.97µm
B_reg\[7\],124.92µm
net9,120.1µm
net10,119.72µm
A_reg\[13\],118.06µm
A_reg\[5\],117.215µm
_0604_,116.96µm
net11,115.76µm
net8,114.34µm
net72,110.79µm
net12,109.58µm
net215,109.46µm
b_r3\[1\],107.375µm
_0574_,107.15µm
net37,102.96µm
_0892_,101.715µm
net73,101.1µm
b_r2\[2\],100.05µm
_0580_,99.795µm
_0564_,99.43µm
B_reg\[9\],99.22µm
b_r1\[2\],98.68µm
a_r1\[1\],97.16µm
B_reg\[0\],95.62µm
_1354_,94.18µm
a_r1\[2\],93.605µm
b_r0\[0\],93.55µm
net35,92.6µm
_0903_,92.52µm
_0902_,92.3µm
_0889_,89.885µm
_0899_,89.84µm
_0778_,88.82µm
_0628_,88.16µm
