net,length_um
net36,2.147405mm
_0383_,1.035275mm
clknet_0_clk,726.98µm
_0553_,416.86µm
_0911_,362.62µm
clknet_3_6__leaf_clk,358.34µm
clknet_3_2__leaf_clk,353.59µm
_0912_,342.2µm
Encode_EN,330.115µm
_0187_,312.52µm
clknet_3_0__leaf_clk,304.42µm
OpSel_reg\[0\],297.645µm
clknet_3_3__leaf_clk,294.96µm
clknet_3_1__leaf_clk,278µm
a_r3\[3\],273.54µm
clknet_3_7__leaf_clk,271.46µm
_0910_,260.42µm
clknet_3_4__leaf_clk,249.22µm
clk,247.49µm
_0185_,237.6µm
_0188_,232.18µm
B_reg\[1\],229.335µm
clknet_3_5__leaf_clk,214.25µm
A_reg\[0\],212.905µm
a_r3\[0\],211.03µm
B_reg\[2\],208.18µm
A_reg\[11\],201.175µm
A_reg\[10\],193.5µm
A_reg\[1\],193.435µm
_0186_,191.395µm
A_reg\[6\],189.82µm
net34,187.92µm
net33,187.42µm
CRT_Start,185.215µm
B_reg\[4\],184.945µm
B_reg\[5\],183.4µm
A_reg\[2\],176.42µm
A_reg\[4\],175.915µm
A_reg\[3\],174.555µm
A_reg\[9\],171.84µm
A_reg\[8\],163.72µm
_0184_,163.6µm
b_r1\[0\],159.355µm
B_reg\[3\],158.92µm
_0554_,158.52µm
b_r3\[3\],153.1µm
a_r2\[0\],144.335µm
a_r3\[1\],143.835µm
A_reg\[13\],143.36µm
a_r3\[2\],143.02µm
a_r1\[0\],142.835µm
net17,142.44µm
B_reg\[8\],140.62µm
A_reg\[7\],135.92µm
b_r3\[2\],135.87µm
net82,133.8µm
B_reg\[6\],128.9µm
A_reg\[5\],128.28µm
B_reg\[7\],125.895µm
net9,122.82µm
net10,118.71µm
_0892_,118.21µm
net11,115.64µm
_0604_,115.36µm
net8,114.9µm
_0903_,109.93µm
net12,109.58µm
net76,106.13µm
_0778_,104.87µm
b_r3\[1\],104.82µm
net81,104.82µm
net37,104.48µm
_0580_,100.02µm
b_r0\[0\],99.89µm
B_reg\[0\],98.22µm
b_r1\[2\],97.94µm
b_r2\[2\],96.47µm
_0900_,95.7µm
_0564_,95.11µm
A_reg\[15\],95.01µm
_1354_,94.18µm
a_r1\[2\],93.58µm
_0899_,92.72µm
net35,92.48µm
A_reg\[14\],91.86µm
_0901_,91.8µm
_0890_,91.54µm
B_reg\[9\],91.03µm
a_r1\[1\],91µm
_0628_,89.42µm
_0902_,86.29µm
_0889_,86.14µm
_0743_,85.285µm
net13,85.26µm
_0891_,84µm
net1,83.68µm
_0573_,82.995µm
b_r2\[0\],82.9µm
OpSel_reg\[1\],82.16µm
b_r0\[1\],80.59µm
B_reg\[10\],79.8µm
net54,79.29µm
_0732_,77.78µm
a_r2\[1\],77.78µm
_0907_,77.12µm
b_r3\[0\],76.64µm
_1352_,76.52µm
_0561_,76.32µm
_0894_,75.78µm
B_reg\[11\],75.72µm
_1546_,75.66µm
B_reg\[12\],75.08µm
net52,74.56µm
_0574_,73.905µm
_0469_,73.12µm
b_r2\[1\],73.06µm
net61,72.62µm
_0673_,72.2µm
_0624_,70.96µm
_0909_,70.76µm
net90,70.44µm
_0858_,68.52µm
u_crt.start_d,68.06µm
X_crt\[4\],65.76µm
_0803_,65.52µm
A_reg\[12\],65.28µm
_1387_,65.26µm
_0422_,65.06µm
a_r2\[2\],64.87µm
net55,63.86µm
B_reg\[14\],63.08µm
b_r1\[1\],63.02µm
_0234_,62.7µm
_0579_,62.54µm
_1388_,61.8µm
a_r0\[0\],61.02µm
B_reg\[13\],59.5µm
_1159_,59.44µm
_0798_,59.42µm
_0848_,59.28µm
_0387_,59.14µm
CU_state_dbg\[2\],58.76µm
_0790_,58.58µm
_0904_,57.88µm
a_r0\[1\],57.26µm
_1160_,55.38µm
_1544_,55.14µm
_1324_,54.78µm
_0232_,54.26µm
_0607_,54.24µm
_0571_,54.1µm
net28,53.9µm
_0908_,53.46µm
_1315_,53.09µm
_0854_,53.06µm
_0623_,52.72µm
_0307_,52.52µm
_1343_,51.96µm
_0841_,51.92µm
_0850_,51.72µm
_0612_,50.78µm
_0453_,50.7µm
_0409_,50.4µm
_0888_,50.36µm
_0777_,50.34µm
_0767_,50.135µm
_0722_,49.92µm
_0923_,49.64µm
_0847_,49.52µm
_1474_,49.46µm
net88,49.1µm
_1155_,48.12µm
B_reg\[15\],47.985µm
_1011_,47.72µm
_0563_,47.42µm
u_crt.r3\[2\],47.42µm
_0897_,47.4µm
_0175_,47.3µm
_0905_,46.64µm
_0111_,45.76µm
_0268_,45.18µm
CU_state_dbg\[1\],45.16µm
X_crt\[9\],44.86µm
_0914_,44.86µm
net65,44.465µm
_1322_,43.5µm
_1186_,43.44µm
_1336_,43.36µm
net58,43µm
_1332_,42.8µm
_0688_,42.68µm
_0799_,42.66µm
_0724_,42.26µm
u_crt.r1\[1\],41.7µm
_0411_,41.06µm
_0974_,40.76µm
_0906_,40.48µm
_0706_,40.42µm
_0216_,40.38µm
_1218_,39.68µm
_1555_,39.5µm
_0972_,39.38µm
_0586_,39µm
_1156_,38.94µm
_0977_,38.86µm
_1207_,38.84µm
_0826_,38.76µm
u_crt.r2\[0\],38.62µm
_0493_,38.14µm
u_crt.r2\[1\],38.06µm
_0384_,37.35µm
net4,37.14µm
u_crt.r3\[1\],37µm
_0611_,36.86µm
_1176_,36.8µm
_0815_,36.655µm
_0423_,36.56µm
u_crt.r3\[3\],36.38µm
_1356_,36.14µm
_0566_,36.04µm
_0834_,35.995µm
_0346_,35.98µm
_0884_,35.86µm
_1199_,35.68µm
_1090_,35.66µm
_0827_,35.36µm
u_crt.r3\[0\],35.28µm
_0129_,35.26µm
net29,35.12µm
_0142_,35µm
_0832_,34.98µm
_0408_,34.88µm
_0122_,34.72µm
_0108_,34.6µm
_0575_,34.42µm
_1440_,34.42µm
_1431_,34.18µm
_0872_,34.12µm
_1021_,34.12µm
_1307_,34.02µm
_0808_,33.96µm
_1495_,33.88µm
_1439_,33.86µm
_0613_,33.85µm
_0895_,33.8µm
_0558_,33.72µm
_0341_,33.51µm
_1292_,33.41µm
_0451_,33.4µm
_1486_,33.38µm
_0681_,33.3µm
_0435_,33.28µm
_1415_,33.19µm
_0436_,33.16µm
_1063_,33.06µm
_0258_,33.02µm
_1568_,32.97µm
_0143_,32.9µm
_0570_,32.84µm
_0461_,32.78µm
_1194_,32.65µm
_0420_,32.64µm
_0773_,32.46µm
_1071_,32.39µm
_0562_,32.22µm
_1255_,32.175µm
_1499_,32.12µm
net53,32.08µm
_1452_,32.02µm
_1169_,31.94µm
u_crt.r2\[2\],31.88µm
net51,31.78µm
X_crt\[5\],31.62µm
_1493_,31.58µm
_0224_,31.26µm
_0144_,31µm
u_crt.r1\[2\],31µm
_1047_,30.68µm
_1496_,30.6µm
_0421_,30.54µm
u_crt.r1\[0\],30.46µm
_0297_,30.42µm
_0805_,30.4µm
net23,30.4µm
_0321_,30.34µm
_0567_,30.22µm
_0306_,30µm
_0746_,29.88µm
_0718_,29.78µm
_0552_,29.74µm
_0835_,29.74µm
_1592_,29.7µm
_1345_,29.68µm
_0471_,29.64µm
_0320_,29.52µm
_1190_,29.48µm
_0870_,29.24µm
_0953_,29.16µm
_1134_,29.145µm
_1061_,29.14µm
_1570_,29.06µm
_1521_,28.94µm
_1500_,28.8µm
_0820_,28.74µm
_0804_,28.72µm
_0622_,28.7µm
_0276_,28.66µm
_0761_,28.62µm
_0655_,28.6µm
_0960_,28.37µm
_1527_,28.34µm
_0693_,28.28µm
_0338_,28.26µm
_1163_,28.18µm
_0318_,28.17µm
_1595_,28.09µm
_0125_,28.04µm
_0763_,28.04µm
_0393_,28.02µm
_1168_,28µm
_0313_,27.985µm
_0479_,27.88µm
_1229_,27.82µm
_0223_,27.8µm
_0610_,27.64µm
CU_state_dbg\[0\],27.5µm
_0569_,27.495µm
_1275_,27.42µm
_1428_,27.38µm
_0945_,27.36µm
_0364_,27.34µm
_0855_,27.3µm
_1044_,27.265µm
_1179_,27.26µm
_0135_,27.18µm
_1370_,27.14µm
_1140_,27.1µm
_1083_,27.08µm
_0949_,26.98µm
_0593_,26.9µm
_1597_,26.86µm
_0155_,26.72µm
X_crt\[2\],26.6µm
_1285_,26.44µm
_0608_,26.42µm
_0455_,26.4µm
_0542_,26.4µm
_1586_,26.36µm
_0153_,26.34µm
_0744_,26.32µm
net39,26.3µm
X_crt\[0\],26.26µm
_0525_,26.26µm
_0502_,26.2µm
_1212_,26.2µm
_0105_,26.18µm
_1036_,26.18µm
_1266_,26.1µm
_1427_,26µm
_1170_,25.96µm
_0220_,25.8µm
_0499_,25.8µm
_1410_,25.75µm
_0326_,25.7µm
_0873_,25.68µm
_0173_,25.66µm
_1531_,25.66µm
_1420_,25.64µm
_1601_,25.56µm
_0394_,25.49µm
_0237_,25.26µm
_0733_,25.14µm
_0368_,25.12µm
_0352_,25.08µm
_1240_,25.08µm
_1518_,24.8µm
_0483_,24.78µm
_1430_,24.76µm
_0846_,24.705µm
_0238_,24.645µm
_0592_,24.57µm
_1050_,24.56µm
_0957_,24.54µm
_0577_,24.48µm
_0950_,24.48µm
_0312_,24.42µm
_1367_,24.26µm
net2,24.24µm
_0794_,24.22µm
_1033_,24.2µm
_1550_,24.12µm
_0971_,24.1µm
_0390_,24.06µm
_0414_,24.05µm
net47,24.04µm
_0168_,23.92µm
_0106_,23.88µm
_0375_,23.86µm
_1261_,23.84µm
_0113_,23.74µm
_0476_,23.68µm
_0754_,23.68µm
_1252_,23.68µm
_0233_,23.66µm
_0443_,23.66µm
_0582_,23.64µm
_1161_,23.64µm
_0222_,23.58µm
_0578_,23.5µm
_0780_,23.5µm
_0852_,23.5µm
_0433_,23.44µm
_1487_,23.43µm
_1463_,23.42µm
_0504_,23.4µm
_0363_,23.38µm
_1506_,23.38µm
_0583_,23.36µm
_0606_,23.34µm
_0877_,23.34µm
_1473_,23.32µm
_1173_,23.26µm
_0404_,23.22µm
_0689_,23.22µm
