net,length_um
net36,2.15152mm
_0383_,1.039395mm
clknet_0_clk,715.14µm
_0553_,418.22µm
_0911_,363.005µm
_0912_,354.96µm
clknet_3_6__leaf_clk,354.675µm
clknet_3_2__leaf_clk,333.16µm
Encode_EN,333.05µm
_0187_,315.8µm
clknet_3_3__leaf_clk,308.66µm
clknet_3_0__leaf_clk,303.585µm
OpSel_reg\[0\],297.725µm
a_r3\[3\],281.26µm
clknet_3_1__leaf_clk,277.46µm
clknet_3_7__leaf_clk,268.255µm
_0910_,252.995µm
clk,247.95µm
_0185_,240.44µm
B_reg\[1\],230.82µm
_0188_,227.68µm
clknet_3_4__leaf_clk,215.57µm
A_reg\[11\],211.98µm
A_reg\[0\],211.1µm
clknet_3_5__leaf_clk,206.52µm
B_reg\[2\],204.435µm
A_reg\[1\],201.695µm
B_reg\[4\],198.19µm
net34,191.14µm
_0186_,187.94µm
net33,186.5µm
A_reg\[6\],184.195µm
A_reg\[4\],183.46µm
CRT_Start,183.41µm
A_reg\[3\],179.49µm
A_reg\[10\],176µm
B_reg\[5\],172.145µm
B_reg\[3\],170.435µm
A_reg\[9\],169.41µm
A_reg\[2\],165.46µm
_0184_,159.74µm
a_r3\[2\],157.1µm
_0554_,155.28µm
a_r3\[0\],155.22µm
b_r1\[0\],155.13µm
a_r1\[0\],152.95µm
A_reg\[8\],152.75µm
A_reg\[7\],143.795µm
net17,142.1µm
B_reg\[8\],142.06µm
a_r2\[0\],135.5µm
A_reg\[5\],131.22µm
B_reg\[7\],130.015µm
B_reg\[6\],127.4µm
net76,126.84µm
net93,125.36µm
net9,121.46µm
net240,119.7µm
A_reg\[13\],118.68µm
_0892_,118.16µm
net10,117.56µm
net11,116.66µm
_0604_,115.5µm
net8,113.54µm
net73,112.58µm
b_r3\[1\],110.69µm
net12,109.58µm
_0903_,104.66µm
a_r3\[1\],100.92µm
net37,100µm
_0580_,98.88µm
b_r1\[2\],98.46µm
net74,97.4µm
b_r2\[2\],96.3µm
B_reg\[0\],96.08µm
a_r1\[2\],95.88µm
a_r1\[1\],95.22µm
_1354_,94.18µm
_0900_,93.74µm
A_reg\[15\],93.49µm
_0890_,92.1µm
_0889_,91.88µm
_0899_,91.88µm
_0564_,91.43µm
b_r0\[0\],90.97µm
_0778_,90.86µm
B_reg\[11\],88.29µm
_0901_,88.14µm
_0902_,87.68µm
B_reg\[9\],87.26µm
_0628_,87.24µm
_0891_,85.02µm
_0743_,84.825µm
OpSel_reg\[1\],84.75µm
net35,84.5µm
net228,84.2µm
net1,83.8µm
_0573_,82.88µm
net13,82.76µm
b_r2\[0\],82.44µm
_0907_,79.76µm
_0732_,78.12µm
_0894_,77.28µm
u_crt.start_d,76.9µm
net82,76.84µm
_1352_,76.52µm
_0561_,76.08µm
_0574_,75.51µm
a_r2\[1\],75.16µm
b_r0\[1\],74.925µm
net55,74.78µm
_0469_,74.26µm
b_r3\[0\],74.26µm
_0673_,73.58µm
A_reg\[14\],73.48µm
b_r2\[1\],73.06µm
net52,72.96µm
_1546_,72.94µm
A_reg\[12\],72.42µm
B_reg\[12\],71.73µm
_0624_,70.96µm
B_reg\[10\],70.52µm
_0909_,68.265µm
_1387_,67.56µm
net62,67.38µm
_0790_,67.24µm
X_crt\[4\],65.76µm
_0803_,65.3µm
a_r2\[2\],65.21µm
_0422_,65.1µm
_0579_,64.04µm
b_r1\[1\],62.8µm
_0234_,62.02µm
_0858_,61.6µm
_0387_,61.06µm
net56,59.74µm
_0848_,59.7µm
a_r0\[0\],59.52µm
_0888_,59.48µm
_1159_,59.1µm
B_reg\[14\],58.72µm
net83,58.68µm
B_reg\[13\],58.565µm
_0798_,58.5µm
CU_state_dbg\[2\],56.62µm
net80,56.4µm
_1544_,55.6µm
_1160_,55.5µm
_1388_,55.28µm
_0897_,55.2µm
_0612_,54.68µm
CU_state_dbg\[1\],54.59µm
_0623_,54.37µm
net28,54.36µm
_0111_,53.99µm
_0571_,53.86µm
_0904_,53.82µm
B_reg\[15\],53.69µm
_0607_,52.86µm
_0307_,52.52µm
a_r0\[1\],52.42µm
net67,52.27µm
_1315_,52.26µm
_0722_,52.02µm
_0841_,51.92µm
_0232_,51.5µm
_0777_,51.48µm
_1324_,51.1µm
_0767_,50.595µm
_1343_,50.58µm
_1011_,50.08µm
_0854_,49.96µm
_0566_,49.54µm
_0563_,49.42µm
u_crt.r3\[3\],49.42µm
_1474_,49.24µm
_0850_,48.94µm
_0453_,48.52µm
u_crt.r3\[0\],47.94µm
_1155_,47.64µm
_0799_,45.92µm
_0905_,45.6µm
_1336_,45.32µm
X_crt\[9\],44.52µm
_0268_,44.5µm
_0908_,44.5µm
u_crt.r1\[1\],44.4µm
u_crt.r3\[1\],44.12µm
_0409_,43.84µm
u_crt.r3\[2\],43.52µm
_1186_,43.1µm
_0914_,42.18µm
_0688_,41.76µm
net60,41.62µm
_0175_,41.48µm
_0923_,41.28µm
_0586_,40.95µm
_0847_,40.88µm
net230,40.87µm
_0216_,40.84µm
_0974_,40.76µm
_1332_,40.5µm
u_crt.r2\[0\],39.995µm
_0611_,39.7µm
_1176_,39.2µm
_1356_,39.12µm
_0423_,38.86µm
_1322_,38.8µm
_0411_,38.695µm
b_r3\[2\],38.62µm
_0122_,38.52µm
_1156_,38.26µm
_0144_,38.24µm
_0575_,37.98µm
_1486_,37.94µm
_0834_,37.48µm
_1207_,37.36µm
_0706_,36.98µm
_1555_,36.88µm
u_crt.r2\[1\],36.82µm
_0724_,36.74µm
_0977_,36.56µm
_0827_,36.28µm
_0108_,35.86µm
_0420_,35.86µm
_1415_,35.81µm
_0384_,35.7µm
_1071_,35.33µm
b_r3\[3\],35.3µm
_0972_,35.26µm
_0895_,35.18µm
_0906_,35.18µm
net29,35.12µm
_0773_,34.92µm
_1199_,34.81µm
_1307_,34.56µm
_0451_,34.495µm
_0436_,34.42µm
_0826_,34.4µm
_1292_,34.275µm
_0346_,34.16µm
_0341_,34.09µm
_0808_,33.96µm
_0558_,33.9µm
_0872_,33.66µm
_0408_,33.5µm
_1452_,33.38µm
_1595_,33.32µm
_0681_,33.3µm
_0435_,33.28µm
_1194_,33.18µm
_0815_,33.095µm
_0258_,33.02µm
net4,32.72µm
_0932_,32.4µm
_0562_,32.34µm
X_crt\[5\],32.3µm
_0949_,32.26µm
_1134_,32.205µm
_1430_,32.18µm
net53,32.08µm
u_crt.r2\[2\],32µm
_1090_,31.88µm
net51,31.78µm
_0143_,31.76µm
_1440_,31.76µm
_0525_,31.54µm
_1439_,31.54µm
_1431_,31.46µm
net23,31.32µm
u_crt.r1\[2\],31µm
_1499_,30.94µm
_0224_,30.8µm
_1063_,30.78µm
_0297_,30.76µm
_0421_,30.54µm
_0129_,30.46µm
_0542_,30.3µm
_0718_,30.24µm
_1568_,30.2µm
_0306_,30µm
_1218_,29.92µm
_0471_,29.86µm
_1345_,29.68µm
_0153_,29.66µm
_0804_,29.66µm
_0622_,29.62µm
_0321_,29.54µm
_0320_,29.52µm
_1168_,29.36µm
_0313_,29.345µm
_1179_,29.28µm
_0805_,29.26µm
_1592_,29.24µm
_0443_,29.14µm
_0238_,29.11µm
net47,29.1µm
_0461_,28.98µm
_1521_,28.94µm
_1496_,28.65µm
_0390_,28.535µm
_1255_,28.52µm
_0873_,28.5µm
_1190_,28.46µm
_0832_,28.36µm
_1527_,28.34µm
_0693_,28.28µm
_0338_,28.26µm
_0552_,28.24µm
_0852_,28.2µm
_0135_,28.14µm
net39,28.12µm
_1047_,28.06µm
_0393_,28.02µm
_0613_,28µm
_0479_,27.855µm
_1570_,27.8µm
_1586_,27.73µm
_1170_,27.68µm
_0276_,27.64µm
_1597_,27.64µm
_0455_,27.54µm
_0870_,27.52µm
_0960_,27.5µm
_1169_,27.46µm
_1518_,27.42µm
_0364_,27.34µm
_0610_,27.32µm
_1050_,27.3µm
_0446_,27.24µm
_0478_,27.21µm
_0155_,27.2µm
_0113_,27.1µm
_1495_,27.1µm
_0582_,27.08µm
_0820_,27.06µm
_1285_,27µm
_0733_,26.86µm
_0483_,26.82µm
_0950_,26.74µm
_1428_,26.7µm
_0105_,26.64µm
_0493_,26.62µm
_1493_,26.62µm
_0318_,26.58µm
_1500_,26.5µm
_1427_,26.44µm
net129,26.44µm
_0855_,26.38µm
_0594_,26.355µm
_1140_,26.3µm
net233,26.28µm
X_crt\[0\],26.26µm
_0168_,26.22µm
_0746_,26.2µm
_1261_,26.14µm
_1033_,26.1µm
_0220_,25.8µm
_0754_,25.8µm
u_crt.r1\[0\],25.76µm
_1234_,25.68µm
_1601_,25.68µm
_1212_,25.66µm
_0971_,25.56µm
_1240_,25.54µm
_0499_,25.48µm
_0142_,25.44µm
_0223_,25.4µm
_0761_,25.4µm
_0655_,25.3µm
_0237_,25.26µm
_1022_,25.2µm
_1487_,25.1µm
_0352_,25.08µm
_0399_,25.08µm
_0173_,24.98µm
_1252_,24.94µm
_1036_,24.7µm
_0326_,24.68µm
_1061_,24.68µm
_1550_,24.58µm
_0835_,24.56µm
_0957_,24.54µm
_1584_,24.54µm
_1044_,24.505µm
_0312_,24.42µm
_0531_,24.42µm
_1173_,24.16µm
_1229_,24.14µm
_0952_,24.08µm
_0780_,23.96µm
_1574_,23.92µm
_0106_,23.88µm
_1463_,23.88µm
_0136_,23.8µm
_0577_,23.8µm
_0867_,23.8µm
_1266_,23.8µm
_0414_,23.68µm
_0744_,23.68µm
_0556_,23.52µm
_0117_,23.46µm
_0433_,23.44µm
_0375_,23.4µm
_0363_,23.38µm
X_crt\[2\],23.37µm
_0394_,23.33µm
_0314_,23.3µm
_0991_,23.1µm
_0844_,23.04µm
_0222_,23.03µm
_1251_,23µm
_0233_,22.98µm
_0242_,22.96µm
_0131_,22.94µm
_1410_,22.9µm
_0606_,22.88µm
_0988_,22.88µm
_1473_,22.86µm
_1442_,22.84µm
_0877_,22.7µm
_1374_,22.66µm
_0813_,22.62µm
_1589_,22.62µm
_1300_,22.6µm
_1540_,22.54µm
_0404_,22.52µm
_0995_,22.48µm
_0138_,22.44µm
