net,length_um
u_crt.r1\[2\],32.26µm
_0306_,32.18µm
net53,32.08µm
_1493_,32.04µm
u_crt.r2\[2\],32µm
_0622_,31.92µm
_0297_,31.8µm
net51,31.78µm
X_crt\[5\],31.62µm
_0525_,31.54µm
_0562_,31.54µm
_0108_,31.42µm
_0761_,31.38µm
_0143_,31.35µm
net23,31.32µm
_1090_,31.3µm
_0483_,31.14µm
_0461_,30.9µm
_0321_,30.85µm
_1033_,30.835µm
_0224_,30.8µm
_1440_,30.78µm
_1568_,30.66µm
_0542_,30.64µm
_0773_,30.62µm
_1292_,30.615µm
_0746_,30.58µm
_0421_,30.54µm
_0718_,30.24µm
_0320_,30.2µm
_0804_,30.12µm
_0393_,30.06µm
_1168_,29.82µm
_0950_,29.76µm
_0613_,29.7µm
_0346_,29.68µm
_1345_,29.68µm
_1430_,29.54µm
_1179_,29.28µm
_0805_,29.26µm
_1592_,29.24µm
_1140_,29.16µm
net47,29.1µm
_1500_,29.02µm
_0610_,29µm
_0873_,28.96µm
_1521_,28.94µm
_1190_,28.46µm
_0313_,28.425µm
_0820_,28.42µm
_1047_,28.395µm
_0832_,28.36µm
_0276_,28.32µm
_1428_,28.3µm
_0693_,28.28µm
_1507_,28.28µm
_0552_,28.24µm
_0655_,28.14µm
_0884_,28.1µm
_0129_,27.96µm
_1063_,27.95µm
_1275_,27.9µm
_0338_,27.8µm
_1570_,27.8µm
net39,27.66µm
_0966_,27.62µm
_1527_,27.54µm
_1586_,27.52µm
_0852_,27.4µm
_1255_,27.36µm
_1170_,27.34µm
_1036_,27.08µm
_1518_,27.08µm
net227,27.08µm
_0870_,27.06µm
_0238_,27.025µm
_0855_,26.84µm
_0499_,26.8µm
_0144_,26.74µm
X_crt\[0\],26.72µm
_1485_,26.62µm
_0135_,26.5µm
_0754_,26.44µm
_0835_,26.44µm
_1285_,26.44µm
_0364_,26.42µm
u_crt.r1\[0\],26.22µm
_0318_,26.18µm
_1234_,26.14µm
_1261_,26.14µm
_1506_,26.12µm
_0326_,26.04µm
_0934_,26.02µm
_1212_,26µm
net108,25.84µm
_0220_,25.8µm
_1306_,25.8µm
_0399_,25.76µm
_0455_,25.72µm
_0173_,25.66µm
_0153_,25.62µm
_0937_,25.58µm
_0363_,25.56µm
_1602_,25.54µm
_1238_,25.44µm
_0223_,25.4µm
_0334_,25.37µm
_1496_,25.37µm
_1461_,25.3µm
_0237_,25.26µm
_0971_,25.22µm
_1427_,25.18µm
_0478_,25.14µm
_0352_,25.08µm
_1240_,25.08µm
_0531_,24.98µm
_1050_,24.955µm
_0988_,24.82µm
_1439_,24.82µm
_1163_,24.78µm
_1463_,24.68µm
_0744_,24.6µm
_0763_,24.58µm
_0314_,24.3µm
