net,length_um
net36,2.18967mm
_0383_,1.040145mm
clknet_0_clk,720.72µm
_0553_,418.58µm
_0911_,359.58µm
clknet_3_6__leaf_clk,355.96µm
_0912_,355.06µm
clknet_3_2__leaf_clk,346.36µm
Encode_EN,319.825µm
_0187_,317.55µm
clknet_3_0__leaf_clk,304.965µm
clknet_3_3__leaf_clk,301.58µm
OpSel_reg\[0\],293.45µm
clknet_3_1__leaf_clk,284.34µm
a_r3\[3\],271.835µm
clknet_3_7__leaf_clk,270.415µm
_0910_,254.585µm
clk,247.95µm
_0185_,240.3µm
_0188_,238.4µm
B_reg\[1\],238.13µm
clknet_3_4__leaf_clk,230.72µm
B_reg\[2\],221.52µm
clknet_3_5__leaf_clk,206.02µm
A_reg\[0\],204.655µm
A_reg\[11\],199.255µm
B_reg\[4\],197.9µm
CRT_Start,193.88µm
A_reg\[1\],193.615µm
net34,190.22µm
net33,189.72µm
_0186_,188.98µm
A_reg\[10\],187.66µm
A_reg\[6\],185.96µm
A_reg\[3\],183.095µm
B_reg\[5\],171.375µm
A_reg\[8\],171.14µm
A_reg\[4\],170.26µm
A_reg\[2\],169.72µm
_0184_,167.965µm
A_reg\[13\],166.85µm
B_reg\[3\],164.94µm
b_r1\[0\],162.72µm
_0554_,156.66µm
a_r3\[0\],154.575µm
A_reg\[9\],153.3µm
a_r3\[2\],144.935µm
a_r2\[0\],141.72µm
net17,140.98µm
a_r1\[0\],138.755µm
A_reg\[7\],137.095µm
B_reg\[8\],135.845µm
B_reg\[7\],130.44µm
B_reg\[6\],129.78µm
A_reg\[5\],127.955µm
net301,124.74µm
a_r3\[1\],124.495µm
net83,121.8µm
net9,120.78µm
net10,118.71µm
net11,115.98µm
net8,114.9µm
_0892_,113.58µm
_0604_,112.04µm
net12,109.58µm
b_r3\[1\],108.84µm
net81,107.04µm
net77,106.6µm
_0564_,105.79µm
net37,105.04µm
_0903_,104.32µm
A_reg\[15\],101.37µm
B_reg\[0\],98.84µm
b_r2\[2\],98.71µm
a_r1\[1\],97.88µm
b_r1\[2\],97.76µm
_0574_,96.03µm
b_r0\[0\],95.55µm
_0889_,94.56µm
_1354_,94.18µm
net35,92.14µm
A_reg\[14\],91.59µm
_0778_,91.54µm
B_reg\[11\],90.61µm
_0900_,90.05µm
a_r1\[2\],89.53µm
_0628_,89.42µm
_0890_,88.42µm
_0899_,87.88µm
B_reg\[9\],86.485µm
b_r3\[0\],86.3µm
_0901_,85.84µm
_0891_,85.36µm
_0743_,84.825µm
_0902_,84.66µm
_0894_,84.36µm
net13,84.12µm
net292,83.74µm
_0573_,83.46µm
OpSel_reg\[1\],83.22µm
net1,82.88µm
b_r2\[0\],82.52µm
_0732_,80.54µm
B_reg\[10\],78.95µm
net90,78.54µm
_0561_,78µm
_0907_,77.68µm
B_reg\[12\],77.35µm
b_r2\[1\],77.28µm
b_r0\[1\],77.14µm
a_r2\[1\],76.9µm
u_crt.start_d,76.56µm
_1352_,76.52µm
_0469_,75.9µm
net55,74.52µm
_0790_,74.04µm
_0673_,73.58µm
net52,72.96µm
_1546_,72.6µm
net63,72.22µm
_0858_,70.68µm
A_reg\[12\],70.14µm
_0624_,68.92µm
_0909_,68.8µm
_1387_,66.18µm
_0803_,65.98µm
_1388_,65.78µm
X_crt\[4\],65.76µm
net105,65.26µm
net88,64.94µm
a_r2\[2\],64.82µm
_0579_,64.02µm
b_r1\[1\],63.72µm
_0234_,62.99µm
_0848_,62.54µm
B_reg\[14\],62.28µm
_0798_,61.84µm
_0571_,61.7µm
_0888_,60.78µm
_0422_,60.4µm
a_r0\[0\],59.02µm
B_reg\[15\],58.905µm
_0387_,58.46µm
_1159_,58.3µm
net60,57.94µm
B_reg\[13\],57.73µm
b_r3\[2\],57.56µm
_0307_,57.32µm
_0904_,56.86µm
CU_state_dbg\[2\],56.51µm
_1160_,55.38µm
u_crt.r3\[0\],54.98µm
_0897_,54.74µm
_1544_,54.68µm
_0607_,54.67µm
_0623_,54.17µm
_0563_,54.12µm
net28,53.9µm
net297,53.54µm
_0722_,52.92µm
_0841_,52.84µm
net66,52.705µm
CU_state_dbg\[1\],52.28µm
_0232_,51.96µm
_1343_,51.96µm
_1315_,51.92µm
a_r0\[1\],51.74µm
_0767_,50.9µm
_0612_,50.78µm
_0777_,50.7µm
_1324_,50.42µm
_0409_,50.4µm
_0453_,50.24µm
_0854_,49.62µm
_1011_,48.4µm
_0850_,48.04µm
_0799_,46.48µm
_0847_,45.36µm
_0905_,44.94µm
u_crt.r1\[1\],44.86µm
_0923_,44.8µm
X_crt\[9\],44.52µm
_0974_,44.36µm
_1336_,44.23µm
_0111_,44.17µm
_0688_,44.06µm
_1155_,43.78µm
_0724_,43.74µm
u_crt.r3\[2\],43.64µm
_0908_,43.43µm
_0268_,43.34µm
_1474_,43.14µm
_1186_,43.1µm
_1440_,43.04µm
_0972_,42.48µm
_0706_,41.88µm
_1332_,41.76µm
net61,41.62µm
net294,41.54µm
_0175_,41.36µm
_0586_,40.95µm
_0216_,40.84µm
_1218_,40.34µm
_0681_,40.04µm
_1156_,39.86µm
_1322_,39.82µm
u_crt.r3\[1\],39.62µm
_0914_,39.42µm
_0108_,38.86µm
b_r3\[3\],38.44µm
_0423_,38.4µm
_1176_,38.28µm
u_crt.r2\[0\],37.94µm
_0834_,37.52µm
_0411_,37.44µm
_1356_,37.28µm
net4,37.14µm
_1207_,36.9µm
_1499_,36.7µm
_0977_,36.56µm
u_crt.r2\[1\],35.78µm
_0493_,35.68µm
_0575_,35.68µm
_1199_,35.68µm
_1071_,35.63µm
_0122_,35.54µm
_0815_,35.51µm
_0826_,35.48µm
u_crt.r3\[3\],35.08µm
_0832_,34.76µm
_1486_,34.76µm
net29,34.66µm
_0827_,34.47µm
_0436_,34.42µm
_0451_,34.3µm
_0566_,34.27µm
_0346_,34.26µm
_1415_,34.24µm
_1555_,34.14µm
_0872_,34.12µm
_1452_,34.08µm
_0142_,33.86µm
_1090_,33.84µm
_0895_,33.8µm
_0611_,33.68µm
_0408_,33.5µm
_0384_,33.38µm
_0558_,33.34µm
_0435_,33.28µm
_0906_,33.22µm
_1194_,33.18µm
_0341_,33.07µm
u_crt.r2\[2\],33.04µm
_0258_,33.02µm
_1307_,32.96µm
_1021_,32.76µm
_0129_,32.68µm
_1595_,32.42µm
_1134_,32.205µm
_0143_,32.2µm
_0420_,32.18µm
net51,31.78µm
_1047_,31.72µm
net53,31.62µm
_0884_,31.56µm
_0144_,31.34µm
_0461_,31.28µm
_0224_,31.26µm
X_crt\[5\],31.16µm
u_crt.r1\[2\],31.04µm
_0808_,30.86µm
net23,30.86µm
_0479_,30.62µm
_0421_,30.54µm
_0297_,30.42µm
_0761_,30.42µm
_1495_,30.42µm
_0321_,30.22µm
_0320_,30.2µm
_0393_,30.2µm
_0746_,30.12µm
_0804_,30.12µm
_0471_,30.1µm
_0306_,30µm
_0622_,29.96µm
_1570_,29.96µm
_0773_,29.82µm
_1190_,29.82µm
_0718_,29.78µm
_0552_,29.74µm
_1592_,29.7µm
_1345_,29.68µm
_0592_,29.49µm
_1168_,29.36µm
_1179_,29.28µm
_1427_,29.2µm
_0805_,29.14µm
net47,29.1µm
_1568_,29.06µm
_1521_,28.94µm
_0949_,28.82µm
_0870_,28.78µm
_1266_,28.74µm
_1439_,28.68µm
_0276_,28.66µm
net144,28.38µm
_1527_,28.34µm
CU_state_dbg\[0\],28.3µm
_0693_,28.28µm
_0338_,28.26µm
_0455_,28.22µm
_0763_,28.04µm
_1212_,28.02µm
_0953_,28µm
_0852_,27.86µm
_1170_,27.8µm
_0844_,27.635µm
_0971_,27.6µm
_0313_,27.525µm
_1292_,27.36µm
_0580_,27.26µm
_1255_,27.24µm
_0135_,27.18µm
_1496_,27.07µm
_0820_,27.06µm
_1261_,27.06µm
_1500_,26.96µm
_1601_,26.92µm
_0364_,26.88µm
net39,26.76µm
_1518_,26.74µm
_1169_,26.72µm
_0105_,26.64µm
_1083_,26.62µm
_1485_,26.62µm
_0153_,26.54µm
_0326_,26.5µm
_0754_,26.44µm
_1463_,26.39µm
_0542_,26.38µm
_0855_,26.38µm
_0318_,26.3µm
_0655_,26.3µm
_1140_,26.3µm
_0168_,26.22µm
_0873_,26.14µm
_1420_,26.14µm
net100,25.98µm
_0960_,25.9µm
_0223_,25.86µm
_0404_,25.84µm
X_crt\[0\],25.8µm
_0220_,25.8µm
u_crt.r1\[0\],25.76µm
_0793_,25.72µm
_1428_,25.66µm
_1487_,25.66µm
_1531_,25.66µm
_1589_,25.64µm
_0594_,25.555µm
_1238_,25.44µm
_0238_,25.355µm
_1571_,25.3µm
_0237_,25.26µm
_1493_,25.24µm
_0504_,25.2µm
_0613_,25.17µm
_0352_,25.08µm
_1240_,25.08µm
_1366_,25.04µm
_1234_,25µm
_0173_,24.98µm
_1050_,24.92µm
_0525_,24.88µm
_0610_,24.82µm
_1063_,24.82µm
_1377_,24.74µm
_0744_,24.6µm
_0835_,24.6µm
_1550_,24.58µm
_0312_,24.42µm
_1584_,24.4µm
_0314_,24.3µm
_0363_,24.3µm
_1036_,24.26µm
_0562_,24.22µm
_0937_,24.18µm
_1163_,24.18µm
_1173_,24.16µm
_0222_,24.06µm
_0483_,24.06µm
_0125_,24.04µm
_1430_,24.04µm
X_crt\[2\],23.88µm
_1597_,23.88µm
_0577_,23.8µm
net2,23.78µm
_0813_,23.76µm
_0414_,23.68µm
_1229_,23.68µm
_0390_,23.6µm
_1600_,23.58µm
_1044_,23.555µm
_0760_,23.54µm
_0556_,23.52µm
_1587_,23.52µm
_0780_,23.5µm
_0402_,23.48µm
_1251_,23.46µm
_0433_,23.44µm
_0375_,23.4µm
_0137_,23.34µm
_0394_,23.33µm
_0233_,23.32µm
_1473_,23.32µm
_0242_,23.3µm
_1297_,23.28µm
_1374_,23.2µm
_1061_,23.18µm
_1119_,23.14µm
_0502_,23µm
_1033_,22.94µm
_0988_,22.88µm
_0443_,22.84µm
_0606_,22.84µm
_1275_,22.82µm
_0846_,22.745µm
_1516_,22.74µm
_0952_,22.7µm
_0334_,22.68µm
_0155_,22.64µm
_1161_,22.62µm
_0410_,22.6µm
_1088_,22.6µm
_0814_,22.58µm
_0828_,22.58µm
_0136_,22.54µm
_1540_,22.54µm
_1252_,22.5µm
_0822_,22.48µm
_0280_,22.44µm
_0317_,22.355µm
_0399_,22.32µm
_0689_,22.3µm
_0712_,22.12µm
_0768_,22.04µm
_0995_,22.02µm
_0456_,22µm
_0583_,22µm
_0452_,21.94µm
_0330_,21.86µm
u_crt.r0\[1\],21.84µm
_0113_,21.78µm
_0261_,21.78µm
_0138_,21.76µm
_1462_,21.76µm
_0991_,21.74µm
_0957_,21.7µm
_1506_,21.7µm
_1171_,21.66µm
_0368_,21.58µm
_1285_,21.56µm
_0531_,21.54µm
_1272_,21.52µm
_0416_,21.5µm
_0582_,21.46µm
_1300_,21.46µm
_0934_,21.44µm
_1466_,21.4µm
_1364_,21.38µm
net45,21.38µm
_0522_,21.36µm
_1454_,21.36µm
_0254_,21.3µm
_0989_,21.3µm
_0932_,21.26µm
_0442_,21.22µm
_0578_,21.2µm
