net,length_um
_1584_,32.56µm
_1050_,32.445µm
_0338_,32.4µm
_0321_,32.375µm
_1168_,32.22µm
_0142_,32.08µm
_1496_,32.03µm
u_crt.r2\[2\],32µm
_0622_,31.92µm
net23,31.78µm
net51,31.78µm
X_crt\[5\],31.62µm
_0129_,31.62µm
net53,31.62µm
_0525_,31.54µm
_0471_,31.52µm
u_crt.r1\[2\],31.48µm
_1487_,31.16µm
_1345_,31.06µm
_0761_,30.98µm
_0224_,30.92µm
_1516_,30.76µm
_0562_,30.62µm
_0773_,30.62µm
_1036_,30.62µm
_0297_,30.54µm
_0421_,30.54µm
_1229_,30.38µm
_0746_,30.22µm
_0320_,30.2µm
_0346_,30.14µm
_1218_,30.14µm
_0805_,30.06µm
_0451_,30.02µm
_1179_,29.86µm
_1440_,29.86µm
_0832_,29.74µm
_1140_,29.63µm
_1430_,29.44µm
_1047_,29.32µm
_0542_,29.26µm
_0478_,29.16µm
_0276_,29.12µm
net47,29.1µm
_1240_,29.08µm
_0493_,29.02µm
_0390_,28.995µm
_0873_,28.96µm
_1063_,28.75µm
_0364_,28.72µm
_1462_,28.72µm
_0817_,28.7µm
_1527_,28.68µm
_1439_,28.4µm
_1428_,28.3µm
_0693_,28.28µm
_1170_,28.26µm
_0552_,28.24µm
_0835_,28.18µm
_0813_,28.12µm
_0804_,28.09µm
_0237_,27.86µm
_0852_,27.86µm
_0479_,27.54µm
_1518_,27.54µm
_0820_,27.52µm
_1507_,27.405µm
_0934_,27.36µm
_0760_,27.26µm
_1485_,27.2µm
net39,27.2µm
_1292_,27.14µm
_0455_,27.08µm
_0313_,27.065µm
_1285_,27µm
_0610_,26.96µm
_1275_,26.86µm
_1040_,26.84µm
_1521_,26.76µm
X_crt\[0\],26.72µm
_1486_,26.7µm
_0326_,26.47µm
_0754_,26.44µm
_1506_,26.44µm
net304,26.4µm
_0855_,26.38µm
_0394_,26.29µm
_0504_,26.24µm
_0168_,26.22µm
u_crt.r1\[0\],26.22µm
_0986_,26.2µm
_0443_,26.18µm
_0594_,26.12µm
_0502_,26.08µm
_0592_,26.05µm
_0220_,25.8µm
_0117_,25.76µm
_0125_,25.76µm
_1427_,25.76µm
_0144_,25.7µm
_0233_,25.62µm
_0768_,25.6µm
_0223_,25.57µm
_1163_,25.48µm
_0921_,25.4µm
_0718_,25.38µm
_0655_,25.3µm
_1593_,25.24µm
_0971_,25.22µm
