Metric,Value
design__instance__count,5317
design__instance__area,23274.8
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.034325312823057175
power__switching__total,0.037170689553022385
power__leakage__total,2.8789333583745247E-8
power__total,0.07149603217840195
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.12305677658504048
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.11730040881743592
timing__hold__ws__corner:nom_tt_025C_1v80,0.25805941447502156
timing__setup__ws__corner:nom_tt_025C_1v80,2.7703298217348147
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.258059
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,2.770330
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.13064948104288582
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.12245226013103519
timing__hold__ws__corner:nom_ss_100C_1v60,0.6299590472021325
timing__setup__ws__corner:nom_ss_100C_1v60,-7.225845903926404
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-123.27750547090166
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-7.225845903926404
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.629959
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,36
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.225846
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,36
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.11894884025544457
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.1144384480680398
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12630691294818733
timing__setup__ws__corner:nom_ff_n40C_1v95,6.5696729915704095
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.126307
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,6.569673
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,24
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.11611865964102713
clock__skew__worst_setup,0.11240729498704315
timing__hold__ws,0.12538923032565397
