net,length_um
net36,2.16879mm
_0383_,1.035915mm
clknet_0_clk,723.58µm
_0553_,418.3µm
_0911_,367.89µm
clknet_3_6__leaf_clk,361.28µm
_0912_,352.76µm
clknet_3_2__leaf_clk,347.035µm
Encode_EN,324.14µm
_0187_,316.12µm
OpSel_reg\[0\],303.96µm
clknet_3_0__leaf_clk,301.905µm
clknet_3_3__leaf_clk,297.22µm
clknet_3_1__leaf_clk,287.92µm
clknet_3_7__leaf_clk,268.86µm
a_r3\[3\],263.09µm
_0910_,252.75µm
clk,247.95µm
_0185_,241.6µm
B_reg\[1\],237.08µm
_0188_,234.38µm
clknet_3_4__leaf_clk,228.155µm
clknet_3_5__leaf_clk,221.32µm
a_r3\[0\],210.765µm
B_reg\[2\],207.695µm
A_reg\[13\],200.765µm
B_reg\[4\],196.345µm
A_reg\[0\],194.395µm
A_reg\[6\],194.08µm
_0186_,189.78µm
net34,188.135µm
net33,187.42µm
CRT_Start,186.555µm
A_reg\[1\],184.7µm
A_reg\[11\],182.47µm
A_reg\[2\],172.72µm
A_reg\[3\],171.22µm
A_reg\[10\],167.45µm
_0184_,163.65µm
B_reg\[5\],161.175µm
A_reg\[4\],159.36µm
b_r1\[0\],159.245µm
A_reg\[9\],158.175µm
A_reg\[8\],156.91µm
B_reg\[3\],153.975µm
_0554_,153.04µm
b_r3\[3\],150.88µm
a_r3\[1\],150.595µm
A_reg\[12\],149.84µm
A_reg\[15\],148.72µm
net17,142.44µm
a_r3\[2\],140.975µm
A_reg\[7\],140.56µm
a_r1\[0\],136.69µm
a_r2\[0\],135.615µm
B_reg\[6\],134.46µm
B_reg\[7\],133.745µm
B_reg\[8\],133.34µm
b_r3\[2\],132.1µm
A_reg\[14\],121.35µm
net9,120.1µm
B_reg\[12\],118.975µm
net10,116.88µm
net11,116.44µm
net8,113.54µm
_0604_,111.7µm
net12,109.58µm
_0892_,103.84µm
A_reg\[5\],102.01µm
b_r3\[1\],101.28µm
b_r2\[2\],100.73µm
net37,100.46µm
_0903_,98.72µm
_0580_,96.48µm
_1354_,96.34µm
B_reg\[0\],95.38µm
b_r1\[2\],93.605µm
a_r1\[1\],93.56µm
a_r1\[2\],93.48µm
net35,93.06µm
_0564_,90.97µm
_0778_,89.94µm
_0628_,89.54µm
_0899_,89.5µm
_0900_,89.14µm
OpSel_reg\[1\],87.56µm
_0901_,87.44µm
b_r0\[0\],87.41µm
_0891_,86.6µm
_0889_,86.54µm
_0890_,86.04µm
net1,85.64µm
b_r2\[0\],84.24µm
_0573_,84.145µm
B_reg\[14\],83.58µm
net13,83.22µm
B_reg\[9\],82.89µm
_0732_,82.84µm
_0743_,82.645µm
_0574_,81.92µm
B_reg\[11\],80.88µm
_0907_,80.32µm
_1546_,80.02µm
_0902_,78.34µm
B_reg\[13\],77.28µm
u_crt.start_d,76.9µm
b_r0\[1\],76.88µm
_1352_,76.52µm
_0561_,75.74µm
_0894_,75.64µm
a_r2\[1\],73.92µm
_0673_,73.12µm
net52,72.96µm
B_reg\[10\],70.64µm
b_r2\[1\],70.64µm
X_crt\[4\],70.46µm
_0469_,70.4µm
_0624_,70.28µm
b_r3\[0\],69.56µm
_0909_,69.4µm
B_reg\[15\],67.925µm
b_r1\[1\],66.535µm
_0579_,66.46µm
_0422_,66.3µm
_1387_,65.94µm
_0234_,64.42µm
_0803_,64.04µm
_0858_,63.6µm
a_r2\[2\],63.5µm
_1388_,62.69µm
_0790_,61.8µm
a_r0\[0\],59.42µm
_0387_,59.17µm
_1159_,58.64µm
_0798_,58.58µm
_0848_,57.4µm
_1343_,54.94µm
_0888_,54.92µm
_1160_,54.58µm
_1544_,54.58µm
net28,53.9µm
_0571_,53.86µm
_0307_,53.49µm
_0767_,53.42µm
_0722_,53.38µm
_0897_,53.04µm
a_r0\[1\],52.2µm
_0623_,52.18µm
_1324_,52.14µm
_1315_,51.92µm
_0777_,50.8µm
_0612_,50.68µm
_0232_,50.58µm
_0409_,50.4µm
_0453_,50.24µm
_0607_,49.88µm
CU_state_dbg\[1\],49.64µm
_0854_,49.38µm
u_crt.r3\[0\],49.25µm
_0563_,48.96µm
_0905_,47.76µm
_0841_,47.5µm
_1011_,47.26µm
_0850_,47.12µm
_1186_,46.57µm
u_crt.r3\[2\],46.4µm
CU_state_dbg\[2\],46.12µm
_0799_,45.82µm
_1486_,45.54µm
_0724_,45.02µm
u_crt.r1\[1\],44.86µm
_1155_,44.7µm
_1336_,44.04µm
_0908_,43.58µm
_0906_,43.46µm
_0974_,43.24µm
_1176_,43.175µm
_1322_,43.04µm
_0706_,42.8µm
_0111_,42.3µm
_0268_,42.2µm
_0108_,41.82µm
_1156_,41.7µm
_0216_,41.3µm
_0423_,41.16µm
_0586_,40.95µm
_0847_,40.92µm
X_crt\[9\],40.88µm
_1332_,40.28µm
_0570_,40µm
_0175_,39.98µm
u_crt.r3\[3\],39.68µm
_0411_,39.36µm
_1474_,39.36µm
_0611_,39.33µm
u_crt.r2\[0\],38.62µm
_0904_,38.14µm
_0575_,37.98µm
_0384_,37.54µm
_0834_,37.44µm
_0681_,37.4µm
_0688_,37.4µm
_0493_,37.38µm
u_crt.r2\[1\],37.04µm
_1207_,37.02µm
_0914_,36.76µm
u_crt.r3\[1\],36.66µm
_0923_,36.56µm
_1555_,36.08µm
_0949_,35.94µm
_0558_,35.9µm
_1307_,35.63µm
_0451_,35.34µm
_1090_,35.3µm
_0773_,35.16µm
net29,35.12µm
_0408_,34.88µm
_0808_,34.8µm
_0129_,34.56µm
_0972_,34.38µm
_0341_,34.33µm
_1440_,34.3µm
_0977_,34.26µm
_0122_,34.18µm
_0105_,34µm
_0804_,34µm
_1452_,34µm
_1356_,33.88µm
_1292_,33.87µm
_0895_,33.8µm
_1071_,33.77µm
net4,33.74µm
_0346_,33.48µm
_1199_,33.43µm
_0435_,33.28µm
_0827_,33.28µm
_1499_,33.26µm
_0436_,33.16µm
_1218_,33.14µm
_0258_,33.02µm
_0321_,32.835µm
_0872_,32.74µm
_0826_,32.72µm
_0306_,32.64µm
_0420_,32.64µm
_1194_,32.6µm
_0566_,32.42µm
_1516_,32.38µm
_0461_,32.32µm
_1134_,32.205µm
_0815_,32.2µm
u_crt.r1\[2\],32.14µm
_0143_,31.98µm
_1431_,31.88µm
u_crt.r2\[2\],31.88µm
net51,31.78µm
_1570_,31.74µm
X_crt\[5\],31.62µm
net53,31.62µm
_0471_,31.52µm
_1345_,31.38µm
net23,31.32µm
_0989_,31.24µm
_0562_,30.96µm
_0224_,30.8µm
_1521_,30.56µm
_0421_,30.54µm
_0144_,30.44µm
_0297_,30.42µm
_0622_,30.42µm
_1047_,30.36µm
_0835_,30.32µm
_0613_,30.24µm
_0820_,30.22µm
_0320_,30.2µm
_1595_,30.14µm
_1415_,29.78µm
_0552_,29.74µm
_1592_,29.7µm
_0153_,29.66µm
_0746_,29.44µm
_0238_,29.285µm
_0832_,29.28µm
_1500_,29.26µm
net47,29.1µm
_1568_,28.72µm
_0479_,28.7µm
_0610_,28.68µm
_1168_,28.56µm
_1430_,28.52µm
_0155_,28.46µm
_0655_,28.36µm
_0142_,28.32µm
_0852_,28.2µm
_0693_,28.18µm
_0338_,28.14µm
_0393_,28.02µm
_1485_,27.9µm
_0761_,27.87µm
_1266_,27.58µm
_1170_,27.56µm
_0313_,27.525µm
_0276_,27.52µm
_1410_,27.46µm
_1496_,27.2µm
_0583_,27.1µm
_0443_,27.08µm
_0168_,27.02µm
_0763_,27µm
_1597_,26.96µm
_0364_,26.88µm
_0455_,26.86µm
_1179_,26.8µm
_0135_,26.78µm
_0870_,26.765µm
_0855_,26.72µm
_1190_,26.69µm
_0542_,26.4µm
_1527_,26.4µm
_1487_,26.38µm
_1420_,26.335µm
_1140_,26.3µm
net39,26.3µm
X_crt\[0\],26.26µm
_0318_,26.255µm
_0594_,26.255µm
_0326_,26.04µm
_0805_,26.04µm
_0718_,25.84µm
_0220_,25.8µm
u_crt.r1\[0\],25.76µm
_0592_,25.71µm
_0394_,25.49µm
_0223_,25.4µm
_1531_,25.32µm
_1285_,25.3µm
_0525_,25.29µm
_0237_,25.26µm
_0988_,25.18µm
_0352_,25.08µm
_1240_,25.08µm
_1428_,25.06µm
_1478_,25.04µm
_0884_,25.02µm
_0957_,25µm
_0222_,24.98µm
_1234_,24.98µm
_0136_,24.94µm
_0768_,24.8µm
_1306_,24.76µm
_1506_,24.76µm
_1033_,24.7µm
_1036_,24.7µm
_0414_,24.51µm
_1021_,24.5µm
_0873_,24.42µm
_1586_,24.42µm
_1212_,24.4µm
_1261_,24.34µm
_0314_,24.3µm
_1260_,24.26µm
_1427_,24.16µm
_1169_,24.12µm
_1518_,24.08µm
_0390_,24.06µm
_0446_,24.02µm
_0801_,24µm
_0582_,23.98µm
_0312_,23.96µm
_1255_,23.92µm
_1589_,23.87µm
_0363_,23.84µm
_0577_,23.8µm
_0867_,23.7µm
_0402_,23.68µm
_0813_,23.54µm
_0556_,23.52µm
_0233_,23.48µm
_1251_,23.46µm
_1439_,23.46µm
_1574_,23.46µm
_0433_,23.44µm
X_crt\[2\],23.42µm
_0375_,23.4µm
_0775_,23.38µm
_1163_,23.34µm
_0483_,23.33µm
_1587_,23.32µm
_1523_,23.26µm
_0173_,23.16µm
_1600_,23.1µm
_1550_,23.08µm
_1083_,23.06µm
_0606_,22.88µm
_0404_,22.86µm
_0877_,22.82µm
_0953_,22.8µm
_0887_,22.76µm
_1161_,22.66µm
_1173_,22.63µm
_0410_,22.6µm
_0780_,22.58µm
_0760_,22.56µm
_0502_,22.54µm
_1106_,22.54µm
_1463_,22.52µm
_1050_,22.5µm
_1252_,22.5µm
_0995_,22.48µm
_0960_,22.46µm
_0138_,22.44µm
_1229_,22.44µm
ALU_EN,22.315µm
_1461_,22.28µm
_0844_,22.26µm
_0280_,22.22µm
_1374_,22.2µm
_0504_,22.14µm
_0793_,22.14µm
_0334_,22µm
_0456_,22µm
_0531_,21.98µm
_1223_,21.96µm
_0754_,21.92µm
_0978_,21.92µm
_1300_,21.92µm
_0814_,21.9µm
u_crt.r0\[1\],21.84µm
_0113_,21.78µm
_0261_,21.78µm
_1238_,21.76µm
_0744_,21.72µm
_1601_,21.66µm
_0729_,21.62µm
_1246_,21.6µm
_0368_,21.58µm
_0913_,21.48µm
_1063_,21.48µm
_1473_,21.48µm
_1367_,21.46µm
_0725_,21.41µm
_0330_,21.4µm
net45,21.38µm
_0522_,21.36µm
_1370_,21.36µm
_0932_,21.34µm
_1061_,21.34µm
_1455_,21.34µm
_0846_,21.32µm
_0934_,21.32µm
_1507_,21.28µm
_0578_,21.2µm
_0131_,21.14µm
_0462_,21.14µm
_0943_,21.12µm
_0945_,21.12µm
_0966_,21.1µm
_0929_,21.06µm
_0416_,21.04µm
_0794_,21.04µm
_0114_,21µm
_0817_,20.98µm
_1275_,20.965µm
_1539_,20.86µm
_1584_,20.86µm
_0254_,20.84µm
_0125_,20.82µm
_1462_,20.79µm
_0919_,20.78µm
_1042_,20.74µm
_0726_,20.7µm
_1377_,20.7µm
_0371_,20.67µm
_1113_,20.62µm
_1338_,20.6µm
_1364_,20.58µm
_0413_,20.54µm
_0328_,20.52µm
_0600_,20.52µm
_1537_,20.5µm
_0399_,20.48µm
_1279_,20.45µm
_1495_,20.425µm
_0979_,20.38µm
_0476_,20.36µm
_0353_,20.3µm
net22,20.28µm
X_crt\[10\],20.24µm
_0499_,20.24µm
_0478_,20.2µm
_1394_,20.16µm
_1372_,20.14µm
_0137_,20.12µm
_1519_,20.12µm
_1540_,20.11µm
_0796_,20.08µm
_0753_,20.04µm
net14,20.02µm
_0689_,20µm
_1493_,20µm
_1030_,19.98µm
_1130_,19.98µm
_0473_,19.96µm
_1424_,19.94µm
_0764_,19.92µm
_1202_,19.9µm
_0955_,19.84µm
_1040_,19.82µm
_0284_,19.8µm
_1215_,19.8µm
_1137_,19.78µm
_1211_,19.68µm
_1127_,19.66µm
_0733_,19.62µm
_0952_,19.62µm
_0971_,19.62µm
_0127_,19.59µm
X_crt\[3\],19.56µm
_1559_,19.54µm
_0242_,19.52µm
_0290_,19.52µm
_1044_,19.385µm
_1530_,19.38µm
_1006_,19.24µm
_0109_,19.22µm
_0669_,19.22µm
_1442_,19.22µm
_0174_,19.2µm
_0354_,19.14µm
_1119_,19.14µm
net26,19.14µm
_1454_,19.08µm
_1583_,19.08µm
_0996_,19.02µm
_0748_,19µm
_1447_,19µm
_0685_,18.98µm
_0991_,18.98µm
_1203_,18.95µm
_1381_,18.94µm
_1602_,18.94µm
_0106_,18.92µm
_1591_,18.91µm
_0534_,18.9µm
_0593_,18.86µm
_1578_,18.84µm
_1204_,18.82µm
_0170_,18.78µm
_0750_,18.78µm
_1222_,18.7µm
_1326_,18.68µm
_1177_,18.66µm
_1171_,18.6µm
_0822_,18.58µm
_0712_,18.56µm
_1225_,18.56µm
_0415_,18.54µm
_1359_,18.52µm
_1101_,18.46µm
_1272_,18.44µm
_1582_,18.44µm
_1566_,18.38µm
_0762_,18.32µm
_0115_,18.24µm
_0210_,18.22µm
_0213_,18.2µm
_0950_,18.18µm
_0739_,18.14µm
_1366_,18.14µm
_1552_,18.14µm
net3,18.14µm
_1022_,18.04µm
