Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_13-50-56/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 30 endpoints with setup violations.
[INFO RSZ-0099] Repairing 30 out of 30 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |   -7.502 |      -86.0 |     30 | _3238_/D
       10 |       0 |       2 |       12 |      0 |     0 |   -6.640 |      -83.4 |     30 | _3238_/D
       20 |       0 |       8 |       14 |      0 |     3 |   -5.723 |      -79.7 |     30 | _3238_/D
       30 |       0 |      13 |       18 |      0 |     6 |   -5.162 |      -78.1 |     30 | _3238_/D
       40 |       0 |      13 |       20 |      0 |    15 |   -4.985 |      -77.3 |     30 | _3238_/D
       50 |       0 |      14 |       26 |      0 |    21 |   -5.016 |      -77.4 |     30 | _3238_/D
       60 |       0 |      15 |       30 |      0 |    28 |   -5.573 |      -79.7 |     30 | _3237_/D
       66 |       0 |      16 |       26 |      0 |    18 |   -4.775 |      -76.5 |     30 | _3238_/D
       70 |       0 |      16 |       32 |      0 |    18 |   -4.770 |      -76.5 |     30 | _3238_/D
       73 |       0 |      18 |       34 |      0 |    18 |   -4.753 |      -76.2 |     30 | _3238_/D
       75 |       0 |      18 |       34 |      0 |    19 |   -4.753 |      -76.2 |     30 | _3238_/D
       80 |       0 |      20 |       34 |      0 |    21 |   -4.790 |      -76.3 |     30 | _3238_/D
       80 |       0 |      18 |       34 |      0 |    21 |   -4.753 |      -76.2 |     30 | _3238_/D
       90 |       0 |      21 |       42 |      0 |    23 |   -4.753 |      -75.9 |     30 | _3238_/D
      100 |       0 |      24 |       48 |      0 |    27 |   -4.753 |      -74.4 |     30 | _3238_/D
      110 |       0 |      30 |       55 |      0 |    27 |   -4.753 |      -73.1 |     30 | _3238_/D
      120 |       0 |      38 |       55 |      0 |    29 |   -4.753 |      -71.9 |     30 | _3238_/D
      130 |       0 |      40 |       55 |      0 |    37 |   -4.753 |      -71.6 |     30 | _3238_/D
      140 |       0 |      47 |       55 |      0 |    40 |   -4.753 |      -70.7 |     30 | _3238_/D
      150 |       0 |      51 |       55 |      0 |    46 |   -4.753 |      -70.4 |     30 | _3238_/D
      160 |       0 |      57 |       59 |      0 |    48 |   -4.753 |      -69.7 |     30 | _3238_/D
      170 |       0 |      62 |       63 |      0 |    51 |   -4.753 |      -74.7 |     30 | _3238_/D
      180 |       0 |      65 |       72 |      0 |    54 |   -4.753 |      -74.4 |     30 | _3238_/D
      180 |       0 |      65 |       72 |      0 |    53 |   -4.753 |      -74.4 |     30 | _3238_/D
      187 |       0 |      70 |       72 |      0 |    54 |   -4.753 |      -74.6 |     30 | _3238_/D
      190 |       0 |      71 |       72 |      0 |    55 |   -4.753 |      -74.6 |     30 | _3238_/D
      191 |       0 |      71 |       72 |      0 |    54 |   -4.753 |      -74.6 |     30 | _3238_/D
      194 |       0 |      71 |       72 |      0 |    54 |   -4.753 |      -74.6 |     30 | _3238_/D
      200 |       0 |      75 |       72 |      0 |    55 |   -4.753 |      -73.2 |     30 | _3238_/D
      210 |       0 |      80 |       78 |      0 |    58 |   -4.753 |      -68.7 |     30 | _3238_/D
      220 |       0 |      85 |       81 |      0 |    62 |   -4.753 |      -67.5 |     30 | _3238_/D
      230 |       0 |      92 |       81 |      0 |    65 |   -4.753 |      -65.6 |     30 | _3238_/D
      240 |       0 |      98 |       83 |      0 |    68 |   -4.753 |      -64.1 |     30 | _3238_/D
      250 |       0 |     104 |       88 |      0 |    70 |   -4.753 |      -62.5 |     30 | _3238_/D
      260 |       0 |     113 |       88 |      0 |    71 |   -4.753 |      -60.9 |     30 | _3238_/D
      270 |       0 |     121 |       91 |      0 |    72 |   -4.753 |      -60.1 |     30 | _3238_/D
      280 |       0 |     126 |       93 |      0 |    76 |   -4.753 |      -59.5 |     30 | _3238_/D
      290 |       0 |     130 |       93 |      0 |    82 |   -4.753 |      -59.0 |     30 | _3238_/D
      300 |       0 |     134 |       97 |      0 |    86 |   -4.753 |      -61.7 |     30 | _3238_/D
      310 |       0 |     137 |      101 |      0 |    91 |   -4.753 |      -61.1 |     30 | _3238_/D
      320 |       0 |     143 |      105 |      0 |    93 |   -4.753 |      -61.7 |     30 | _3238_/D
      330 |       0 |     152 |      107 |      0 |    93 |   -4.753 |      -59.7 |     30 | _3238_/D
      340 |       0 |     157 |      109 |      0 |    97 |   -4.753 |      -59.1 |     30 | _3238_/D
      347 |       0 |     137 |      102 |      0 |    85 |   -4.753 |      -58.3 |     30 | _3238_/D
      350 |       0 |     139 |      102 |      0 |    85 |   -4.753 |      -57.6 |     30 | _3238_/D
      360 |       0 |     148 |      102 |      0 |    86 |   -4.753 |      -56.4 |     30 | _3238_/D
      370 |       0 |     155 |      105 |      0 |    88 |   -4.753 |      -55.0 |     30 | _3238_/D
      380 |       0 |     163 |      105 |      0 |    90 |   -4.753 |      -54.5 |     30 | _3238_/D
      390 |       0 |     172 |      107 |      0 |    90 |   -4.765 |      -53.7 |     30 | _3238_/D
      400 |       0 |     182 |      107 |      0 |    90 |   -4.765 |      -53.1 |     30 | _3238_/D
      410 |       0 |     186 |      107 |      0 |    96 |   -4.765 |      -53.3 |     30 | _3238_/D
      420 |       0 |     192 |      107 |      0 |   100 |   -4.765 |      -53.1 |     30 | _3238_/D
      430 |       0 |     197 |      109 |      0 |   104 |   -4.775 |      -52.9 |     30 | _3238_/D
      433 |       0 |     170 |      108 |      0 |    90 |   -4.753 |      -54.0 |     30 | _3238_/D
      440 |       0 |     172 |      116 |      0 |    90 |   -4.753 |      -56.5 |     30 | _3238_/D
      450 |       0 |     179 |      120 |      0 |    91 |   -4.753 |      -56.4 |     30 | _3238_/D
      460 |       0 |     188 |      122 |      0 |    91 |   -4.753 |      -54.9 |     30 | _3238_/D
      465 |       0 |     188 |      123 |      0 |    92 |   -4.753 |      -54.8 |     30 | _3238_/D
      470 |       0 |     190 |      125 |      0 |    93 |   -4.753 |      -54.4 |     30 | _3238_/D
      477 |       0 |     195 |      129 |      0 |    93 |   -4.753 |      -54.5 |     30 | _3238_/D
      480 |       0 |     197 |      129 |      0 |    93 |   -4.753 |      -54.4 |     30 | _3238_/D
      480 |       0 |     197 |      129 |      0 |    93 |   -4.753 |      -54.4 |     30 | _3238_/D
      484 |       0 |     197 |      129 |      0 |    94 |   -4.753 |      -54.4 |     30 | _3238_/D
      487 |       0 |     197 |      129 |      0 |    95 |   -4.753 |      -54.4 |     30 | _3238_/D
