net,length_um
net36,2.16418mm
_0383_,1.037675mm
clknet_0_clk,724.02µm
_0553_,403.02µm
_0911_,361.81µm
clknet_3_6__leaf_clk,356.86µm
clknet_3_2__leaf_clk,347µm
_0912_,331.915µm
Encode_EN,322.425µm
_0187_,314.82µm
clknet_3_0__leaf_clk,305.005µm
clknet_3_3__leaf_clk,300.62µm
OpSel_reg\[0\],297.57µm
clknet_3_1__leaf_clk,281.9µm
clknet_3_7__leaf_clk,278.715µm
a_r3\[3\],277.97µm
_0910_,255.855µm
clk,247.95µm
_0185_,238.04µm
B_reg\[1\],237.08µm
_0188_,235.3µm
clknet_3_4__leaf_clk,216.96µm
a_r3\[0\],215.58µm
B_reg\[2\],210.055µm
clknet_3_5__leaf_clk,208.22µm
A_reg\[13\],199.52µm
B_reg\[4\],197.345µm
A_reg\[6\],196.36µm
A_reg\[0\],195.895µm
A_reg\[11\],194.185µm
CRT_Start,192.52µm
net34,190.22µm
A_reg\[1\],186.92µm
net33,186.5µm
_0186_,185.44µm
A_reg\[2\],173.08µm
A_reg\[3\],172.29µm
_0184_,167.37µm
A_reg\[10\],166.2µm
A_reg\[8\],166.2µm
B_reg\[5\],164.86µm
b_r1\[0\],162.11µm
A_reg\[12\],162µm
B_reg\[3\],157.895µm
A_reg\[4\],156.04µm
A_reg\[9\],154.24µm
_0554_,151.2µm
b_r3\[3\],150.17µm
A_reg\[15\],146.725µm
B_reg\[8\],142.98µm
net17,141.76µm
B_reg\[6\],139.92µm
a_r3\[1\],139.455µm
A_reg\[7\],138.805µm
a_r2\[0\],135.86µm
a_r1\[0\],135.51µm
b_r3\[2\],133.84µm
B_reg\[7\],127.34µm
a_r3\[2\],125.82µm
A_reg\[14\],125.78µm
net9,120.1µm
net10,117.56µm
net11,115.98µm
net8,113.54µm
B_reg\[12\],111.67µm
_0604_,110.68µm
b_r3\[1\],110.5µm
_0892_,106.14µm
A_reg\[5\],105.48µm
net12,103.66µm
net37,101.38µm
_0903_,100.98µm
b_r2\[2\],98.15µm
_0580_,96.48µm
B_reg\[0\],95.38µm
a_r1\[1\],94.705µm
B_reg\[14\],94.4µm
_1354_,94.18µm
b_r1\[2\],93.43µm
net35,93.06µm
_0899_,91.54µm
B_reg\[9\],90.91µm
_0564_,90.51µm
_0901_,90.44µm
_0628_,90.34µm
a_r1\[2\],89.72µm
_0889_,89µm
_0778_,88.42µm
OpSel_reg\[1\],87.82µm
_0900_,87.15µm
b_r0\[0\],86.63µm
_0743_,84.825µm
_0890_,84.68µm
_0891_,84.34µm
_0573_,83.46µm
_0732_,83.3µm
net1,83.22µm
b_r2\[0\],83.02µm
_0574_,82.89µm
net13,82.76µm
_0902_,82.48µm
_1546_,80.36µm
_0894_,79.64µm
_0907_,79.62µm
B_reg\[10\],79.24µm
_1352_,77.44µm
b_r0\[1\],77.2µm
u_crt.start_d,76.56µm
B_reg\[11\],76.035µm
_0561_,75.74µm
net52,74.34µm
_0469_,73.92µm
a_r2\[1\],73.8µm
B_reg\[13\],73.56µm
_0673_,72.2µm
b_r2\[1\],72.14µm
_0624_,70.28µm
b_r3\[0\],69.56µm
X_crt\[4\],69.44µm
B_reg\[15\],69.045µm
_0909_,68.62µm
_1387_,67.98µm
_0803_,66.76µm
_0579_,66.46µm
_0234_,66.14µm
_0790_,65.5µm
a_r2\[2\],65.28µm
_0387_,64.4µm
_0422_,63.46µm
b_r1\[1\],63.26µm
_0858_,62.22µm
_1388_,61.58µm
_0848_,59.78µm
_1159_,59.44µm
_0888_,58.26µm
_0904_,57.72µm
_0798_,57.1µm
a_r0\[0\],56.97µm
_1324_,56.04µm
_1160_,55.38µm
_1343_,54.94µm
_1544_,54.58µm
net28,53.9µm
_0571_,53.4µm
a_r0\[1\],53.12µm
_0612_,52.84µm
_0722_,52.6µm
_0623_,52.39µm
_0307_,52.06µm
_1315_,51.92µm
_0232_,51.5µm
u_crt.r3\[0\],51.48µm
_0767_,50.9µm
_0453_,50.24µm
_0777_,50.12µm
