net,length_um
net36,2.16176mm
_0383_,1.035475mm
clknet_0_clk,722.08µm
_0553_,402.34µm
_0911_,361.04µm
clknet_3_6__leaf_clk,356.52µm
clknet_3_2__leaf_clk,344.58µm
_0912_,336.915µm
Encode_EN,330.45µm
_0187_,309.56µm
clknet_3_0__leaf_clk,303.745µm
OpSel_reg\[0\],301.94µm
clknet_3_3__leaf_clk,296.4µm
clknet_3_1__leaf_clk,282.14µm
clknet_3_7__leaf_clk,278.375µm
a_r3\[3\],275.31µm
_0910_,256.995µm
clk,247.95µm
B_reg\[1\],238.44µm
_0185_,238.04µm
_0188_,236.78µm
clknet_3_4__leaf_clk,219.84µm
a_r3\[0\],216.265µm
B_reg\[2\],207.195µm
clknet_3_5__leaf_clk,205.74µm
B_reg\[4\],197.805µm
A_reg\[0\],196.815µm
A_reg\[13\],194.5µm
A_reg\[11\],193.855µm
A_reg\[6\],193.28µm
CRT_Start,191.62µm
net34,190.22µm
net33,189.72µm
_0186_,186.82µm
A_reg\[1\],185.88µm
A_reg\[2\],174.46µm
A_reg\[3\],172.29µm
_0184_,168.17µm
B_reg\[5\],167.37µm
A_reg\[10\],167.22µm
A_reg\[12\],162.51µm
b_r1\[0\],161.91µm
A_reg\[9\],161.52µm
A_reg\[8\],160.11µm
A_reg\[4\],159.62µm
B_reg\[3\],159.255µm
b_r3\[3\],154.36µm
_0554_,152.22µm
A_reg\[15\],146.945µm
a_r3\[1\],146.195µm
a_r3\[2\],146.12µm
net17,144.14µm
A_reg\[7\],140.305µm
B_reg\[7\],139.255µm
B_reg\[6\],137.06µm
B_reg\[8\],136.16µm
a_r1\[0\],135.51µm
a_r2\[0\],135.5µm
b_r3\[2\],134.1µm
net9,122.82µm
A_reg\[14\],120.82µm
net10,118.71µm
net11,115.98µm
net8,114.22µm
B_reg\[12\],112.49µm
_0604_,112.38µm
b_r3\[1\],106.06µm
A_reg\[5\],105.48µm
_0892_,104.3µm
net12,103.66µm
net37,101.58µm
b_r2\[2\],100.71µm
_0903_,97.58µm
b_r1\[2\],97.08µm
_0580_,96.94µm
B_reg\[0\],94.92µm
B_reg\[14\],94.4µm
_1354_,94.18µm
net35,91.34µm
a_r1\[1\],91.24µm
_0564_,90.51µm
_0628_,90.34µm
_0778_,90.14µm
_0889_,89.51µm
b_r0\[0\],89.36µm
B_reg\[10\],88.59µm
_0901_,88.12µm
_0899_,87.54µm
a_r1\[2\],86.7µm
OpSel_reg\[1\],86.3µm
B_reg\[9\],85.7µm
_0743_,85.285µm
_0890_,84.68µm
_0900_,84.14µm
net1,84.14µm
_0891_,83.88µm
_0732_,83.3µm
_0573_,82.995µm
net13,82.76µm
_0902_,81.56µm
b_r2\[0\],81.52µm
_0574_,81.45µm
_0907_,80.49µm
B_reg\[11\],78.92µm
_0894_,78.84µm
u_crt.start_d,76.56µm
_1352_,76.52µm
_0561_,75.74µm
_1546_,75.26µm
net52,74.34µm
B_reg\[13\],73.56µm
a_r2\[1\],73.255µm
_0469_,73.24µm
b_r0\[1\],73.06µm
_0673_,72.2µm
b_r2\[1\],72.14µm
_0624_,70.96µm
_1387_,70.38µm
b_r3\[0\],69.56µm
X_crt\[4\],69.44µm
B_reg\[15\],69.045µm
_0909_,68.62µm
_0579_,66.46µm
_0234_,66.02µm
b_r1\[1\],65.58µm
_0803_,65.4µm
a_r2\[2\],65.28µm
_0790_,65.16µm
_1388_,62.94µm
_0422_,62.66µm
_0858_,62.22µm
_0387_,62µm
_0848_,60.24µm
a_r0\[0\],59.47µm
_1159_,59.1µm
_0888_,58.26µm
_0798_,56.3µm
_1324_,56.04µm
_1160_,55.04µm
_1343_,54.94µm
_1544_,54.58µm
CU_state_dbg\[1\],54.375µm
_0307_,54.24µm
net28,53.9µm
_0571_,53.4µm
_0722_,52.6µm
_0623_,52.39µm
u_crt.r3\[0\],51.94µm
_1315_,51.92µm
a_r0\[1\],51.4µm
