net,length_um
net36,2.193635mm
_0383_,1.038535mm
clknet_0_clk,719.48µm
_0553_,420.475µm
_0911_,394.32µm
_0912_,365.54µm
clknet_3_6__leaf_clk,357.78µm
clknet_3_2__leaf_clk,355.25µm
Encode_EN,327.915µm
_0187_,315.53µm
clknet_3_0__leaf_clk,307.125µm
OpSel_reg\[0\],302.68µm
clknet_3_3__leaf_clk,297.2µm
clknet_3_1__leaf_clk,286.76µm
clknet_3_7__leaf_clk,264.975µm
a_r3\[3\],264.32µm
_0910_,259.95µm
clk,247.49µm
_0185_,245.26µm
B_reg\[1\],243.275µm
_0188_,230.18µm
clknet_3_5__leaf_clk,222.5µm
B_reg\[2\],218.165µm
A_reg\[0\],201.5µm
clknet_3_4__leaf_clk,200.375µm
B_reg\[4\],197.92µm
A_reg\[3\],192.46µm
A_reg\[1\],191.92µm
net33,189.72µm
A_reg\[10\],189.55µm
_0186_,188.62µm
A_reg\[11\],187.935µm
net34,187µm
CRT_Start,186.125µm
A_reg\[6\],183.56µm
B_reg\[5\],177.37µm
A_reg\[4\],176.3µm
A_reg\[9\],172.12µm
A_reg\[2\],168.46µm
net229,166.28µm
_0184_,164.58µm
a_r3\[2\],163.24µm
A_reg\[8\],161.015µm
B_reg\[3\],160.025µm
B_reg\[8\],157.16µm
b_r1\[0\],156.78µm
a_r3\[0\],155.56µm
_0554_,152.58µm
A_reg\[7\],152.38µm
a_r3\[1\],151.8µm
a_r1\[0\],145.095µm
net17,143.48µm
B_reg\[7\],139.415µm
a_r2\[0\],137.51µm
B_reg\[6\],135.02µm
A_reg\[5\],130.66µm
A_reg\[13\],121.12µm
net9,120.1µm
net10,119.84µm
_0604_,117.32µm
net202,116.82µm
net11,116.44µm
net8,114.22µm
_0574_,113.14µm
_0892_,111.66µm
net12,109.58µm
_0903_,108.4µm
b_r3\[1\],106.22µm
net77,105.9µm
B_reg\[0\],105.67µm
_0778_,103.94µm
net37,103.88µm
_0580_,103.26µm
net96,102.72µm
net78,99.84µm
b_r2\[2\],98.49µm
_0889_,97.94µm
a_r1\[1\],97.745µm
b_r1\[2\],97.57µm
B_reg\[9\],96.29µm
_0564_,95.75µm
_1354_,94.6µm
b_r0\[0\],94.305µm
net35,93.74µm
B_reg\[10\],93.14µm
B_reg\[11\],89.91µm
a_r1\[2\],89.28µm
net86,89.02µm
_0628_,88.96µm
_0901_,88.94µm
_0899_,87.32µm
_0900_,86.64µm
net227,84.92µm
_0890_,83.98µm
_0894_,83.9µm
b_r2\[0\],83.48µm
net13,83.22µm
_0891_,83.18µm
OpSel_reg\[1\],83.08µm
_0902_,83.07µm
_0573_,82.995µm
net1,82.88µm
_0743_,82.645µm
A_reg\[12\],82.44µm
b_r0\[1\],81.95µm
_0732_,80.54µm
_1352_,78.9µm
net152,78.58µm
_0907_,78.16µm
B_reg\[12\],76.79µm
A_reg\[14\],76.56µm
_1546_,75.66µm
net54,75.64µm
_0561_,75.28µm
_0469_,73.94µm
net52,72.96µm
a_r2\[1\],72.795µm
_0673_,72.2µm
b_r2\[1\],72.14µm
_0909_,70.54µm
b_r3\[0\],70.12µm
_0624_,69.26µm
B_reg\[14\],68.88µm
u_crt.start_d,68.06µm
net61,67.81µm
a_r2\[2\],67.26µm
b_r3\[2\],66.84µm
_0579_,65.92µm
X_crt\[4\],65.76µm
_0234_,64.76µm
_0803_,64.7µm
_1387_,64.22µm
_0888_,64.08µm
_1159_,63.92µm
net79,63.38µm
_0422_,63µm
b_r1\[1\],62.34µm
net84,62.28µm
net87,61.98µm
_0798_,61.36µm
_1388_,60.78µm
_0387_,59.82µm
net55,59.32µm
_0790_,59.28µm
B_reg\[13\],59µm
_0858_,59µm
B_reg\[15\],58.665µm
_0571_,58.58µm
_0848_,58.1µm
a_r0\[0\],58.045µm
_0904_,57.58µm
net66,56.52µm
u_crt.r3\[2\],56.24µm
_1160_,55.74µm
_0612_,54µm
_1544_,53.76µm
net28,53.44µm
_0607_,53.13µm
_1315_,53.06µm
_0777_,52.74µm
_0623_,52.26µm
_0307_,52.06µm
_0232_,51.96µm
_1343_,51.96µm
_0841_,51.92µm
_1324_,51.56µm
CU_state_dbg\[1\],51.54µm
u_crt.r3\[0\],51.02µm
_0722_,50.76µm
_0767_,50.595µm
a_r0\[1\],50.42µm
_0897_,50.2µm
_0563_,50.12µm
_0453_,49.78µm
_0854_,49.5µm
_0799_,48.42µm
_1186_,48.1µm
_0850_,47.02µm
_1011_,46.36µm
_0111_,45.84µm
CU_state_dbg\[2\],45.76µm
_0908_,45.52µm
_0905_,45.38µm
_0436_,44.02µm
_1322_,43.5µm
_1156_,43.28µm
_1474_,43.19µm
_1332_,42.8µm
_0974_,42.76µm
_1336_,42.68µm
_0972_,42.48µm
_0268_,42.2µm
_1307_,41.86µm
_0706_,41.72µm
u_crt.r3\[3\],41.7µm
net58,41.62µm
_0895_,41.46µm
_1356_,41.35µm
_0688_,41.3µm
_0586_,40.95µm
u_crt.r1\[1\],40.92µm
_0216_,40.84µm
_1415_,40.69µm
X_crt\[9\],40.42µm
_1555_,40.26µm
_0122_,39.83µm
_1021_,39.5µm
_0847_,39.42µm
u_crt.r3\[1\],39.2µm
_0411_,39.135µm
_1155_,39.06µm
_0423_,38.86µm
_1176_,38.62µm
u_crt.r2\[0\],38.62µm
_0611_,38.58µm
u_crt.r2\[1\],38.06µm
_0914_,37.94µm
_1495_,37.88µm
_1218_,37.84µm
_0409_,37.44µm
_1431_,37.4µm
_1207_,36.9µm
_0420_,36.66µm
_0827_,36.62µm
_0977_,36.56µm
_0384_,36.4µm
_1134_,36.345µm
_0724_,36.28µm
_0681_,36.02µm
_0108_,35.86µm
_0575_,35.68µm
_0451_,35.54µm
_1071_,35.33µm
_0566_,35.2µm
net29,35.12µm
_1199_,35.1µm
_0558_,34.86µm
_0906_,34.84µm
b_r3\[3\],34.84µm
_0175_,34.18µm
_0826_,34.16µm
_0872_,34.12µm
_0341_,33.87µm
_0622_,33.76µm
_0808_,33.5µm
net23,33.48µm
_0471_,33.3µm
_0435_,33.28µm
_0834_,33.24µm
_0923_,33.24µm
_0408_,33.04µm
_0258_,33.02µm
_1367_,33.01µm
_1140_,32.38µm
_1194_,32.26µm
_1452_,32.26µm
u_crt.r1\[2\],32.26µm
net4,32.26µm
u_crt.r2\[2\],32.22µm
_0297_,32.14µm
net53,32.08µm
_0224_,31.94µm
_1493_,31.7µm
X_crt\[5\],31.62µm
_0525_,31.54µm
net51,31.32µm
_0143_,31.3µm
_0479_,31.175µm
_0142_,31µm
_0562_,30.96µm
_1050_,30.96µm
_0168_,30.76µm
_0346_,30.72µm
_1036_,30.72µm
_1168_,30.72µm
_0504_,30.7µm
_0613_,30.7µm
_0321_,30.68µm
_0421_,30.54µm
_0390_,30.535µm
_1090_,30.5µm
_0815_,30.34µm
_0718_,30.24µm
_0835_,30.24µm
_1570_,30.1µm
_1595_,30.04µm
_0306_,30µm
_1440_,29.98µm
_0135_,29.82µm
_0493_,29.8µm
_0542_,29.76µm
_0773_,29.7µm
_1592_,29.7µm
_0746_,29.68µm
_1255_,29.66µm
_0320_,29.52µm
_0461_,29.52µm
net198,29.48µm
_1430_,29.42µm
_0804_,29.32µm
_0934_,29.32µm
_0144_,29.3µm
_0155_,29.26µm
_1063_,29.09µm
_0483_,29.08µm
_1521_,29.06µm
_1500_,29.02µm
_0873_,28.84µm
_0276_,28.765µm
_0693_,28.74µm
_0820_,28.74µm
_1047_,28.74µm
_0761_,28.55µm
_0153_,28.52µm
_0410_,28.46µm
_0238_,28.43µm
_1212_,28.36µm
_0870_,28.32µm
_1292_,28.28µm
_1507_,28.28µm
_0552_,28.24µm
_0763_,28.04µm
_0393_,28.02µm
_1527_,28µm
_0338_,27.8µm
_0326_,27.74µm
_1170_,27.68µm
_0805_,27.66µm
_1485_,27.54µm
_0832_,27.44µm
_0610_,27.42µm
_1428_,27.4µm
_1345_,27.3µm
_1190_,27.2µm
_1518_,27.08µm
_1285_,27µm
net230,26.98µm
_0313_,26.845µm
_0237_,26.84µm
_1275_,26.78µm
_1169_,26.72µm
_0655_,26.68µm
_0754_,26.66µm
_0113_,26.62µm
_1374_,26.54µm
_0105_,26.52µm
_0855_,26.38µm
_1179_,26.34µm
_0223_,26.32µm
net39,26.3µm
X_crt\[0\],26.26µm
_0125_,26.22µm
u_crt.r1\[0\],26.22µm
_1461_,26.2µm
_0455_,26.18µm
_0478_,26.18µm
X_crt\[2\],26.14µm
_1261_,26.14µm
_1506_,26.12µm
_1496_,26.05µm
_0884_,26.04µm
_1597_,26.02µm
_0852_,25.92µm
_0594_,25.89µm
_0220_,25.8µm
_0399_,25.76µm
_0233_,25.62µm
_0137_,25.6µm
_1240_,25.54µm
_1427_,25.54µm
_1586_,25.34µm
_0117_,25.3µm
_0971_,25.22µm
_1030_,25.22µm
_1601_,25.22µm
_0364_,25.18µm
_0583_,25.15µm
_0592_,25.13µm
_0352_,25.08µm
_0744_,25.04µm
_1234_,25µm
_0173_,24.98µm
_1486_,24.98µm
_0222_,24.64µm
_1568_,24.5µm
net122,24.48µm
_0312_,24.42µm
_0404_,24.34µm
_1173_,24.28µm
_0443_,24.24µm
_1550_,24.22µm
_1229_,24.14µm
_1266_,24.14µm
_1366_,24.07µm
_0955_,24.04µm
net47,24.04µm
_0129_,23.98µm
_0929_,23.94µm
_1439_,23.92µm
_1574_,23.92µm
_0363_,23.84µm
_0577_,23.8µm
_0402_,23.68µm
_1499_,23.48µm
_1251_,23.46µm
_1483_,23.46µm
_0433_,23.44µm
_0375_,23.4µm
_0582_,23.4µm
_0414_,23.34µm
_0877_,23.34µm
_0394_,23.33µm
_1163_,23.26µm
_0689_,23.22µm
_1040_,23.22µm
_0519_,23.16µm
_0516_,23.06µm
_0780_,23.04µm
_0844_,23.04µm
_1297_,23.04µm
_1589_,23.04µm
_0661_,22.925µm
_0606_,22.88µm
_0413_,22.87µm
_0499_,22.84µm
_0979_,22.8µm
_0114_,22.72µm
_1033_,22.72µm
_0280_,22.68µm
_0522_,22.62µm
_0531_,22.6µm
_0136_,22.54µm
_0318_,22.535µm
_1252_,22.5µm
_0988_,22.46µm
_1487_,22.44µm
_0867_,22.42µm
_1076_,22.38µm
_0242_,22.28µm
_0978_,22.18µm
_0353_,22.16µm
_0989_,22.1µm
_1286_,22.04µm
_0456_,22µm
_0452_,21.94µm
_1067_,21.86µm
_0261_,21.78µm
_0943_,21.78µm
_0514_,21.76µm
_0416_,21.72µm
_0556_,21.7µm
_1473_,21.7µm
_0729_,21.62µm
u_crt.r0\[1\],21.62µm
_0368_,21.58µm
_0330_,21.56µm
_0334_,21.54µm
_1424_,21.54µm
_0846_,21.525µm
_0446_,21.47µm
_1516_,21.38µm
net45,21.38µm
_0733_,21.34µm
_0138_,21.3µm
_1238_,21.3µm
_0726_,21.28µm
_1211_,21.28µm
X_crt\[10\],21.26µm
_0913_,21.26µm
_0991_,21.24µm
_0794_,21.22µm
_0578_,21.2µm
_0290_,21.08µm
_0405_,21.07µm
_0775_,20.96µm
_1338_,20.94µm
_0314_,20.9µm
_0966_,20.88µm
_1539_,20.86µm
_1584_,20.86µm
_0813_,20.78µm
_1304_,20.78µm
_0648_,20.72µm
_0960_,20.72µm
_1523_,20.72µm
_1377_,20.7µm
_0462_,20.68µm
_0371_,20.67µm
_0768_,20.66µm
_1272_,20.62µm
_1300_,20.54µm
_0600_,20.52µm
_0817_,20.5µm
_1420_,20.48µm
_0957_,20.44µm
_0715_,20.38µm
_0741_,20.38µm
_1600_,20.37µm
_1462_,20.34µm
_1171_,20.32µm
_0725_,20.3µm
_1083_,20.3µm
_0480_,20.24µm
_1256_,20.2µm
_0254_,20.16µm
_0621_,20.16µm
_1394_,20.16µm
_0950_,20.12µm
_0391_,20.04µm
_0921_,20.04µm
_1016_,20.04µm
_1537_,20.04µm
_1007_,20µm
_1093_,19.98µm
_0675_,19.94µm
_0898_,19.94µm
_1061_,19.9µm
_1161_,19.9µm
_0473_,19.86µm
_1018_,19.86µm
_1044_,19.86µm
_1381_,19.86µm
net32,19.82µm
_0996_,19.8µm
_1593_,19.76µm
net195,19.72µm
_0328_,19.6µm
_0685_,19.44µm
_1088_,19.4µm
_1530_,19.38µm
_1410_,19.36µm
_1223_,19.34µm
_1450_,19.32µm
_1491_,19.32µm
_1364_,19.3µm
_1590_,19.3µm
_1279_,19.26µm
_1454_,19.25µm
_0581_,19.24µm
_0753_,19.24µm
_0669_,19.22µm
_0748_,19.22µm
_0120_,19.2µm
_0123_,19.2µm
_0932_,19.14µm
net26,19.14µm
_0764_,19.12µm
_1013_,19.12µm
_0354_,19.02µm
_0814_,19.02µm
_0336_,19µm
_0631_,19µm
_1578_,18.96µm
_1127_,18.92µm
_0795_,18.9µm
_1054_,18.86µm
_1372_,18.86µm
_1204_,18.82µm
net90,18.79µm
_0593_,18.78µm
_1137_,18.625µm
_1290_,18.58µm
_0712_,18.56µm
_1205_,18.56µm
_0415_,18.54µm
_1246_,18.52µm
_1556_,18.52µm
_1075_,18.5µm
_0997_,18.46µm
_0828_,18.44µm
_1306_,18.44µm
_0131_,18.4µm
_0211_,18.36µm
_0170_,18.32µm
_0429_,18.32µm
_1006_,18.32µm
_1214_,18.32µm
_1359_,18.32µm
_1086_,18.3µm
_0127_,18.28µm
_0317_,18.25µm
_0342_,18.24µm
_0210_,18.22µm
_1326_,18.22µm
_0656_,18.2µm
_1552_,18.14µm
net3,18.14µm
_0887_,18.08µm
_1215_,18.08µm
_0351_,18.06µm
_0793_,18.06µm
_1220_,18.04µm
_0739_,18.02µm
_1113_,17.94µm
_1222_,17.91µm
_1369_,17.86µm
net18,17.78µm
_0147_,17.76µm
_1058_,17.76µm
_0502_,17.74µm
_0540_,17.74µm
_1442_,17.74µm
_1065_,17.72µm
_1133_,17.72µm
_0760_,17.7µm
_1398_,17.7µm
X_crt\[12\],17.68µm
_0981_,17.66µm
_1119_,17.66µm
_0670_,17.6µm
net21,17.56µm
net44,17.56µm
_0228_,17.54µm
_1106_,17.54µm
_1177_,17.52µm
_1582_,17.52µm
_0750_,17.5µm
_0496_,17.48µm
net233,17.46µm
_0569_,17.44µm
_0762_,17.44µm
_1504_,17.42µm
_1425_,17.4µm
_0936_,17.25µm
_0559_,17.24µm
_0765_,17.22µm
_0822_,17.2µm
_0829_,17.2µm
_0284_,17.16µm
_1390_,17.12µm
_1038_,17.1µm
_0305_,17.06µm
_0132_,17.04µm
_0585_,16.99µm
_1466_,16.96µm
net2,16.96µm
_1049_,16.94µm
net6,16.88µm
_1602_,16.86µm
_0596_,16.84µm
_0608_,16.78µm
_0871_,16.76µm
ALU_EN,16.72µm
_1295_,16.68µm
_0568_,16.66µm
_0213_,16.6µm
_0374_,16.6µm
_0508_,16.6µm
_0788_,16.6µm
_1573_,16.6µm
u_crt.r0\[0\],16.6µm
_1153_,16.59µm
_0837_,16.58µm
net22,16.54µm
net30,16.48µm
_0629_,16.42µm
_1185_,16.4µm
_1312_,16.4µm
X_crt\[6\],16.38µm
_0541_,16.38µm
_0831_,16.32µm
_1349_,16.32µm
_1470_,16.32µm
net183,16.32µm
_0428_,16.28µm
_1392_,16.26µm
_0124_,16.2µm
_0676_,16.18µm
Op_Sel[0],16.14µm
_1347_,16.14µm
_1519_,16.1µm
X_crt\[8\],16.02µm
_1087_,15.98µm
_0801_,15.96µm
_0270_,15.92µm
net49,15.88µm
net16,15.86µm
_0116_,15.84µm
_0530_,15.84µm
_0721_,15.84µm
_1072_,15.84µm
_1172_,15.84µm
_1579_,15.84µm
_1512_,15.835µm
_0627_,15.825µm
_0713_,15.82µm
_1052_,15.82µm
CU_state_dbg\[0\],15.8µm
_0151_,15.78µm
_0937_,15.76µm
_1123_,15.72µm
_1598_,15.7µm
_1459_,15.645µm
_1479_,15.64µm
net226,15.6µm
_0619_,15.565µm
_1259_,15.56µm
_1203_,15.55µm
_0385_,15.52µm
_1124_,15.52µm
_0756_,15.48µm
_0862_,15.48µm
_1270_,15.48µm
_0731_,15.46µm
_1287_,15.46µm
_1202_,15.42µm
_0141_,15.34µm
_0498_,15.34µm
_0714_,15.32µm
_0301_,15.3µm
_0536_,15.3µm
_0687_,15.3µm
_1489_,15.28µm
_1599_,15.28µm
_0919_,15.265µm
_0690_,15.24µm
_0527_,15.22µm
_0686_,15.22µm
_0719_,15.14µm
_0986_,15.1µm
_0431_,15.06µm
_0759_,15.06µm
_1008_,15.06µm
_0174_,15.04µm
_0810_,15.04µm
_0570_,15.02µm
_0684_,15.02µm
_1073_,15.02µm
_1225_,15.02µm
_0419_,14.96µm
_0432_,14.96µm
_0158_,14.94µm
_1335_,14.94µm
_1402_,14.89µm
_0277_,14.88µm
_0925_,14.88µm
_0194_,14.86µm
_0683_,14.84µm
X_crt\[7\],14.8µm
_1370_,14.8µm
net41,14.8µm
_1138_,14.78µm
_0674_,14.76µm
_0770_,14.76µm
_0476_,14.74µm
_1034_,14.7µm
net43,14.68µm
_0172_,14.64µm
_1260_,14.64µm
_1027_,14.6µm
net14,14.58µm
_0235_,14.56µm
_0438_,14.56µm
_0678_,14.56µm
_0727_,14.56µm
_1293_,14.56µm
_0751_,14.5µm
_1025_,14.5µm
_1103_,14.5µm
_1564_,14.5µm
_0512_,14.48µm
_0526_,14.48µm
_0708_,14.48µm
_0442_,14.46µm
_1414_,14.44µm
_0664_,14.42µm
_0426_,14.34µm
_0645_,14.34µm
_1098_,14.32µm
_1531_,14.28µm
_0450_,14.26µm
_0638_,14.26µm
_0940_,14.26µm
_1334_,14.26µm
_0200_,14.22µm
_1264_,14.18µm
_1026_,14.14µm
_0933_,14.1µm
_1302_,14.1µm
net167,14.1µm
_1571_,14.08µm
_0236_,13.98µm
_0550_,13.96µm
_0643_,13.96µm
_1451_,13.96µm
_1478_,13.96µm
_1559_,13.96µm
net81,13.96µm
_0572_,13.955µm
_0126_,13.94µm
_1243_,13.92µm
_1575_,13.92µm
_0635_,13.9µm
_0494_,13.88µm
net40,13.88µm
net42,13.88µm
_0425_,13.84µm
_1175_,13.82µm
_0587_,13.8µm
_0893_,13.76µm
_0995_,13.76µm
_1419_,13.76µm
_0412_,13.72µm
_0495_,13.72µm
_0118_,13.68µm
_1012_,13.68µm
_1247_,13.68µm
_1594_,13.68µm
_0796_,13.66µm
_1085_,13.64µm
_0373_,13.58µm
_0535_,13.56µm
_1131_,13.56µm
_1395_,13.56µm
X_crt\[3\],13.54µm
_0288_,13.54µm
_1015_,13.54µm
_0738_,13.52µm
_0539_,13.5µm
_0176_,13.48µm
_0332_,13.44µm
_0992_,13.42µm
_1319_,13.42µm
_1562_,13.42µm
_0649_,13.4µm
_0823_,13.38µm
_0839_,13.38µm
_1294_,13.38µm
_0195_,13.34µm
_0949_,13.34µm
_0150_,13.32µm
_0696_,13.305µm
_1101_,13.3µm
_0159_,13.26µm
_1146_,13.24µm
_0362_,13.2µm
_0534_,13.18µm
_0747_,13.18µm
_0926_,13.16µm
_1572_,13.16µm
_0163_,13.14µm
X_crt\[13\],13.08µm
_0460_,13.08µm
_0500_,13.04µm
_1380_,13.04µm
_0164_,13.02µm
_0969_,13µm
_1488_,12.98µm
_0255_,12.96µm
_0758_,12.96µm
_1569_,12.96µm
_1276_,12.955µm
_0644_,12.92µm
_0749_,12.92µm
_1533_,12.92µm
net101,12.92µm
_1029_,12.91µm
_1092_,12.9µm
_0717_,12.88µm
_1048_,12.88µm
_1327_,12.88µm
_0740_,12.84µm
_1174_,12.83µm
_0160_,12.8µm
_0695_,12.8µm
_0875_,12.8µm
_0879_,12.8µm
net19,12.8µm
net200,12.8µm
_0948_,12.76µm
_1447_,12.76µm
net38,12.74µm
_1001_,12.72µm
_1082_,12.72µm
_1311_,12.72µm
net46,12.7µm
_1024_,12.66µm
_0567_,12.64µm
_0617_,12.64µm
_0697_,12.64µm
_1273_,12.64µm
_1376_,12.62µm
_1603_,12.62µm
net75,12.62µm
_0215_,12.58µm
_1167_,12.58µm
net130,12.58µm
_0489_,12.54µm
_0616_,12.54µm
_1042_,12.54µm
_0106_,12.52µm
_0365_,12.52µm
_1045_,12.5µm
_1436_,12.5µm
_0437_,12.46µm
_0395_,12.44µm
_0231_,12.4µm
_1351_,12.4µm
Op_Sel[1],12.38µm
_1150_,12.34µm
_1310_,12.34µm
_1333_,12.34µm
CRT_Done,12.3µm
_0701_,12.3µm
_0707_,12.3µm
_0935_,12.3µm
_1121_,12.3µm
_1566_,12.28µm
_0204_,12.26µm
net165,12.26µm
_0702_,12.24µm
_1078_,12.24µm
_1105_,12.24µm
_0183_,12.22µm
_0636_,12.2µm
_0860_,12.18µm
_0868_,12.18µm
net193,12.18µm
_0465_,12.14µm
_0962_,12.12µm
_1035_,12.12µm
net20,12.12µm
net50,12.12µm
net99,12.12µm
_0202_,12.1µm
_1560_,12.1µm
_1330_,12.08µm
_0485_,12.02µm
_1505_,12.02µm
_0376_,11.98µm
_1553_,11.98µm
_1278_,11.96µm
_0293_,11.94µm
_0680_,11.92µm
_0930_,11.92µm
_0267_,11.88µm
_0389_,11.88µm
_0392_,11.88µm
_0784_,11.88µm
_0853_,11.88µm
_1284_,11.88µm
_0296_,11.84µm
_0477_,11.84µm
_0565_,11.8µm
_0630_,11.76µm
_0709_,11.76µm
_1262_,11.74µm
_1526_,11.74µm
_0584_,11.72µm
_1232_,11.72µm
_0154_,11.7µm
_0786_,11.695µm
_0752_,11.68µm
_1503_,11.675µm
_0206_,11.66µm
_0947_,11.66µm
_1148_,11.66µm
_1532_,11.66µm
_1561_,11.66µm
_1191_,11.64µm
_0543_,11.62µm
_0983_,11.62µm
_0281_,11.56µm
net146,11.56µm
net88,11.52µm
_0249_,11.5µm
_1227_,11.48µm
_1591_,11.48µm
_0782_,11.46µm
_1197_,11.46µm
_0927_,11.44µm
_1434_,11.44µm
_0864_,11.42µm
_1418_,11.42µm
net85,11.42µm
_1028_,11.38µm
net188,11.38µm
_0434_,11.36µm
_0863_,11.32µm
_1472_,11.32µm
_1477_,11.32µm
_1385_,11.3µm
_1022_,11.28µm
_1540_,11.28µm
_1490_,11.26µm
net76,11.26µm
_0518_,11.24µm
_0598_,11.24µm
_0139_,11.2µm
_1296_,11.2µm
_1399_,11.2µm
_1475_,11.2µm
_0505_,11.16µm
_1095_,11.16µm
_1298_,11.14µm
net238,11.14µm
_1471_,11.06µm
_0647_,11.055µm
_0162_,11.04µm
_0928_,11.04µm
_1314_,11.04µm
_0448_,11.02µm
_0262_,11µm
X_crt\[15\],10.96µm
_1116_,10.96µm
_1299_,10.96µm
_1535_,10.94µm
_0109_,10.92µm
_0295_,10.92µm
_0347_,10.92µm
_0449_,10.92µm
_0953_,10.92µm
_1400_,10.92µm
_1412_,10.91µm
_0272_,10.9µm
_0557_,10.88µm
_0730_,10.88µm
_1511_,10.88µm
_0555_,10.86µm
_1596_,10.86µm
_0857_,10.84µm
_1157_,10.84µm
_1283_,10.84µm
_0737_,10.82µm
_0938_,10.82µm
_1064_,10.8µm
_1145_,10.8µm
_1386_,10.8µm
_0396_,10.78µm
_0406_,10.78µm
_1014_,10.78µm
_1188_,10.78µm
_1236_,10.78µm
net95,10.76µm
_0513_,10.74µm
_1039_,10.74µm
_0140_,10.72µm
_1457_,10.72µm
_0218_,10.715µm
_0544_,10.7µm
_0609_,10.7µm
_0115_,10.66µm
_0482_,10.66µm
_1269_,10.66µm
_0506_,10.64µm
_0658_,10.62µm
_0931_,10.62µm
_1580_,10.62µm
_1268_,10.6µm
_1130_,10.58µm
_0227_,10.54µm
_0806_,10.54µm
_0797_,10.52µm
_1280_,10.52µm
_1308_,10.5µm
net67,10.48µm
_0632_,10.46µm
_0087_,10.44µm
_0161_,10.44µm
_1031_,10.44µm
net48,10.44µm
_0528_,10.42µm
_1201_,10.42µm
_0602_,10.38µm
_1066_,10.36µm
net82,10.36µm
_0356_,10.32µm
_0663_,10.32µm
net25,10.32µm
_0742_,10.3µm
_0856_,10.3µm
_0092_,10.28µm
_1277_,10.26µm
_1128_,10.24µm
net131,10.24µm
_0468_,10.23µm
_0265_,10.2µm
net24,10.2µm
_1557_,10.18µm
_0331_,10.16µm
