net,length_um
net36,2.18668mm
_0383_,1.034315mm
clknet_0_clk,721.74µm
_0553_,417.195µm
_0911_,359.005µm
clknet_3_6__leaf_clk,356.16µm
clknet_3_2__leaf_clk,350.6µm
_0912_,349.595µm
Encode_EN,333.895µm
_0187_,318.925µm
clknet_3_0__leaf_clk,306.025µm
clknet_3_3__leaf_clk,300.26µm
OpSel_reg\[0\],300.215µm
clknet_3_1__leaf_clk,281.44µm
a_r3\[3\],275.68µm
clknet_3_7__leaf_clk,266.78µm
_0910_,249.25µm
clk,247.95µm
_0185_,238.04µm
_0188_,234.48µm
B_reg\[1\],233.66µm
clknet_3_4__leaf_clk,220.68µm
clknet_3_5__leaf_clk,211.98µm
A_reg\[6\],211.895µm
a_r3\[0\],210.115µm
B_reg\[2\],208.155µm
CRT_Start,205.42µm
A_reg\[13\],203.9µm
B_reg\[4\],196.625µm
net34,189.76µm
net33,189.72µm
A_reg\[0\],188.535µm
A_reg\[1\],185.94µm
_0186_,185.1µm
A_reg\[11\],180.68µm
A_reg\[2\],174.1µm
A_reg\[3\],169.99µm
A_reg\[10\],168.26µm
_0184_,165.39µm
B_reg\[5\],164.78µm
A_reg\[8\],161.74µm
A_reg\[15\],158.56µm
A_reg\[9\],158.335µm
b_r1\[0\],157.435µm
B_reg\[3\],157.415µm
A_reg\[4\],156.24µm
_0554_,152.58µm
b_r3\[3\],150.635µm
A_reg\[12\],146.45µm
a_r3\[1\],145.165µm
a_r3\[2\],145.09µm
B_reg\[8\],143.44µm
net17,141.76µm
a_r2\[0\],136.88µm
a_r1\[0\],136.795µm
A_reg\[7\],136.71µm
b_r3\[2\],133.52µm
B_reg\[6\],132.915µm
B_reg\[7\],128.94µm
net9,120.1µm
A_reg\[14\],119.51µm
net10,116.88µm
net11,115.98µm
_0604_,114.92µm
net8,113.54µm
B_reg\[12\],112.49µm
net12,109.58µm
b_r3\[1\],106.08µm
_0892_,104.84µm
A_reg\[5\],103.335µm
b_r1\[2\],102.57µm
_0903_,100.3µm
_0564_,100.05µm
net37,99.54µm
b_r2\[2\],99.31µm
a_r1\[2\],97.59µm
a_r1\[1\],97.34µm
B_reg\[0\],95.38µm
B_reg\[14\],94.4µm
_1354_,94.18µm
_0580_,93.98µm
_0901_,92.02µm
_0628_,90.34µm
_0778_,89.02µm
_0899_,87.54µm
b_r0\[0\],86.39µm
net35,86.34µm
B_reg\[11\],85.47µm
_0890_,85.14µm
_0743_,84.825µm
B_reg\[9\],84.35µm
OpSel_reg\[1\],84.14µm
_0891_,84µm
_0889_,83.9µm
_0900_,83.34µm
net1,83.34µm
_0573_,83.22µm
_0732_,82.84µm
b_r2\[0\],82.44µm
_0902_,82.32µm
net13,82.3µm
_0574_,81.28µm
_0907_,80.32µm
_1546_,80.02µm
_0894_,79.22µm
a_r2\[1\],78.7µm
u_crt.start_d,76.9µm
b_r0\[1\],76.88µm
_1352_,76.52µm
_0561_,75.74µm
net52,73.58µm
B_reg\[13\],73.56µm
_0469_,73.48µm
_0673_,73.12µm
b_r2\[1\],73.06µm
b_r3\[0\],71.4µm
_0790_,70.5µm
_0624_,70.28µm
B_reg\[10\],70.18µm
X_crt\[4\],68.98µm
B_reg\[15\],68.705µm
_0909_,68.62µm
_0803_,65.86µm
_1387_,65.6µm
_0579_,64.74µm
b_r1\[1\],64.715µm
a_r2\[2\],64.41µm
_0234_,64.3µm
_0422_,63.92µm
_0858_,63.14µm
_0387_,62.12µm
CU_state_dbg\[2\],61.83µm
a_r0\[0\],60.84µm
_1388_,60.78µm
_0848_,59.12µm
_1159_,59.1µm
_0798_,58.92µm
_0571_,57.06µm
_1160_,55.5µm
_1343_,54.94µm
_1544_,54.58µm
_0767_,54.12µm
_0307_,53.9µm
_0850_,53.9µm
net28,53.9µm
_1324_,53.16µm
_1315_,52.72µm
_0623_,52.18µm
_0722_,52.02µm
_0232_,51.96µm
_0777_,50.8µm
_0612_,50.56µm
_0888_,50.36µm
_0607_,50.34µm
_0453_,50.24µm
u_crt.r3\[0\],50.1µm
_0563_,49.42µm
_0905_,49.17µm
_0111_,48.26µm
u_crt.r3\[2\],47.86µm
_0904_,47.8µm
_1011_,47.72µm
_0854_,47.52µm
_0841_,47.04µm
_1155_,46.96µm
_0897_,45.82µm
_0724_,45.02µm
_1486_,44.98µm
_0799_,44.54µm
CU_state_dbg\[1\],44.24µm
_1336_,44.04µm
_1186_,43.85µm
_0908_,43.58µm
a_r0\[1\],43.56µm
X_crt\[9\],42.94µm
_0268_,42.88µm
_0570_,42.5µm
_0706_,42.42µm
_0847_,42.3µm
_0688_,42.22µm
_1474_,42µm
u_crt.r1\[1\],41.72µm
_0216_,41.3µm
_0409_,41.3µm
_0586_,40.95µm
_1322_,40.66µm
u_crt.r2\[0\],40.335µm
_1332_,40.28µm
_0923_,40.02µm
_0175_,39.54µm
_0423_,39.32µm
_1156_,39.28µm
_0493_,39.22µm
_0611_,38.61µm
u_crt.r3\[1\],37.54µm
_1207_,37.36µm
_0411_,37.315µm
_1176_,37.26µm
_0972_,37.14µm
_0977_,37.1µm
_1555_,36.18µm
_0575_,36.14µm
_0827_,35.95µm
_0914_,35.9µm
_0122_,35.76µm
u_crt.r2\[1\],35.68µm
net29,35.58µm
_0808_,35.48µm
_0834_,35.42µm
_0773_,35.16µm
_1356_,34.9µm
_0408_,34.88µm
_0384_,34.61µm
_0346_,34.6µm
_0558_,34.48µm
_0804_,34.46µm
_1452_,34.46µm
_0341_,34.11µm
_1090_,34.1µm
_1440_,34.06µm
_1071_,33.89µm
u_crt.r3\[3\],33.82µm
_0895_,33.8µm
_1570_,33.68µm
_0108_,33.46µm
_1199_,33.43µm
