net,length_um
net36,2.146625mm
_0383_,1.038555mm
clknet_0_clk,712.86µm
_0553_,415µm
_0911_,361.89µm
clknet_3_6__leaf_clk,358.84µm
_0912_,344.16µm
clknet_3_2__leaf_clk,330µm
Encode_EN,329.235µm
_0187_,312.53µm
clknet_3_3__leaf_clk,301.86µm
clknet_3_0__leaf_clk,300.36µm
OpSel_reg\[0\],299.575µm
clknet_3_1__leaf_clk,293.64µm
clknet_3_7__leaf_clk,272.795µm
a_r3\[3\],263.5µm
_0910_,249.92µm
clk,247.95µm
clknet_3_4__leaf_clk,243.56µm
_0185_,241.84µm
B_reg\[1\],235.435µm
_0188_,225.48µm
clknet_3_5__leaf_clk,219.62µm
B_reg\[2\],218.945µm
B_reg\[4\],200.175µm
A_reg\[1\],199.685µm
A_reg\[0\],198.36µm
_0186_,195.44µm
CRT_Start,195.4µm
net34,192.06µm
net33,189.72µm
A_reg\[6\],188.02µm
A_reg\[9\],186.555µm
A_reg\[10\],183.28µm
A_reg\[11\],181.515µm
A_reg\[2\],176.38µm
A_reg\[3\],175µm
b_r1\[0\],171.87µm
B_reg\[5\],171.47µm
_0184_,164.41µm
net261,161.4µm
B_reg\[3\],160.395µm
A_reg\[4\],159.76µm
a_r3\[1\],158.355µm
_0554_,157.72µm
A_reg\[7\],157.61µm
a_r3\[0\],157.4µm
A_reg\[8\],151.295µm
a_r3\[2\],150.18µm
A_reg\[13\],143.855µm
B_reg\[8\],142.175µm
net17,142.08µm
net83,139.98µm
a_r2\[0\],137.64µm
a_r1\[0\],129.275µm
B_reg\[6\],124.98µm
B_reg\[7\],122.715µm
net9,120.44µm
net10,119.38µm
A_reg\[5\],117.34µm
net11,117.12µm
_0604_,114.56µm
net8,114µm
b_r3\[1\],111.84µm
net12,109.58µm
_0892_,109.11µm
net81,107.96µm
_0564_,102.23µm
_0580_,100.48µm
net37,99.3µm
_0902_,99.08µm
b_r2\[2\],98.71µm
net82,98.26µm
B_reg\[0\],97.86µm
B_reg\[9\],96.65µm
net259,94.54µm
_0903_,94.22µm
_1354_,94.18µm
_0889_,94.14µm
a_r1\[2\],93.16µm
a_r1\[1\],92.86µm
b_r1\[2\],92.555µm
b_r0\[0\],92.49µm
b_r3\[3\],91.46µm
net189,90.52µm
_0778_,89.52µm
_0628_,89.42µm
_0574_,86.69µm
_0890_,86.62µm
_0891_,86.52µm
net35,85.76µm
_0743_,84.825µm
_0901_,84.64µm
net1,84.14µm
_0900_,84.12µm
net13,84.12µm
_0894_,83.54µm
OpSel_reg\[1\],83.34µm
_0573_,82.2µm
_0899_,82.08µm
net54,81.6µm
B_reg\[11\],80.7µm
_0732_,80.08µm
b_r2\[0\],80.02µm
_0907_,78.62µm
A_reg\[14\],77.24µm
u_crt.start_d,76.9µm
_1352_,76.52µm
b_r0\[1\],76.46µm
_0561_,76.08µm
_1546_,75.66µm
b_r2\[1\],75.08µm
B_reg\[12\],74.28µm
_0673_,74.26µm
net59,73.9µm
net52,73.58µm
a_r2\[1\],73.255µm
_0858_,72.64µm
A_reg\[15\],71.98µm
_0469_,71.54µm
X_crt\[4\],71.04µm
A_reg\[12\],70.88µm
B_reg\[10\],70.765µm
b_r3\[0\],70.58µm
net90,70.28µm
_0624_,69.26µm
_0909_,68.72µm
_0234_,67.58µm
_1387_,65.82µm
_0803_,65.3µm
a_r2\[2\],64.82µm
net91,64.36µm
_0848_,63.84µm
_0422_,63.58µm
_0579_,63.58µm
_0790_,63.28µm
_1159_,63µm
B_reg\[14\],62.96µm
b_r1\[1\],62.8µm
_0798_,62.5µm
net88,62.02µm
net266,61.09µm
CU_state_dbg\[2\],60.62µm
B_reg\[13\],60.48µm
_0571_,59.96µm
_0387_,59.48µm
B_reg\[15\],58.68µm
a_r0\[0\],58.28µm
net55,58.12µm
_1388_,57.6µm
_0307_,56.74µm
u_crt.r3\[2\],56.54µm
_1160_,56.2µm
_0888_,55.84µm
net28,54.36µm
_1324_,54.32µm
_0623_,53.93µm
_0722_,53.6µm
_1315_,53.18µm
net65,53.145µm
_0777_,52.88µm
_1544_,52.84µm
_1343_,51.96µm
_0453_,51.36µm
_0767_,50.9µm
_0232_,50.58µm
_0563_,50.58µm
_0897_,50.42µm
_0607_,50.27µm
a_r0\[1\],50.14µm
_0850_,50.1µm
_0854_,49.92µm
_0612_,49.76µm
_0409_,49.48µm
_1011_,48.26µm
_0841_,46.48µm
_0906_,46.44µm
u_crt.r3\[0\],46.18µm
u_crt.r1\[1\],45.44µm
CU_state_dbg\[1\],45.435µm
_0908_,45.065µm
_0111_,44.8µm
_0904_,44.74µm
_0724_,44.54µm
_0799_,43.24µm
_1186_,43.08µm
_0268_,42.88µm
_1332_,42.8µm
_1156_,42.7µm
_1336_,42.68µm
_0974_,42.4µm
_0688_,42.34µm
_0905_,42.3µm
X_crt\[9\],41.92µm
_0706_,41.88µm
u_crt.r3\[3\],41.88µm
net56,41.62µm
_0216_,41.42µm
_1071_,41.35µm
_1586_,41.28µm
_0570_,41.14µm
_1322_,39.82µm
_0923_,39.68µm
_0175_,39.54µm
_1415_,39.46µm
_0586_,39µm
_1176_,38.86µm
_1155_,38.6µm
_1440_,38.56µm
_0972_,38.52µm
net29,38.34µm
_0611_,38.15µm
u_crt.r3\[1\],38.04µm
_0423_,37.94µm
u_crt.r2\[0\],37.94µm
_0872_,37.9µm
_1356_,37.86µm
_1431_,37.78µm
_1592_,37.52µm
_0834_,37.48µm
_0105_,37.44µm
_0895_,37.42µm
_0436_,37.18µm
_0575_,37.18µm
net4,37.14µm
_1474_,37.09µm
_0960_,36.98µm
_1207_,36.68µm
_0411_,36.54µm
b_r3\[2\],36.46µm
_1570_,36.28µm
_0977_,36.1µm
_0341_,36.03µm
_0827_,35.73µm
_0384_,35.65µm
_1090_,35.56µm
_0142_,35.52µm
_0949_,35.48µm
_0122_,35.22µm
u_crt.r2\[1\],35.1µm
_1452_,35.02µm
_1555_,34.94µm
_0832_,34.76µm
_1500_,34.66µm
_0338_,34.56µm
_0558_,34.34µm
_0815_,34.335µm
_1199_,34.3µm
_1307_,33.71µm
_0393_,33.64µm
_0826_,33.64µm
u_crt.r2\[2\],33.38µm
_0435_,33.28µm
_0108_,33.26µm
_0258_,33.02µm
_1584_,33.02µm
_0306_,32.98µm
_1495_,32.7µm
_0129_,32.56µm
_0420_,32.52µm
_1190_,32.46µm
_0622_,32.415µm
_0461_,32.28µm
_0408_,32.12µm
_0346_,32.1µm
net53,32.08µm
_0914_,32.03µm
_1439_,32µm
_0566_,31.84µm
net51,31.78µm
_0224_,31.72µm
u_crt.r1\[2\],31.46µm
_0135_,31.42µm
net23,31.32µm
_1134_,31.175µm
X_crt\[5\],31.16µm
_1516_,31.1µm
_0681_,31µm
_0143_,30.84µm
_1255_,30.82µm
_1285_,30.78µm
_1487_,30.7µm
_1345_,30.6µm
_0421_,30.54µm
_0542_,30.3µm
_0613_,30.24µm
_0320_,30.2µm
_0773_,30.16µm
_1218_,30.14µm
_1601_,30.14µm
_1047_,30.095µm
_0297_,30.08µm
_0451_,30.02µm
_0479_,29.795µm
_0718_,29.78µm
_1033_,29.78µm
_0321_,29.76µm
_0471_,29.64µm
_1179_,29.4µm
_0237_,29.32µm
_0155_,29.26µm
_0746_,29.2µm
net47,29.1µm
_1036_,29.02µm
_1496_,28.93µm
_0820_,28.74µm
_1292_,28.72µm
_0655_,28.6µm
_1170_,28.6µm
_1168_,28.56µm
_0276_,28.54µm
_1169_,28.44µm
_0222_,28.4µm
_0493_,28.32µm
_0693_,28.28µm
_0552_,28.24µm
_0805_,28.24µm
_0761_,28.16µm
_0813_,28.12µm
_1140_,28.12µm
_1527_,28µm
_1212_,27.8µm
net262,27.78µm
_0846_,27.6µm
_0455_,27.54µm
_0804_,27.41µm
_1521_,27.34µm
_0313_,27.185µm
_1063_,27.15µm
_1518_,27.08µm
_1428_,27.04µm
_0364_,26.88µm
_0483_,26.875µm
_0113_,26.84µm
_0855_,26.84µm
_0991_,26.735µm
_1486_,26.7µm
_0754_,26.44µm
_1194_,26.32µm
_1427_,26.32µm
net39,26.3µm
_0594_,26.255µm
_0168_,26.22µm
u_crt.r1\[0\],26.22µm
_0131_,26.16µm
_1593_,26.16µm
_1430_,26.14µm
_1266_,26.1µm
_1506_,26.1µm
_0326_,26.04µm
_0610_,25.94µm
_0934_,25.94µm
_1493_,25.86µm
_0394_,25.83µm
_1050_,25.82µm
X_crt\[0\],25.8µm
_0220_,25.8µm
_0852_,25.8µm
_0920_,25.76µm
_0873_,25.68µm
_0971_,25.68µm
_0238_,25.665µm
_1240_,25.54µm
_0223_,25.4µm
_1485_,25.36µm
_1261_,25.22µm
_0127_,25.16µm
_0352_,25.08µm
_0144_,25.02µm
_1234_,25µm
_0173_,24.98µm
_0443_,24.92µm
_0478_,24.92µm
_0562_,24.92µm
_0919_,24.92µm
_1568_,24.92µm
_0577_,24.82µm
_1589_,24.78µm
_1021_,24.7µm
_0733_,24.68µm
_0835_,24.6µm
_0318_,24.58µm
_0847_,24.56µm
_0744_,24.48µm
_0312_,24.42µm
_0525_,24.4µm
_0446_,24.36µm
_0314_,24.3µm
_0363_,24.3µm
_1595_,24.29µm
_0793_,24.14µm
_1229_,24.14µm
_1578_,24.12µm
_0280_,24.06µm
_0414_,24.02µm
_0582_,23.98µm
_0877_,23.96µm
X_crt\[2\],23.88µm
_1550_,23.88µm
_0741_,23.78µm
_1215_,23.68µm
_0592_,23.65µm
_0390_,23.6µm
_0578_,23.5µm
_0780_,23.5µm
_1251_,23.46µm
_1483_,23.46µm
_1573_,23.46µm
_0433_,23.44µm
_0375_,23.4µm
_1473_,23.32µm
net2,23.32µm
_1377_,23.26µm
_0844_,23.18µm
_0531_,23.14µm
_0966_,23.14µm
_0764_,23.1µm
_0334_,22.97µm
_0817_,22.94µm
_0988_,22.88µm
_0404_,22.86µm
_0606_,22.84µm
_1507_,22.82µm
_0153_,22.78µm
_0884_,22.72µm
_1088_,22.72µm
_0814_,22.7µm
_1539_,22.7µm
_0583_,22.68µm
_1374_,22.62µm
_1252_,22.5µm
_0995_,22.48µm
_1306_,22.46µm
_0233_,22.44µm
_0989_,22.44µm
_1300_,22.4µm
_1499_,22.34µm
_0689_,22.3µm
_0870_,22.285µm
_0242_,22.28µm
_0413_,22.26µm
_1067_,22.22µm
_0763_,22.18µm
_1275_,22.18µm
_0410_,22.14µm
_0768_,22.04µm
_0456_,22µm
_1044_,22µm
_0138_,21.98µm
_1106_,21.865µm
_0978_,21.84µm
_1279_,21.7µm
_0712_,21.66µm
_1029_,21.62µm
_0123_,21.6µm
_0368_,21.58µm
_1173_,21.54µm
net30,21.54µm
_1410_,21.48µm
_1163_,21.46µm
_1587_,21.44µm
_0929_,21.42µm
_1161_,21.38µm
net45,21.38µm
_0556_,21.36µm
_1222_,21.3µm
_1238_,21.3µm
_0125_,21.28µm
_0913_,21.24µm
_0933_,21.18µm
_1061_,21.16µm
u_crt.r0\[1\],21.16µm
_1381_,21.08µm
_0416_,21.04µm
_1338_,20.94µm
_0762_,20.88µm
_1461_,20.82µm
_0957_,20.78µm
_0261_,20.76µm
_1119_,20.74µm
_0648_,20.72µm
_0867_,20.72µm
_0726_,20.7µm
_0729_,20.7µm
_0794_,20.7µm
_0371_,20.67µm
_0775_,20.62µm
net14,20.62µm
_0760_,20.54µm
_0600_,20.52µm
_1537_,20.5µm
_1600_,20.5µm
net224,20.49µm
X_crt\[3\],20.48µm
_1364_,20.44µm
