net,length_um
net36,2.17313mm
_0383_,1.040275mm
clknet_0_clk,723.22µm
_0553_,411.58µm
_0911_,368.27µm
clknet_3_6__leaf_clk,356.035µm
clknet_3_2__leaf_clk,351.58µm
_0912_,342.735µm
Encode_EN,332.68µm
_0187_,314.42µm
clknet_3_0__leaf_clk,305.565µm
OpSel_reg\[0\],304.66µm
clknet_3_3__leaf_clk,296.08µm
clknet_3_1__leaf_clk,287.92µm
a_r3\[3\],267.46µm
_0910_,265.96µm
clknet_3_7__leaf_clk,263.16µm
clk,247.95µm
_0188_,238.76µm
_0185_,238.72µm
B_reg\[1\],233.2µm
a_r3\[0\],210.235µm
clknet_3_5__leaf_clk,208.9µm
B_reg\[2\],207.815µm
clknet_3_4__leaf_clk,206.04µm
CRT_Start,201.78µm
A_reg\[0\],201.135µm
B_reg\[4\],197.3µm
A_reg\[13\],195.03µm
A_reg\[6\],191.02µm
A_reg\[1\],190.64µm
net34,189.76µm
A_reg\[11\],188.32µm
_0186_,187.04µm
net33,186.5µm
A_reg\[10\],176.12µm
A_reg\[2\],175.38µm
A_reg\[3\],172.575µm
_0184_,168.95µm
B_reg\[5\],165.045µm
b_r1\[0\],160.73µm
A_reg\[8\],158.56µm
B_reg\[3\],156.86µm
A_reg\[4\],156.62µm
_0554_,153.5µm
b_r3\[3\],152.495µm
A_reg\[9\],150.945µm
a_r3\[1\],148.495µm
A_reg\[12\],147.395µm
A_reg\[15\],143.275µm
net17,142.1µm
A_reg\[7\],141.315µm
a_r1\[0\],138.935µm
B_reg\[8\],136.56µm
a_r2\[0\],135.5µm
B_reg\[7\],129.44µm
b_r3\[2\],128.9µm
B_reg\[6\],126.6µm
a_r3\[2\],123.3µm
A_reg\[14\],122.8µm
net9,121.8µm
net10,116.88µm
net11,115.98µm
_0604_,113.56µm
net8,113.54µm
_0903_,112.765µm
b_r3\[1\],110.36µm
A_reg\[5\],106.28µm
_0892_,104.76µm
net12,103.66µm
_0564_,102.91µm
b_r2\[2\],102.87µm
net37,102.5µm
_1354_,97.68µm
a_r1\[1\],97.475µm
_0580_,97.16µm
B_reg\[0\],96.78µm
b_r1\[2\],94.26µm
_0901_,93.16µm
_0899_,91.54µm
a_r1\[2\],91.42µm
_0628_,91.26µm
b_r0\[0\],90.41µm
_0890_,89.34µm
_0778_,88.42µm
B_reg\[9\],88.36µm
_0889_,87.3µm
_0900_,86.32µm
B_reg\[11\],85.65µm
_0891_,85.58µm
_0902_,85.42µm
net35,84.84µm
_0743_,84.825µm
_0573_,84.145µm
net13,82.98µm
net1,82.88µm
_0732_,82.84µm
OpSel_reg\[1\],82.04µm
b_r3\[0\],81.635µm
b_r2\[0\],81.52µm
_1546_,80.36µm
_0894_,79.3µm
b_r0\[1\],79.1µm
_1352_,78.9µm
net54,78.12µm
_0574_,77.62µm
u_crt.start_d,76.9µm
_0907_,76.15µm
_0561_,76.08µm
a_r2\[1\],74.225µm
net52,73.88µm
b_r2\[1\],73.58µm
_0469_,73.46µm
