net,length_um
net36,2.13699mm
_0383_,1.03693mm
clknet_0_clk,711.04µm
_0553_,403.35µm
_0911_,362.8µm
clknet_3_6__leaf_clk,359.88µm
_0912_,342.58µm
clknet_3_2__leaf_clk,331µm
Encode_EN,325.745µm
OpSel_reg\[0\],310.205µm
clknet_3_0__leaf_clk,306.88µm
_0187_,297.76µm
clknet_3_3__leaf_clk,290.37µm
clknet_3_1__leaf_clk,287.96µm
a_r3\[3\],275.56µm
_0910_,260.67µm
clknet_3_7__leaf_clk,259.455µm
clk,247.95µm
_0185_,242.38µm
_0188_,235.74µm
B_reg\[1\],234.51µm
a_r3\[0\],220.975µm
B_reg\[2\],216.65µm
clknet_3_4__leaf_clk,212.5µm
A_reg\[0\],202.635µm
B_reg\[4\],197.445µm
A_reg\[6\],195.72µm
A_reg\[13\],191.07µm
clknet_3_5__leaf_clk,190.14µm
net33,189.72µm
net34,188.84µm
CRT_Start,186.475µm
_0186_,185.075µm
A_reg\[1\],184.895µm
A_reg\[11\],183.735µm
A_reg\[3\],178.22µm
B_reg\[5\],175.48µm
A_reg\[2\],174.655µm
A_reg\[10\],169.24µm
b_r1\[0\],165.34µm
A_reg\[8\],161.14µm
A_reg\[9\],159.97µm
B_reg\[3\],155.595µm
_0184_,155.29µm
a_r3\[1\],152.645µm
b_r3\[3\],152.3µm
_0554_,152.22µm
A_reg\[4\],148.56µm
A_reg\[12\],147.91µm
a_r1\[0\],143.935µm
net17,142.78µm
B_reg\[8\],141.32µm
a_r3\[2\],140.32µm
B_reg\[6\],138.85µm
a_r2\[0\],138.78µm
A_reg\[15\],138.205µm
b_r3\[2\],138.16µm
A_reg\[7\],131.66µm
B_reg\[7\],123.58µm
A_reg\[14\],120.9µm
net9,120.56µm
net10,116.88µm
net11,115.76µm
net8,113.54µm
_0604_,113.06µm
B_reg\[12\],109.34µm
_0892_,107.7µm
b_r3\[1\],105µm
net12,104.14µm
A_reg\[5\],102.96µm
net37,102.26µm
b_r2\[2\],98.95µm
B_reg\[9\],96.9µm
_0580_,95.24µm
b_r1\[2\],95.23µm
OpSel_reg\[1\],94.26µm
_0903_,94.24µm
_1354_,94.18µm
B_reg\[0\],93.9µm
a_r1\[1\],93.22µm
_0902_,92.26µm
_0564_,90.51µm
_0628_,89.88µm
_0899_,89.6µm
b_r0\[0\],88.57µm
_0778_,88.42µm
_0900_,88.28µm
_0890_,87.76µm
a_r1\[2\],87.55µm
_0891_,87.2µm
B_reg\[14\],86.72µm
net35,85.42µm
_0901_,84.86µm
_0743_,84.825µm
net13,84.12µm
net1,83.68µm
_0573_,83.22µm
_0889_,83.2µm
_0732_,82.84µm
B_reg\[13\],79.9µm
_0894_,78.86µm
_0574_,78.84µm
b_r2\[0\],78.34µm
_0907_,78.26µm
B_reg\[11\],76.16µm
_0561_,76.08µm
_1352_,76.06µm
_1546_,76.06µm
_0422_,75.24µm
b_r3\[0\],74.7µm
a_r2\[1\],74.36µm
net52,73.88µm
b_r0\[1\],73.74µm
_0790_,73.16µm
_0673_,72.88µm
B_reg\[10\],72.46µm
_1387_,71.88µm
a_r0\[0\],70.71µm
_0909_,70.34µm
_0469_,70.06µm
_0624_,68.92µm
b_r2\[1\],68.7µm
u_crt.start_d,68.48µm
a_r2\[2\],67.66µm
_0579_,65.075µm
_0234_,64.98µm
_0803_,64.6µm
_0858_,64.4µm
X_crt\[4\],64µm
CU_state_dbg\[2\],62.87µm
B_reg\[15\],62.58µm
b_r1\[1\],61.42µm
_1388_,58.8µm
_0387_,58.46µm
_0848_,57.86µm
_0307_,57.54µm
_0798_,57.1µm
_1324_,55.58µm
_1160_,54.92µm
_1544_,54.58µm
net28,54.36µm
_0571_,53.86µm
_0904_,53.84µm
_1343_,53.56µm
_0767_,52.9µm
_0623_,52.64µm
_0722_,52.6µm
_1315_,52.29µm
_0888_,51.98µm
_1186_,51.77µm
_0612_,50.68µm
_0905_,50.48µm
_0409_,50.4µm
_0607_,50.34µm
_0232_,50.12µm
_0777_,50.12µm
_1159_,49.9µm
u_crt.r3\[0\],49.8µm
_0453_,49.32µm
u_crt.r3\[2\],49.32µm
_0111_,49.05µm
_0854_,48.58µm
_1011_,48.22µm
_0563_,48.16µm
_0841_,47.5µm
_0897_,47.5µm
_0850_,47.12µm
CU_state_dbg\[1\],46.48µm
_1155_,45.38µm
a_r0\[1\],45.04µm
_1486_,44.84µm
_1474_,44.76µm
_0799_,44.54µm
_0724_,44.34µm
_1176_,44.24µm
_1336_,43.24µm
_0570_,42.52µm
_0706_,42.42µm
_0908_,42.36µm
u_crt.r1\[1\],41.84µm
X_crt\[9\],41.8µm
u_crt.r3\[1\],41.68µm
_0216_,41.675µm
_0423_,41.6µm
_0268_,41.54µm
_0688_,41.3µm
_0586_,40.95µm
_0847_,40.92µm
_1322_,40.4µm
u_crt.r2\[0\],39.995µm
_1332_,39.82µm
_1156_,39.52µm
_0142_,39.45µm
