Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-04/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
        0 |       0 |       0 |        0 |      0 |     0 |  -12.234 |     -255.5 |     39 | _3238_/D
       10 |       0 |       2 |        7 |      0 |     2 |  -11.400 |     -253.4 |     39 | _3238_/D
       20 |       0 |       9 |       11 |      0 |     3 |  -10.413 |     -249.4 |     39 | _3238_/D
       30 |       0 |      13 |       16 |      0 |     6 |   -9.957 |     -247.7 |     39 | _3238_/D
       40 |       0 |      14 |       20 |      0 |    13 |   -9.600 |     -246.2 |     39 | _3238_/D
       50 |       0 |      14 |       24 |      0 |    21 |   -9.805 |     -247.0 |     39 | _3238_/D
       60 |       0 |      15 |       30 |      0 |    27 |  -10.251 |     -248.9 |     39 | _3237_/D
       70 |       0 |      19 |       32 |      0 |    32 |  -10.292 |     -249.3 |     39 | _3238_/D
       70 |       0 |      16 |       27 |      0 |    18 |   -9.594 |     -246.2 |     39 | _3238_/D
       78 |       0 |      19 |       35 |      0 |    18 |   -9.405 |     -245.9 |     39 | _3238_/D
       80 |       0 |      20 |       35 |      0 |    18 |   -9.432 |     -246.0 |     39 | _3238_/D
       82 |       0 |      19 |       35 |      0 |    18 |   -9.405 |     -245.9 |     39 | _3238_/D
       86 |       0 |      20 |       35 |      0 |    18 |   -9.405 |     -245.9 |     39 | _3238_/D
       90 |       0 |      21 |       36 |      0 |    19 |   -9.405 |     -245.0 |     39 | _3238_/D
      100 |       0 |      24 |       43 |      0 |    22 |   -9.405 |     -245.2 |     39 | _3238_/D
      110 |       0 |      30 |       46 |      0 |    24 |   -9.405 |     -243.1 |     39 | _3238_/D
      120 |       0 |      34 |       52 |      0 |    26 |   -9.405 |     -242.3 |     39 | _3238_/D
      130 |       0 |      39 |       54 |      0 |    30 |   -9.405 |     -241.4 |     39 | _3238_/D
      140 |       0 |      42 |       60 |      0 |    34 |   -9.405 |     -241.4 |     39 | _3238_/D
      150 |       0 |      46 |       62 |      0 |    39 |   -9.405 |     -241.0 |     39 | _3238_/D
      160 |       0 |      51 |       66 |      0 |    42 |   -9.405 |     -247.2 |     39 | _3238_/D
      170 |       0 |      56 |       72 |      0 |    45 |   -9.405 |     -246.8 |     39 | _3238_/D
      180 |       0 |      63 |       73 |      0 |    47 |   -9.405 |     -246.1 |     39 | _3238_/D
      190 |       0 |      69 |       76 |      0 |    50 |   -9.405 |     -245.6 |     39 | _3238_/D
      200 |       0 |      74 |       83 |      0 |    52 |   -9.405 |     -245.3 |     39 | _3238_/D
      206 |       0 |      75 |       83 |      0 |    52 |   -9.405 |     -245.2 |     39 | _3238_/D
      210 |       0 |      77 |       85 |      0 |    52 |   -9.405 |     -245.2 |     39 | _3238_/D
      219 |       0 |      83 |       87 |      0 |    54 |   -9.405 |     -245.2 |     39 | _3238_/D
      220 |       0 |      83 |       87 |      0 |    54 |   -9.405 |     -245.2 |     39 | _3238_/D
      223 |       0 |      84 |       87 |      0 |    55 |   -9.405 |     -245.2 |     39 | _3238_/D
      226 |       0 |      84 |       87 |      0 |    55 |   -9.405 |     -245.2 |     39 | _3238_/D
      230 |       0 |      86 |       87 |      0 |    56 |   -9.405 |     -244.1 |     39 | _3238_/D
      240 |       0 |      92 |       90 |      0 |    59 |   -9.405 |     -243.5 |     39 | _3238_/D
      250 |       0 |      99 |       90 |      0 |    62 |   -9.405 |     -239.7 |     39 | _3238_/D
      260 |       0 |     104 |       95 |      0 |    65 |   -9.405 |     -237.7 |     39 | _3238_/D
      270 |       0 |     110 |       98 |      0 |    68 |   -9.405 |     -235.6 |     39 | _3238_/D
      280 |       0 |     115 |      100 |      0 |    72 |   -9.405 |     -233.4 |     39 | _3238_/D
      290 |       0 |     121 |      102 |      0 |    75 |   -9.405 |     -231.8 |     39 | _3238_/D
      300 |       0 |     127 |      104 |      0 |    78 |   -9.405 |     -231.6 |     39 | _3238_/D
      310 |       0 |     132 |      108 |      0 |    81 |   -9.405 |     -232.6 |     39 | _3238_/D
      320 |       0 |     137 |      112 |      0 |    84 |   -9.405 |     -231.0 |     39 | _3238_/D
      330 |       0 |     146 |      112 |      0 |    85 |   -9.405 |     -230.8 |     39 | _3238_/D
      340 |       0 |     151 |      114 |      0 |    89 |   -9.405 |     -231.2 |     39 | _3238_/D
      350 |       0 |     154 |      120 |      0 |    94 |   -9.405 |     -232.7 |     39 | _3238_/D
      359 |       0 |     152 |      116 |      0 |    92 |   -9.405 |     -231.2 |     39 | _3238_/D
      360 |       0 |     152 |      116 |      0 |    92 |   -9.405 |     -231.2 |     39 | _3238_/D
      370 |       0 |     160 |      118 |      0 |    93 |   -9.405 |     -229.9 |     39 | _3238_/D
      380 |       0 |     167 |      121 |      0 |    95 |   -9.405 |     -228.3 |     39 | _3238_/D
      390 |       0 |     176 |      121 |      0 |    96 |   -9.405 |     -227.4 |     39 | _3238_/D
      400 |       0 |     184 |      121 |      0 |    98 |   -9.426 |     -227.1 |     39 | _3238_/D
      410 |       0 |     193 |      123 |      0 |    98 |   -9.427 |     -225.9 |     39 | _3238_/D
      420 |       0 |     197 |      123 |      0 |   104 |   -9.427 |     -226.1 |     39 | _3238_/D
      430 |       0 |     203 |      125 |      0 |   107 |   -9.427 |     -226.0 |     39 | _3238_/D
      440 |       0 |     210 |      129 |      0 |   108 |   -9.427 |     -226.5 |     39 | _3238_/D
      441 |       0 |     184 |      125 |      0 |    96 |   -9.405 |     -227.4 |     39 | _3238_/D
      450 |       0 |     187 |      135 |      0 |    97 |   -9.405 |     -228.5 |     39 | _3238_/D
      460 |       0 |     190 |      145 |      0 |    99 |   -9.405 |     -229.0 |     39 | _3238_/D
      470 |       0 |     193 |      151 |      0 |   103 |   -9.405 |     -228.9 |     39 | _3238_/D
      480 |       0 |     201 |      153 |      0 |   104 |   -9.405 |     -229.6 |     39 | _3238_/D
      490 |       0 |     210 |      155 |      0 |   104 |   -9.405 |     -229.1 |     39 | _3238_/D
      492 |       0 |     190 |      140 |      0 |    97 |   -9.405 |     -227.2 |     39 | _3238_/D
      500 |       0 |     193 |      150 |      0 |    97 |   -9.405 |     -228.8 |     39 | _3238_/D
      510 |       0 |     199 |      158 |      0 |    97 |   -9.405 |     -229.1 |     39 | _3238_/D
      520 |       0 |     207 |      160 |      0 |    98 |   -9.405 |     -228.9 |     39 | _3238_/D
