net,length_um
net36,2.16924mm
_0383_,1.03493mm
clknet_0_clk,722.2µm
_0553_,418.705µm
_0911_,367.5µm
clknet_3_6__leaf_clk,363.66µm
clknet_3_2__leaf_clk,354.3µm
_0912_,350.015µm
Encode_EN,329.52µm
OpSel_reg\[0\],315.74µm
_0187_,315.27µm
clknet_3_0__leaf_clk,311.56µm
clknet_3_3__leaf_clk,297.18µm
clknet_3_1__leaf_clk,281.8µm
a_r3\[3\],272.99µm
clknet_3_7__leaf_clk,270.32µm
_0910_,252.96µm
clk,247.95µm
B_reg\[1\],240.9µm
_0185_,238.86µm
_0188_,235.32µm
clknet_3_4__leaf_clk,205.84µm
B_reg\[2\],203.875µm
clknet_3_5__leaf_clk,203.4µm
A_reg\[11\],198.9µm
A_reg\[0\],198.42µm
_0186_,192.88µm
A_reg\[6\],192.84µm
B_reg\[4\],192.515µm
net33,189.26µm
net34,188.38µm
A_reg\[3\],186.72µm
A_reg\[1\],185.795µm
CRT_Start,183.27µm
A_reg\[9\],182.96µm
A_reg\[2\],182.25µm
B_reg\[5\],181.55µm
net259,171.1µm
A_reg\[10\],169.3µm
b_r1\[0\],164.34µm
_0184_,162.68µm
B_reg\[3\],161.315µm
A_reg\[4\],158.44µm
A_reg\[8\],157.325µm
A_reg\[7\],157.28µm
a_r3\[2\],153.16µm
_0554_,152.92µm
a_r3\[0\],150.16µm
a_r1\[0\],149.64µm
a_r3\[1\],145.48µm
B_reg\[8\],144.84µm
net81,143.6µm
net17,141.4µm
B_reg\[6\],139.04µm
B_reg\[7\],132.515µm
A_reg\[13\],130.1µm
net9,122.82µm
net312,119.83µm
net10,118.24µm
net11,115.76µm
net8,113.88µm
_0604_,112.4µm
_0903_,112.33µm
_0892_,111.36µm
net12,109.58µm
net79,107.72µm
b_r3\[1\],107.455µm
A_reg\[5\],105.38µm
_0574_,104.87µm
net105,102.94µm
net37,102.16µm
_0580_,101.905µm
net80,101.22µm
B_reg\[0\],97.12µm
b_r3\[3\],96.02µm
A_reg\[15\],95.91µm
b_r0\[0\],95.85µm
_0778_,94.51µm
b_r1\[2\],94.505µm
_1354_,94.18µm
_0564_,93.25µm
net258,92.8µm
_0901_,88.6µm
_0890_,87.4µm
_0628_,87.24µm
_0900_,87.12µm
_0899_,86.96µm
_0889_,86.94µm
a_r1\[1\],86.72µm
a_r1\[2\],86.69µm
net35,85.42µm
_0743_,84.825µm
_0573_,84.145µm
net13,84.12µm
net1,83.68µm
B_reg\[9\],83.52µm
_0891_,83.42µm
OpSel_reg\[1\],82.96µm
net262,82.94µm
B_reg\[11\],82.79µm
b_r0\[1\],82.6µm
b_r2\[2\],81.66µm
_0902_,81.54µm
A_reg\[14\],81.28µm
_0732_,80.54µm
net86,80.08µm
b_r2\[0\],78.84µm
A_reg\[12\],78.305µm
u_crt.start_d,76.9µm
_1352_,76.52µm
b_r2\[1\],75.68µm
_0907_,75.64µm
b_r3\[0\],75.4µm
B_reg\[12\],75.32µm
_0894_,75.32µm
_0561_,75.28µm
_1546_,74.98µm
a_r2\[1\],74.14µm
a_r2\[0\],73.82µm
_0673_,73.8µm
net52,73.42µm
net54,72.44µm
B_reg\[10\],70.64µm
_0858_,69.86µm
_0422_,69.59µm
_0624_,69.26µm
_0469_,69.24µm
_0803_,68.5µm
_0909_,68.38µm
net55,68.25µm
B_reg\[14\],66.92µm
a_r2\[2\],65.68µm
X_crt\[4\],65.3µm
net58,64.58µm
_0234_,64.52µm
_0579_,64.24µm
_1159_,63µm
_1387_,62.96µm
_1388_,61.8µm
_0790_,61.68µm
_0904_,61.6µm
B_reg\[13\],61.5µm
_0798_,60.75µm
_0307_,59.91µm
_0387_,59.17µm
_1343_,59.02µm
net87,58.9µm
_0848_,58.48µm
net85,57.18µm
_0888_,55.84µm
_1160_,55.28µm
net61,55.115µm
_1544_,54.68µm
u_crt.r3\[0\],54.56µm
_0850_,53.98µm
net28,53.9µm
_0612_,53.66µm
_0777_,53.56µm
B_reg\[15\],53.025µm
_0607_,52.86µm
_0623_,52.85µm
_0571_,52.72µm
_1315_,52.6µm
_0767_,51.36µm
_1324_,51.1µm
_1474_,50.84µm
_0409_,50.74µm
_0453_,50.24µm
_0563_,49.9µm
CU_state_dbg\[2\],49.76µm
a_r0\[1\],49.64µm
