net,length_um
_1415_,31.19µm
_0906_,31.18µm
_0562_,31.08µm
_1307_,31.01µm
_1570_,30.88µm
_0436_,30.86µm
_0393_,30.71µm
_0479_,30.62µm
_1431_,30.62µm
_1240_,30.58µm
_1521_,30.56µm
_0421_,30.54µm
_0746_,30.46µm
_0297_,30.42µm
_0622_,30.42µm
_0346_,30.38µm
_0826_,30.32µm
_0613_,30.24µm
_0321_,30.22µm
_0471_,30.1µm
_0144_,29.98µm
_1595_,29.92µm
_0566_,29.78µm
_0820_,29.76µm
_0552_,29.74µm
_1592_,29.7µm
_0153_,29.66µm
_1047_,29.66µm
_0320_,29.52µm
_1439_,29.26µm
_1568_,29.18µm
_0390_,28.995µm
_1190_,28.97µm
_1500_,28.8µm
_1168_,28.56µm
_0761_,28.55µm
_0131_,28.48µm
_0870_,28.245µm
_0852_,28.2µm
_0276_,27.98µm
_1261_,27.98µm
_0914_,27.9µm
_1229_,27.86µm
_0338_,27.8µm
_0919_,27.68µm
_0129_,27.6µm
_1170_,27.34µm
_1370_,27.26µm
_0763_,27.24µm
_1140_,27.22µm
_0313_,27.185µm
_0142_,27.18µm
_1285_,27.14µm
net39,27.1µm
_0693_,26.92µm
_0455_,26.86µm
_0855_,26.72µm
_1212_,26.66µm
_0155_,26.62µm
_1044_,26.605µm
_1042_,26.52µm
_1527_,26.4µm
_0168_,26.34µm
_1420_,26.335µm
_1485_,26.28µm
_1179_,26.22µm
_0410_,26.2µm
_0105_,26.18µm
_0135_,26.1µm
_0768_,26.06µm
_0805_,26.04µm
_1496_,25.955µm
_0326_,25.92µm
_1583_,25.92µm
_0718_,25.84µm
X_crt\[0\],25.8µm
_0220_,25.8µm
_0594_,25.795µm
u_crt.r1\[0\],25.76µm
_1427_,25.72µm
X_crt\[2\],25.58µm
_0394_,25.49µm
_1410_,25.46µm
_0223_,25.4µm
_1428_,25.4µm
_1531_,25.32µm
_0237_,25.26µm
_0988_,25.18µm
_0113_,25.12µm
_1487_,25.1µm
_0352_,25.08µm
_0364_,25.06µm
_1478_,25.04µm
_1597_,24.88µm
_0542_,24.8µm
_1506_,24.76µm
_1255_,24.72µm
_0222_,24.64µm
_0744_,24.6µm
_0525_,24.42µm
_1088_,24.42µm
_0655_,24.38µm
_0314_,24.3µm
_1586_,24.3µm
_0238_,24.23µm
_0794_,24.22µm
_0867_,24.16µm
_0318_,24.14µm
_0957_,24.08µm
_1518_,24.08µm
_0414_,24.05µm
net47,24.04µm
_0801_,24µm
_0582_,23.98µm
_0312_,23.96µm
_0873_,23.96µm
_1367_,23.92µm
_0884_,23.88µm
_0363_,23.84µm
_0577_,23.8µm
_1292_,23.78µm
_0504_,23.74µm
_1033_,23.66µm
_0592_,23.65µm
_1589_,23.54µm
_0556_,23.52µm
_0648_,23.48µm
_0117_,23.46µm
_1251_,23.46µm
_1574_,23.46µm
_0433_,23.44µm
_0114_,23.4µm
_0375_,23.4µm
_0971_,23.38µm
_0233_,23.36µm
_1173_,23.36µm
_0502_,23.34µm
_0606_,23.34µm
_1461_,23.34µm
_1523_,23.26µm
_0887_,23.22µm
_0483_,23.195µm
_0173_,23.16µm
_0519_,23.16µm
_1161_,23.12µm
_1372_,23.12µm
_0443_,23.11µm
_0136_,23.1µm
_0813_,23.08µm
_1300_,23.06µm
_1163_,23µm
_0242_,22.96µm
_0775_,22.92µm
_1306_,22.92µm
_1601_,22.92µm
_0583_,22.68µm
_1374_,22.66µm
_0952_,22.62µm
_1058_,22.6µm
_0780_,22.58µm
_0760_,22.56µm
_0125_,22.54µm
ALU_EN,22.52µm
_1238_,22.52µm
_1550_,22.52µm
_1252_,22.5µm
_0995_,22.48µm
_0138_,22.44µm
_0814_,22.36µm
_0877_,22.36µm
_0317_,22.32µm
_0402_,22.32µm
_0754_,22.3µm
_0280_,22.22µm
_1275_,22.22µm
_1584_,22.22µm
_0413_,22.17µm
_1061_,22.14µm
_0531_,22.12µm
_1463_,22.08µm
_1600_,22.08µm
_1036_,22.04µm
_0456_,22µm
_1223_,21.96µm
_0404_,21.94µm
_1169_,21.94µm
_0725_,21.92µm
_0846_,21.9µm
_1587_,21.82µm
_0844_,21.8µm
_0578_,21.66µm
_0729_,21.62µm
_1246_,21.6µm
_0368_,21.58µm
_0936_,21.54µm
