net,length_um
net36,2.131995mm
_0383_,1.020735mm
clknet_0_clk,714.44µm
_0553_,402.68µm
clknet_3_6__leaf_clk,363.07µm
_0911_,362.41µm
_0912_,348.76µm
clknet_3_2__leaf_clk,339.84µm
Encode_EN,326.065µm
_0187_,313.04µm
clknet_3_0__leaf_clk,305.405µm
OpSel_reg\[0\],295.785µm
clknet_3_3__leaf_clk,292.82µm
clknet_3_1__leaf_clk,275.88µm
clknet_3_7__leaf_clk,274.72µm
a_r3\[3\],271.63µm
_0910_,261.55µm
clk,247.49µm
_0185_,238.96µm
_0188_,236.44µm
B_reg\[1\],235.92µm
clknet_3_5__leaf_clk,223.4µm
a_r3\[0\],211.24µm
clknet_3_4__leaf_clk,210.6µm
B_reg\[2\],207.695µm
A_reg\[13\],205.96µm
B_reg\[4\],194.81µm
A_reg\[6\],192.38µm
net34,189.3µm
A_reg\[0\],189.26µm
A_reg\[1\],188.84µm
_0186_,187.88µm
net33,186.96µm
CRT_Start,186.35µm
A_reg\[11\],177.29µm
A_reg\[2\],173.64µm
A_reg\[3\],170.45µm
A_reg\[10\],170.44µm
B_reg\[5\],166.905µm
B_reg\[3\],165.895µm
A_reg\[4\],165.51µm
_0184_,162.1µm
A_reg\[9\],161.535µm
b_r1\[0\],159.84µm
A_reg\[8\],158.34µm
_0554_,152.58µm
A_reg\[12\],150.135µm
a_r3\[1\],149.625µm
b_r3\[3\],149.395µm
B_reg\[8\],148.78µm
A_reg\[15\],143.665µm
net17,141.76µm
A_reg\[7\],140.745µm
B_reg\[6\],138.3µm
a_r1\[0\],133.985µm
a_r2\[0\],133.94µm
b_r3\[2\],133.9µm
B_reg\[7\],129.075µm
a_r3\[2\],125.82µm
A_reg\[14\],122.93µm
net9,120.44µm
net10,116.88µm
net11,116.44µm
net8,113.54µm
B_reg\[12\],113.105µm
_0604_,111.24µm
b_r3\[1\],108.93µm
A_reg\[5\],108.78µm
_0892_,106.14µm
net12,103.66µm
net37,102.5µm
_0564_,101.77µm
b_r1\[2\],99.225µm
b_r2\[2\],98.37µm
_0580_,95.9µm
a_r1\[1\],95.68µm
B_reg\[9\],95.43µm
B_reg\[0\],95.38µm
_1354_,94.18µm
net35,93.74µm
_0903_,93.66µm
B_reg\[14\],93.36µm
_0900_,91.84µm
_0628_,91.48µm
_0778_,89.94µm
_0902_,89.22µm
b_r0\[0\],89.01µm
_0574_,87.54µm
_0899_,86.64µm
_0889_,85.7µm
_0901_,84.98µm
_0743_,84.825µm
_0890_,84.68µm
_0891_,84.68µm
b_r2\[0\],84.4µm
a_r1\[2\],84.33µm
OpSel_reg\[1\],83.3µm
_0732_,83.3µm
net13,83.22µm
_0573_,82.54µm
B_reg\[11\],79.73µm
net1,79.2µm
_0894_,78.78µm
_0907_,78.7µm
u_crt.start_d,76.9µm
b_r2\[1\],76.6µm
_1352_,76.52µm
_1546_,75.26µm
B_reg\[13\],75.14µm
a_r2\[1\],74.77µm
_0561_,74.36µm
net52,73.42µm
B_reg\[10\],73.34µm
_0469_,73.24µm
_0673_,72.88µm
b_r0\[1\],72.12µm
X_crt\[4\],69.9µm
_0909_,69.4µm
_0624_,69.26µm
b_r3\[0\],68.98µm
_1387_,67.08µm
_0579_,66.2µm
B_reg\[15\],65.705µm
a_r2\[2\],64.82µm
_0234_,64.66µm
_0422_,63.92µm
b_r1\[1\],63.53µm
_0803_,62.3µm
_1388_,61.92µm
_0387_,61.81µm
_0858_,61.3µm
a_r0\[0\],61.08µm
_0790_,59.98µm
_1159_,59.9µm
_0571_,58.48µm
_0798_,58.29µm
_0848_,57.64µm
_1324_,56.04µm
_0888_,55.96µm
_1160_,55.84µm
_1343_,54.94µm
_0722_,54.76µm
_1544_,54.58µm
net28,53.9µm
_0307_,53.51µm
CU_state_dbg\[1\],53.19µm
_1315_,52.6µm
_0623_,52.39µm
a_r0\[1\],51.86µm
_0767_,51.36µm
_0232_,51.04µm
_0777_,50.97µm
_0453_,50.7µm
_0612_,50.68µm
_0854_,50.2µm
_0607_,50.1µm
_0850_,50.08µm
u_crt.r3\[0\],49µm
_0897_,48.32µm
_0111_,48.3µm
_0563_,48.28µm
u_crt.r3\[2\],48.12µm
_1011_,47.72µm
_0841_,47.5µm
_1155_,47.2µm
_0905_,45.72µm
_0799_,45.44µm
_0724_,44.34µm
_1186_,44.31µm
_1474_,44.3µm
CU_state_dbg\[2\],44.18µm
_1336_,44.04µm
_0908_,43.12µm
_1486_,43.04µm
X_crt\[9\],42.92µm
_0688_,42.68µm
_0706_,42.34µm
_0904_,42.34µm
u_crt.r1\[1\],42.3µm
_0268_,42.2µm
_0575_,42.12µm
_0216_,41.3µm
_0122_,41.26µm
_0175_,41.14µm
_0586_,40.95µm
_0923_,40.72µm
_0847_,40.46µm
