net,length_um
net36,2.190525mm
_0383_,1.048115mm
clknet_0_clk,722.22µm
_0553_,403.63µm
_0911_,360.25µm
clknet_3_6__leaf_clk,357.755µm
clknet_3_2__leaf_clk,357.08µm
_0912_,354.54µm
Encode_EN,325.975µm
_0187_,311.34µm
OpSel_reg\[0\],309.745µm
clknet_3_0__leaf_clk,306.565µm
clknet_3_3__leaf_clk,298.97µm
clknet_3_1__leaf_clk,280.18µm
a_r3\[3\],278.915µm
clknet_3_7__leaf_clk,277.695µm
_0910_,264.61µm
clk,247.95µm
_0185_,238.04µm
_0188_,233.36µm
B_reg\[1\],233.06µm
clknet_3_4__leaf_clk,212.72µm
clknet_3_5__leaf_clk,210.37µm
B_reg\[2\],207.66µm
CRT_Start,204.88µm
A_reg\[0\],204.06µm
A_reg\[1\],201.02µm
A_reg\[6\],195.58µm
_0186_,191.18µm
B_reg\[4\],190.425µm
net33,189.72µm
net34,187.92µm
A_reg\[11\],187.74µm
A_reg\[10\],185.36µm
A_reg\[3\],178.98µm
A_reg\[9\],172.54µm
B_reg\[5\],171.16µm
net399,166.94µm
A_reg\[2\],166.04µm
b_r1\[0\],165.28µm
B_reg\[3\],162.195µm
A_reg\[4\],161.985µm
_0184_,160.64µm
_0554_,158.76µm
A_reg\[8\],157.73µm
a_r3\[1\],155.275µm
A_reg\[7\],154.79µm
a_r3\[2\],153.9µm
A_reg\[13\],151.92µm
a_r3\[0\],151.775µm
net80,144.29µm
net17,140.72µm
a_r1\[0\],138.055µm
B_reg\[8\],137.36µm
a_r2\[0\],137.22µm
B_reg\[7\],134.675µm
B_reg\[6\],133.98µm
net9,120.78µm
net10,116.88µm
net11,115.98µm
_0604_,113.42µm
net8,112.86µm
A_reg\[5\],112.275µm
net12,110.04µm
net78,108.48µm
b_r3\[1\],108.15µm
_0903_,106.02µm
_0892_,105.84µm
net37,104.48µm
_0574_,103.72µm
b_r2\[2\],102.09µm
_0564_,100.17µm
B_reg\[0\],98.38µm
net79,95.88µm
b_r1\[2\],95.35µm
_0890_,95.14µm
_0580_,94.54µm
_1354_,94.18µm
net35,92.48µm
b_r0\[0\],92.41µm
a_r1\[1\],92.38µm
_0901_,92.28µm
a_r1\[2\],91.44µm
_0900_,91.02µm
B_reg\[11\],89.81µm
_0778_,89.72µm
_0628_,87.7µm
_0899_,87.64µm
net113,86.455µm
net396,86.14µm
A_reg\[14\],85.9µm
B_reg\[9\],85.455µm
_0743_,84.825µm
net13,84.8µm
b_r2\[0\],84.7µm
_0889_,84.46µm
_0894_,84.36µm
_0573_,84.145µm
_0891_,83.66µm
_1546_,83.48µm
OpSel_reg\[1\],83µm
_0902_,81.74µm
_0732_,80.54µm
net1,80.12µm
b_r3\[0\],78.4µm
B_reg\[10\],77.88µm
_1352_,77.44µm
_0907_,77.24µm
b_r0\[1\],75.82µm
_0673_,75.64µm
net54,75.575µm
_0561_,74.94µm
net52,74.8µm
_0469_,74.72µm
a_r2\[1\],74.175µm
net87,70.74µm
B_reg\[12\],69.91µm
b_r2\[1\],69.5µm
X_crt\[4\],69.44µm
_0624_,69.26µm
B_reg\[14\],68.62µm
_0803_,67.68µm
u_crt.start_d,66.78µm
_0790_,64.7µm
A_reg\[12\],64.58µm
_0387_,64.55µm
_0307_,64.46µm
a_r2\[2\],64.18µm
_0909_,63.68µm
b_r1\[1\],63.675µm
_1387_,63.2µm
_0798_,63.18µm
_0234_,63.16µm
_0422_,63.14µm
_1159_,63µm
_0579_,62.88µm
_0571_,62.72µm
net58,62.6µm
_0858_,61.52µm
net85,61.46µm
B_reg\[13\],61.16µm
net404,60.82µm
_1388_,60.78µm
net55,60.34µm
net88,59.92µm
_0848_,59.78µm
a_r0\[0\],58.715µm
B_reg\[15\],57.25µm
_1160_,56.2µm
_1324_,54.08µm
net28,53.9µm
_1544_,53.3µm
_0111_,53.19µm
_0777_,53.1µm
_0623_,52.84µm
_1315_,52.6µm
_0612_,52.38µm
_0767_,52.28µm
_0607_,52.16µm
_1343_,51.96µm
_0841_,51.46µm
_0453_,50.56µm
_0563_,50.46µm
_0897_,50.42µm
a_r0\[1\],50.24µm
_0232_,50.12µm
u_crt.r3\[2\],50.12µm
_0722_,49.84µm
_0888_,49.1µm
u_crt.r3\[0\],49.08µm
_0850_,48.96µm
_0854_,48.58µm
net64,48.28µm
CU_state_dbg\[1\],48.08µm
b_r3\[3\],47.15µm
CU_state_dbg\[2\],46.86µm
_1186_,46.27µm
_0906_,45.5µm
_1071_,45.29µm
u_crt.r1\[1\],44.86µm
_0908_,44.84µm
_1011_,44.52µm
_0268_,44.5µm
_0436_,44.02µm
net56,43.66µm
_0905_,43.52µm
_1322_,43.5µm
_1474_,43.24µm
_1332_,42.8µm
_0688_,42.68µm
_1336_,42.68µm
_1218_,42.32µm
_0799_,42.14µm
_0216_,42.1µm
_0914_,41.92µm
u_crt.r3\[1\],41.72µm
X_crt\[9\],41.68µm
_0706_,41.26µm
_0847_,41.26µm
_0974_,41.14µm
_1156_,40.76µm
_0895_,40.2µm
_0972_,39.9µm
_0681_,39.58µm
_0175_,39.54µm
u_crt.r3\[3\],39.44µm
_0423_,39.2µm
_1356_,39.12µm
_1155_,39.06µm
_0586_,39µm
_0122_,38.88µm
_0611_,38.7µm
u_crt.r2\[0\],38.62µm
_1176_,38.5µm
_0570_,38.33µm
_0575_,38.2µm
_1415_,37.82µm
_0108_,37.48µm
_0834_,37.48µm
net4,37.48µm
_0409_,37.44µm
