net,length_um
net36,2.185195mm
_0383_,1.020695mm
clknet_0_clk,723.46µm
_0553_,421.74µm
_0911_,363.42µm
clknet_3_6__leaf_clk,357.32µm
_0912_,346.885µm
clknet_3_2__leaf_clk,346.86µm
Encode_EN,329.85µm
_0187_,318.26µm
OpSel_reg\[0\],316.95µm
clknet_3_0__leaf_clk,303.44µm
clknet_3_3__leaf_clk,302.86µm
clknet_3_1__leaf_clk,281.5µm
a_r3\[3\],269.955µm
clknet_3_7__leaf_clk,267.35µm
_0910_,254.29µm
clk,247.49µm
B_reg\[1\],243.08µm
_0185_,238.81µm
_0188_,232.56µm
clknet_3_4__leaf_clk,218.54µm
a_r3\[0\],216.295µm
clknet_3_5__leaf_clk,215.57µm
A_reg\[0\],208.835µm
B_reg\[2\],207.695µm
A_reg\[13\],203.26µm
A_reg\[6\],203µm
B_reg\[4\],200.045µm
A_reg\[11\],195.93µm
_0186_,194.24µm
net34,191.14µm
CRT_Start,190.085µm
net33,189.72µm
A_reg\[1\],185.02µm
A_reg\[2\],174.32µm
A_reg\[10\],173.98µm
A_reg\[3\],173.28µm
B_reg\[5\],172.215µm
_0184_,166.91µm
A_reg\[12\],165.77µm
B_reg\[3\],158.555µm
A_reg\[4\],157.28µm
A_reg\[9\],156.965µm
A_reg\[8\],156.74µm
b_r1\[0\],156.42µm
b_r3\[3\],153.5µm
a_r3\[1\],153.115µm
_0554_,152.22µm
a_r1\[0\],144.22µm
A_reg\[15\],143.545µm
a_r3\[2\],140.935µm
net17,140.76µm
A_reg\[7\],139.54µm
B_reg\[7\],138.795µm
a_r2\[0\],136.52µm
B_reg\[8\],136.16µm
B_reg\[6\],135.24µm
b_r3\[2\],129.03µm
A_reg\[14\],127.27µm
net9,121.46µm
net10,116.88µm
net11,116.44µm
_0604_,114.02µm
B_reg\[12\],113.92µm
net8,113.54µm
net12,109.58µm
_0892_,104.64µm
b_r3\[1\],103.92µm
a_r1\[1\],102.08µm
A_reg\[5\],101.43µm
net37,101.38µm
b_r2\[2\],101.01µm
_0903_,98.6µm
B_reg\[0\],97.695µm
b_r1\[2\],97.59µm
_0580_,96.82µm
_0564_,95.45µm
_1354_,95.06µm
b_r0\[0\],94.51µm
_0778_,94.28µm
net35,93.86µm
_0901_,92.26µm
B_reg\[9\],90.78µm
_0628_,89.42µm
a_r1\[2\],89.38µm
_0889_,87.98µm
B_reg\[14\],87.92µm
_0900_,87.72µm
_0891_,87.06µm
_0890_,86.72µm
_0899_,85.5µm
_0743_,85.165µm
_0573_,84.605µm
_0902_,83.24µm
net13,83.22µm
_0732_,82.84µm
b_r2\[0\],82.22µm
_0907_,82.16µm
b_r0\[1\],82.12µm
OpSel_reg\[1\],81.36µm
B_reg\[11\],81.04µm
_1546_,80.82µm
_0574_,79.8µm
net1,79.66µm
B_reg\[13\],77.36µm
a_r2\[1\],76.93µm
u_crt.start_d,76.9µm
_1352_,76.52µm
_0561_,76.08µm
_0894_,75.64µm
b_r2\[1\],74.64µm
B_reg\[10\],73.34µm
_0469_,73.12µm
_0673_,73.12µm
net52,72.96µm
b_r3\[0\],70.92µm
X_crt\[4\],69.44µm
_0909_,69.4µm
_0624_,69.26µm
_1387_,68.66µm
B_reg\[15\],67.245µm
_0422_,66.18µm
_0234_,65.12µm
_0579_,65.06µm
_0803_,64.38µm
a_r2\[2\],63.84µm
_0387_,63.46µm
b_r1\[1\],62.68µm
_1388_,62.48µm
_0858_,62.22µm
_0888_,60.94µm
_0790_,60.62µm
CU_state_dbg\[2\],60.54µm
_0848_,60.24µm
_1159_,59.1µm
_0798_,58.29µm
_0904_,58.18µm
a_r0\[0\],57.14µm
_1160_,55.04µm
_1343_,54.94µm
_1544_,54.58µm
_0777_,54.54µm
net28,53.9µm
_1324_,53.5µm
_0571_,53.4µm
_0722_,53.38µm
_0767_,52.5µm
_1315_,52.29µm
_0623_,52.18µm
_0307_,52.06µm
a_r0\[1\],52.06µm
_0897_,51.34µm
_0612_,51.02µm
_0607_,50.34µm
_0453_,50.24µm
_0232_,50.12µm
_0563_,49.96µm
u_crt.r3\[0\],49.25µm
_1155_,48.8µm
u_crt.r3\[2\],48.7µm
CU_state_dbg\[1\],48.22µm
_1011_,47.76µm
_0111_,47.46µm
_0854_,47.44µm
_0850_,47.12µm
_0841_,47.04µm
_0905_,46.33µm
_0799_,45.22µm
_0411_,45.16µm
_0923_,45.14µm
_1186_,45.14µm
_0724_,45.02µm
_1486_,44.86µm
_1336_,44.04µm
_0688_,43.6µm
_0908_,43.58µm
_1474_,43.5µm
u_crt.r1\[1\],43.42µm
_0570_,43.13µm
_0268_,42.88µm
_0706_,42.8µm
_0409_,41.7µm
_0216_,41.3µm
_0586_,40.95µm
_0847_,40.92µm
_0175_,40.58µm
X_crt\[9\],40.54µm
_1332_,40.28µm
u_crt.r3\[3\],39.68µm
_0611_,39.67µm
_1322_,39.47µm
_1156_,39.28µm
_0436_,38.32µm
_0493_,38.14µm
_0575_,37.98µm
_0423_,37.94µm
u_crt.r2\[0\],37.94µm
_0613_,37.84µm
_1176_,37.48µm
_0972_,37.14µm
u_crt.r3\[1\],37.12µm
_0977_,37.1µm
_1555_,36.54µm
_0681_,36.48µm
_0384_,36.33µm
u_crt.r1\[2\],35.94µm
_1356_,35.82µm
_0122_,35.76µm
_1207_,35.76µm
net29,35.58µm
_0826_,35.56µm
u_crt.r2\[1\],35.1µm
_0808_,35.02µm
_0408_,34.88µm
_0773_,34.36µm
_1440_,34.3µm
_0558_,34.28µm
_0346_,34.26µm
_0834_,34.26µm
_0451_,34.25µm
_1452_,34µm
_0341_,33.87µm
_0895_,33.8µm
_1071_,33.77µm
_0949_,33.76µm
_1090_,33.64µm
_0108_,33.46µm
_0435_,33.28µm
_0872_,33.2µm
_1570_,33.18µm
_1218_,33.14µm
u_crt.r2\[2\],33.04µm
_0258_,33.02µm
_0827_,32.85µm
_0461_,32.78µm
net4,32.72µm
_1307_,32.67µm
_0815_,32.54µm
net53,32.54µm
_0566_,32.42µm
_1199_,32.34µm
_0410_,32.32µm
_0804_,32.3µm
_1134_,32.205µm
_1516_,32.04µm
_0974_,32.02µm
_0143_,31.98µm
_1431_,31.88µm
net51,31.78µm
X_crt\[5\],31.62µm
_1345_,31.38µm
_1410_,31.32µm
_0420_,31.26µm
_1595_,30.815µm
_0224_,30.8µm
_1521_,30.56µm
_0421_,30.54µm
_0297_,30.42µm
net23,30.4µm
_0718_,30.24µm
_0820_,30.22µm
_0390_,30.075µm
_1499_,30.04µm
_0306_,30µm
_0144_,29.98µm
_0622_,29.96µm
_1047_,29.9µm
_0168_,29.86µm
_0906_,29.82µm
_1415_,29.78µm
_0552_,29.74µm
_0832_,29.74µm
_0471_,29.64µm
_0321_,29.54µm
_0320_,29.52µm
_0746_,29.44µm
_0989_,29.42µm
_1592_,29.24µm
_1021_,29.16µm
_1292_,29.12µm
_1194_,29.08µm
_1568_,29.06µm
_0153_,28.98µm
_0155_,28.92µm
_1500_,28.92µm
_1496_,28.9µm
_1168_,28.56µm
_0583_,28.54µm
_1430_,28.52µm
_0835_,28.4µm
_0693_,28.28µm
_0761_,28.21µm
_0276_,28.2µm
_1255_,28.16µm
_0131_,28.04µm
_0393_,28.02µm
_0313_,27.985µm
_1485_,27.9µm
_0852_,27.86µm
_0338_,27.8µm
_1170_,27.68µm
net39,27.66µm
_1367_,27.59µm
_0142_,27.52µm
_0479_,27.42µm
_1179_,27.26µm
_0655_,27.22µm
_1266_,27.12µm
_0763_,27.055µm
_0364_,26.88µm
_0455_,26.86µm
_0135_,26.78µm
_1190_,26.76µm
_0129_,26.75µm
_0855_,26.72µm
_0542_,26.69µm
_0768_,26.52µm
_0326_,26.5µm
_0919_,26.46µm
_1527_,26.4µm
_0805_,26.38µm
_0136_,26.32µm
_1140_,26.3µm
X_crt\[0\],26.26µm
_0502_,26.2µm
_1212_,26.2µm
_0870_,26.185µm
_0105_,26.18µm
X_crt\[2\],26.14µm
_0594_,26.07µm
_0610_,25.96µm
_1583_,25.92µm
_1597_,25.9µm
_1420_,25.875µm
_0113_,25.8µm
_0220_,25.8µm
u_crt.r1\[0\],25.76µm
_1370_,25.675µm
_0394_,25.49µm
_0519_,25.48µm
_0957_,25.46µm
_0223_,25.4µm
_1531_,25.32µm
_1285_,25.3µm
_0237_,25.26µm
_0483_,25.24µm
_1229_,25.2µm
_1261_,25.1µm
_0352_,25.08µm
_1240_,25.08µm
_1428_,25.06µm
_1473_,25.04µm
_1234_,24.98µm
_0593_,24.96µm
_0238_,24.91µm
_0525_,24.88µm
_0499_,24.82µm
_0884_,24.8µm
_0914_,24.8µm
_1506_,24.76µm
_1586_,24.76µm
_1033_,24.7µm
_1036_,24.7µm
_1252_,24.7µm
_0556_,24.65µm
_0312_,24.42µm
_0873_,24.42µm
_0314_,24.3µm
_1260_,24.26µm
_0794_,24.22µm
_0867_,24.16µm
_1427_,24.16µm
_0744_,24.14µm
_1478_,24.12µm
_1518_,24.08µm
_0414_,24.05µm
net47,24.04µm
_0801_,24µm
_0813_,24µm
_0363_,23.84µm
_0117_,23.8µm
_0577_,23.8µm
_0988_,23.78µm
_0562_,23.76µm
_0504_,23.74µm
_1088_,23.74µm
_0402_,23.68µm
_1169_,23.66µm
_1523_,23.6µm
_0582_,23.52µm
_0844_,23.5µm
_1439_,23.46µm
_0433_,23.44µm
_1550_,23.44µm
_0375_,23.4µm
_0775_,23.38µm
_0592_,23.36µm
_1275_,23.26µm
_0689_,23.22µm
_0173_,23.16µm
_0877_,23.16µm
_0222_,23.14µm
_1173_,23.14µm
_0478_,23.04µm
_1601_,23.04µm
_1251_,23µm
_0754_,22.98µm
_0242_,22.96µm
_0971_,22.92µm
_1306_,22.92µm
_0404_,22.86µm
_1374_,22.66µm
_1589_,22.62µm
_0929_,22.58µm
_0125_,22.54µm
_0233_,22.52µm
_0443_,22.5µm
_1050_,22.5µm
_0995_,22.48µm
_0760_,22.44µm
_0606_,22.38µm
_0280_,22.22µm
_0318_,22.18µm
_0960_,22.17µm
_1587_,22.16µm
_1600_,22.08µm
_1463_,22.06µm
_0456_,22µm
_0138_,21.98µm
_1223_,21.96µm
_0413_,21.92µm
_1300_,21.92µm
_0814_,21.9µm
_0793_,21.88µm
u_crt.r0\[1\],21.84µm
_1487_,21.78µm
_0261_,21.76µm
_1238_,21.76µm
_1574_,21.74µm
_0522_,21.7µm
_1246_,21.6µm
_0368_,21.58µm
_0943_,21.58µm
_0945_,21.58µm
_0531_,21.54µm
_1366_,21.5µm
_1063_,21.48µm
_0966_,21.44µm
_1326_,21.4µm
net45,21.38µm
_1061_,21.34µm
_1455_,21.34µm
_1507_,21.28µm
_0578_,21.2µm
_0846_,21.1µm
_0715_,21.06µm
_0416_,21.04µm
_0330_,21µm
_0817_,20.98µm
_1364_,20.92µm
_1058_,20.88µm
_0334_,20.86µm
_0934_,20.86µm
_1584_,20.86µm
_0254_,20.84µm
_0887_,20.84µm
_1279_,20.84µm
_0780_,20.78µm
_1495_,20.765µm
_1042_,20.74µm
_1163_,20.74µm
_0726_,20.7µm
_0729_,20.7µm
_0936_,20.7µm
_1377_,20.7µm
_1461_,20.7µm
_0764_,20.675µm
_0371_,20.67µm
_1338_,20.6µm
_1582_,20.6µm
_1113_,20.54µm
_0399_,20.48µm
_1539_,20.4µm
_1161_,20.36µm
X_crt\[10\],20.24µm
_1394_,20.16µm
_1540_,20.16µm
_1519_,20.12µm
_0953_,20.04µm
_1493_,20µm
_1030_,19.98µm
_1130_,19.98µm
_0675_,19.94µm
_1424_,19.94µm
_0762_,19.9µm
_1202_,19.9µm
_0955_,19.84µm
_1462_,19.84µm
_1040_,19.82µm
net32,19.82µm
_0114_,19.8µm
_0284_,19.8µm
_0123_,19.78µm
_0137_,19.78µm
_1137_,19.78µm
_0328_,19.77µm
_1006_,19.7µm
_0170_,19.68µm
_0748_,19.68µm
_0446_,19.66µm
_1127_,19.66µm
_0733_,19.62µm
_0106_,19.52µm
_0290_,19.52µm
_0120_,19.47µm
_0473_,19.4µm
_1044_,19.385µm
_0765_,19.38µm
_1530_,19.38µm
_0476_,19.34µm
_1211_,19.34µm
_1215_,19.34µm
_0512_,19.3µm
_0796_,19.3µm
_0913_,19.3µm
_0753_,19.24µm
_0669_,19.22µm
_0462_,19.2µm
_0354_,19.14µm
net26,19.14µm
_1454_,19.08µm
_1008_,19.075µm
_0353_,19.04µm
_1222_,19.04µm
ALU_EN,19µm
_1447_,19µm
_0685_,18.98µm
_0991_,18.98µm
_1203_,18.95µm
_1381_,18.94µm
_1559_,18.91µm
_0600_,18.82µm
_1204_,18.82µm
_0950_,18.64µm
_1171_,18.6µm
_0822_,18.58µm
_0981_,18.58µm
_0712_,18.56µm
_1225_,18.56µm
_0415_,18.54µm
_1359_,18.52µm
_1093_,18.5µm
_1578_,18.5µm
_0952_,18.48µm
_1272_,18.44µm
_0996_,18.34µm
_0429_,18.32µm
_1214_,18.32µm
_1591_,18.28µm
_0725_,18.24µm
_0210_,18.22µm
_0213_,18.2µm
_1220_,18.16µm
_1256_,18.16µm
_0739_,18.14µm
_1402_,18.14µm
_1552_,18.14µm
_0351_,18.06µm
_1015_,18.02µm
_1123_,18.02µm
net44,18.02µm
_0823_,18µm
_1537_,17.98µm
_0317_,17.94µm
_1124_,17.94µm
_1483_,17.94µm
_0109_,17.92µm
_1290_,17.9µm
_1133_,17.84µm
_0938_,17.78µm
net18,17.78µm
_0147_,17.76µm
_0727_,17.76µm
_0151_,17.72µm
_1022_,17.7µm
_1119_,17.7µm
_1398_,17.7µm
_1442_,17.62µm
_1508_,17.62µm
_0670_,17.6µm
_1369_,17.6µm
_1372_,17.6µm
_0898_,17.56µm
net21,17.56µm
_0228_,17.54µm
_0305_,17.52µm
_1177_,17.52µm
net3,17.46µm
_0740_,17.44µm
net2,17.42µm
_0750_,17.4µm
_1016_,17.4µm
_0452_,17.34µm
_0656_,17.34µm
_0978_,17.28µm
_0442_,17.24µm
_0648_,17.2µm
_1083_,17.2µm
_1450_,17.14µm
_0428_,17.12µm
_0723_,17.1µm
_1101_,17.1µm
_0336_,17.08µm
_1293_,17.07µm
u_crt.r0\[0\],17.06µm
_0837_,17.04µm
_0127_,17.02µm
_0480_,17.02µm
_1106_,16.98µm
_0986_,16.94µm
net30,16.94µm
net6,16.88µm
_0514_,16.8µm
_1075_,16.8µm
_1310_,16.76µm
_1603_,16.76µm
_1479_,16.74µm
_1076_,16.66µm
_0374_,16.6µm
_0391_,16.6µm
_0795_,16.6µm
_1413_,16.6µm
_1556_,16.6µm
_1573_,16.6µm
_0495_,16.58µm
_1318_,16.58µm
_1599_,16.56µm
net22,16.54µm
_1466_,16.52µm
_1571_,16.48µm
_1247_,16.44µm
_1390_,16.44µm
_0132_,16.42µm
_0629_,16.42µm
X_crt\[6\],16.38µm
_0621_,16.38µm
_0721_,16.3µm
_0585_,16.28µm
_0829_,16.28µm
_0979_,16.26µm
_1392_,16.26µm
_0831_,16.22µm
_1150_,16.22µm
_1085_,16.2µm
_0818_,16.185µm
_0676_,16.18µm
Op_Sel[0],16.14µm
_0596_,16.14µm
_1082_,16.14µm
_1098_,16.12µm
_1564_,16.12µm
_0405_,16.1µm
_1593_,16.1µm
_0535_,16.06µm
_0731_,16.06µm
X_crt\[8\],16.02µm
_1094_,16.02µm
_0385_,15.98µm
_1575_,15.96µm
_0342_,15.94µm
_0932_,15.94µm
_0270_,15.92µm
_0516_,15.92µm
_0581_,15.92µm
_0661_,15.91µm
_0419_,15.88µm
_1269_,15.88µm
net49,15.88µm
_0741_,15.84µm
_1072_,15.84µm
_0738_,15.825µm
_0569_,15.82µm
_0713_,15.82µm
_1562_,15.68µm
_1259_,15.66µm
_0211_,15.64µm
_1335_,15.62µm
X_crt\[7\],15.6µm
_0680_,15.58µm
_0619_,15.565µm
_1007_,15.56µm
_0527_,15.48µm
_0828_,15.48µm
_1579_,15.48µm
_1549_,15.42µm
_0714_,15.32µm
_0301_,15.3µm
_0687_,15.3µm
_1121_,15.3µm
_0690_,15.24µm
_0686_,15.22µm
_1590_,15.2µm
_0559_,15.16µm
_0719_,15.14µm
_0770_,15.08µm
_0431_,15.06µm
_1491_,15.02µm
_0432_,14.96µm
_0158_,14.94µm
_0277_,14.88µm
_0494_,14.88µm
_0643_,14.88µm
_0742_,14.86µm
_1286_,14.84µm
_1270_,14.8µm
net41,14.8µm
CU_state_dbg\[0\],14.76µm
_0674_,14.76µm
_1243_,14.76µm
_0572_,14.755µm
_1153_,14.74µm
_1553_,14.74µm
_0921_,14.72µm
net16,14.72µm
_1172_,14.7µm
_0293_,14.66µm
_0871_,14.58µm
net14,14.58µm
_0235_,14.56µm
_0124_,14.52µm
_0539_,14.515µm
_0437_,14.5µm
_0937_,14.44µm
_0664_,14.42µm
_1276_,14.385µm
_1602_,14.34µm
net42,14.34µm
_1001_,14.3µm
_0118_,14.26µm
_0450_,14.26µm
_0638_,14.26µm
_0567_,14.24µm
_0862_,14.22µm
_1236_,14.22µm
_1349_,14.14µm
_0296_,14.135µm
_0534_,14.1µm
_1297_,14.1µm
_0116_,14µm
_0236_,13.98µm
_0498_,13.96µm
_0550_,13.96µm
_1029_,13.96µm
_0176_,13.94µm
_1295_,13.91µm
_1580_,13.89µm
_0362_,13.88µm
_1138_,13.88µm
_1185_,13.88µm
_0172_,13.86µm
_0194_,13.84µm
_0448_,13.84µm
_1026_,13.84µm
_0568_,13.8µm
_0587_,13.8µm
_0141_,13.76µm
_1436_,13.74µm
_0412_,13.72µm
_0879_,13.72µm
_1068_,13.72µm
_1273_,13.68µm
_1334_,13.68µm
_1566_,13.68µm
_0810_,13.66µm
_1296_,13.66µm
_0963_,13.64µm
net43,13.64µm
_0373_,13.58µm
_0395_,13.58µm
_1152_,13.58µm
_1025_,13.56µm
_1395_,13.56µm
X_crt\[3\],13.54µm
_0200_,13.54µm
_0683_,13.5µm
_0920_,13.5µm
_0489_,13.46µm
_0332_,13.44µm
_1232_,13.44µm
_0460_,13.42µm
_1347_,13.42µm
net40,13.42µm
_0788_,13.38µm
_1512_,13.36µm
_0150_,13.32µm
_1065_,13.32µm
_0696_,13.305µm
_0893_,13.3µm
_0267_,13.28µm
_0695_,13.26µm
_0536_,13.24µm
_1174_,13.225µm
_1488_,13.21µm
_0747_,13.18µm
_1013_,13.18µm
_1311_,13.18µm
_0183_,13.16µm
_0541_,13.16µm
_1572_,13.16µm
X_crt\[12\],13.12µm
_0627_,13.105µm
_0684_,13.1µm
_0711_,13.1µm
_0997_,13.1µm
X_crt\[13\],13.08µm
_0786_,13.075µm
_0758_,13.06µm
_0659_,13.04µm
_1380_,13.04µm
_0126_,13.02µm
_1067_,12.96µm
_1302_,12.94µm
_0425_,12.92µm
_0962_,12.92µm
_1103_,12.92µm
_1504_,12.92µm
_1533_,12.92µm
_0734_,12.9µm
_0530_,12.88µm
_0717_,12.88µm
_0115_,12.84µm
_0160_,12.8µm
_1280_,12.8µm
_1146_,12.78µm
_1048_,12.76µm
_1350_,12.745µm
net38,12.74µm
_0756_,12.72µm
_1012_,12.72µm
_0215_,12.7µm
net46,12.7µm
_1041_,12.66µm
_0617_,12.64µm
_1051_,12.64µm
_1167_,12.58µm
_0860_,12.54µm
_0940_,12.54µm
_1054_,12.54µm
_1128_,12.54µm
_0365_,12.52µm
_0255_,12.5µm
_1289_,12.5µm
_0325_,12.46µm
_1459_,12.42µm
_0231_,12.4µm
Op_Sel[1],12.38µm
_0678_,12.38µm
_1073_,12.38µm
_0262_,12.36µm
_0174_,12.34µm
_0853_,12.34µm
CRT_Done,12.3µm
_0406_,12.26µm
_0702_,12.24µm
_0632_,12.23µm
_0749_,12.22µm
_0164_,12.2µm
_1594_,12.2µm
_0868_,12.18µm
_0933_,12.16µm
_1376_,12.16µm
_0465_,12.14µm
_1078_,12.12µm
_1451_,12.12µm
net20,12.12µm
net50,12.12µm
_0202_,12.1µm
_1038_,12.1µm
_0426_,12.04µm
_0206_,12µm
_1278_,12µm
_0195_,11.98µm
_0376_,11.98µm
_0608_,11.96µm
_1086_,11.92µm
_0389_,11.88µm
_0392_,11.88µm
_0864_,11.88µm
_0961_,11.88µm
_0916_,11.86µm
_0482_,11.8µm
_0288_,11.74µm
_1066_,11.74µm
_1526_,11.74µm
_0584_,11.72µm
_0154_,11.7µm
_1287_,11.7µm
_0948_,11.66µm
_1532_,11.66µm
_1209_,11.64µm
_0616_,11.62µm
_1018_,11.62µm
_0697_,11.6µm
_0856_,11.6µm
_1330_,11.6µm
_1468_,11.6µm
_0204_,11.58µm
_0751_,11.58µm
_1414_,11.57µm
_0140_,11.56µm
_0281_,11.56µm
_1399_,11.54µm
_0249_,11.5µm
_1227_,11.48µm
_0782_,11.46µm
_0928_,11.46µm
_1197_,11.46µm
_1049_,11.42µm
_1299_,11.42µm
_1116_,11.415µm
_0439_,11.4µm
_1418_,11.4µm
_1079_,11.385µm
_1314_,11.38µm
_1412_,11.375µm
_0434_,11.36µm
_0555_,11.32µm
_1357_,11.3µm
_0969_,11.26µm
ALU_Done_all,11.24µm
_0598_,11.24µm
_1191_,11.19µm
_0737_,11.16µm
_1024_,11.16µm
_1267_,11.16µm
_1188_,11.12µm
net19,11.1µm
_0327_,11.08µm
_0543_,11.04µm
_1131_,11.04µm
