net,length_um
net36,2.175655mm
_0383_,1.041185mm
clknet_0_clk,720.06µm
_0553_,414.3µm
_0911_,369.48µm
clknet_3_6__leaf_clk,362.4µm
_0912_,355.27µm
clknet_3_2__leaf_clk,351.9µm
Encode_EN,327.3µm
_0187_,319.79µm
clknet_3_0__leaf_clk,309.905µm
OpSel_reg\[0\],298.805µm
clknet_3_3__leaf_clk,294.12µm
clknet_3_1__leaf_clk,293µm
a_r3\[3\],280.79µm
_0910_,265.155µm
clknet_3_7__leaf_clk,263.675µm
clk,247.95µm
_0185_,237.36µm
B_reg\[1\],232.2µm
_0188_,230.32µm
clknet_3_4__leaf_clk,221.3µm
B_reg\[2\],215.4µm
A_reg\[0\],213.37µm
clknet_3_5__leaf_clk,194.99µm
A_reg\[6\],194.4µm
A_reg\[11\],194.21µm
A_reg\[1\],191.595µm
A_reg\[3\],190.02µm
net34,189.76µm
_0186_,188.68µm
net33,186.5µm
B_reg\[4\],184.94µm
CRT_Start,181.5µm
A_reg\[9\],178.14µm
A_reg\[4\],177.72µm
B_reg\[5\],175.6µm
A_reg\[10\],171.92µm
A_reg\[2\],168.2µm
net237,167.4µm
B_reg\[3\],163.7µm
_0184_,159.485µm
b_r1\[0\],159.345µm
a_r3\[0\],154.3µm
A_reg\[8\],154.155µm
_0554_,152.58µm
A_reg\[7\],151.88µm
a_r1\[0\],150.73µm
B_reg\[8\],145.76µm
A_reg\[5\],141.49µm
net17,140.72µm
a_r2\[0\],138.29µm
net178,137.7µm
B_reg\[6\],137.18µm
a_r3\[2\],134.92µm
net73,133.9µm
B_reg\[7\],133.535µm
A_reg\[13\],125.57µm
net9,120.1µm
a_r3\[1\],117.385µm
net10,116.88µm
_0604_,116.3µm
net11,115.76µm
net8,113.54µm
b_r3\[1\],109.74µm
net12,109.58µm
net71,105.54µm
net37,103.1µm
net72,102µm
_0892_,101.36µm
_0903_,98.42µm
_0580_,97.66µm
b_r2\[2\],97.27µm
_0889_,97.18µm
a_r1\[2\],95.68µm
B_reg\[0\],94.7µm
b_r1\[2\],94.38µm
_1354_,94.18µm
net35,93.52µm
_0900_,92.6µm
_0564_,91.43µm
b_r0\[0\],91.21µm
a_r1\[1\],91.065µm
_0628_,89.42µm
_0778_,89.06µm
_0901_,88.84µm
_0890_,87.98µm
_0574_,86.3µm
B_reg\[9\],84.91µm
_0743_,84.825µm
_0891_,84µm
OpSel_reg\[1\],83.8µm
_0902_,83.58µm
net13,83.44µm
net1,83.22µm
net234,83.2µm
_0573_,82.88µm
_0894_,82.16µm
b_r2\[0\],81.96µm
_0732_,81.22µm
_0899_,81.18µm
_0907_,80.34µm
_0561_,78.8µm
a_r2\[1\],76.35µm
net80,76.18µm
_1352_,75.84µm
A_reg\[15\],75.52µm
A_reg\[14\],74.84µm
B_reg\[11\],74.615µm
_0469_,74.52µm
b_r3\[0\],74.26µm
net54,74.26µm
B_reg\[12\],74.155µm
b_r0\[1\],73.93µm
net52,73.42µm
b_r2\[1\],73.06µm
_0673_,72.88µm
A_reg\[12\],71.74µm
_0909_,71.3µm
B_reg\[10\],70.98µm
_0624_,70.96µm
_0579_,70.68µm
_1546_,70µm
X_crt\[4\],69.9µm
u_crt.start_d,68.06µm
net58,67.46µm
_0422_,67.24µm
_1387_,65.9µm
_0803_,65.86µm
_0858_,65.76µm
a_r0\[0\],65.26µm
a_r2\[2\],65.21µm
_0234_,64.3µm
B_reg\[14\],64.16µm
_0798_,62.96µm
b_r1\[1\],62µm
_0790_,60.86µm
u_crt.r3\[2\],60.8µm
_1388_,60.32µm
net242,60.14µm
CU_state_dbg\[2\],60.08µm
net81,59.58µm
net78,59.14µm
_0307_,58.68µm
_0387_,58.575µm
_0888_,58.56µm
_0777_,57.64µm
_1160_,57.12µm
B_reg\[13\],56.84µm
_0848_,56.62µm
B_reg\[15\],55.505µm
net60,54.805µm
_0571_,54.1µm
net28,53.9µm
_1159_,53.32µm
_0612_,53.2µm
_0607_,52.79µm
_1315_,52.72µm
_0563_,52.48µm
_0623_,52.26µm
_0841_,52.14µm
_1343_,51.96µm
net55,51.72µm
_1324_,51.56µm
_0767_,51.36µm
_0232_,51.14µm
_0897_,50.2µm
_1544_,50µm
_0409_,49.48µm
b_r3\[3\],49.29µm
_1011_,49.2µm
_0854_,49.09µm
_0722_,48.92µm
u_crt.r3\[0\],48.74µm
_0453_,48.52µm
_1186_,48.27µm
_0850_,48.26µm
_0111_,48.24µm
_0906_,47.84µm
CU_state_dbg\[1\],47.5µm
_0904_,46.88µm
_1071_,45.21µm
_1322_,43.5µm
_0908_,43.48µm
u_crt.r3\[3\],42.96µm
_0268_,42.88µm
_0972_,42.82µm
_1332_,42.8µm
_0974_,42.76µm
_1336_,42.68µm
_1156_,42.36µm
_0688_,42.22µm
_1500_,41.93µm
_0847_,41.72µm
net56,41.33µm
_0706_,41.26µm
_0799_,40.94µm
_0905_,40.9µm
_0142_,40.86µm
_0216_,40.84µm
a_r0\[1\],40.48µm
_1207_,40.4µm
u_crt.r2\[0\],40.335µm
_0914_,40.32µm
_0724_,40.3µm
_0175_,40.12µm
X_crt\[9\],39.96µm
_0895_,39.74µm
u_crt.r1\[1\],39.32µm
_0423_,38.86µm
_0681_,38.78µm
_0105_,38.58µm
_0611_,38.49µm
_1307_,38.27µm
_1155_,38.14µm
_0566_,37.9µm
u_crt.r3\[1\],37.58µm
_1199_,37.4µm
u_crt.r2\[1\],37.38µm
_1555_,37.22µm
_0436_,37.18µm
_1499_,37.12µm
_1176_,37.02µm
_0411_,36.88µm
_1415_,36.88µm
b_r3\[2\],36.82µm
_0613_,36.7µm
_0977_,36.56µm
_0420_,36.32µm
_1474_,36.29µm
_1592_,36.14µm
_1218_,35.92µm
_0558_,35.9µm
_1570_,35.82µm
_1356_,35.68µm
_0834_,35.66µm
_1452_,35.48µm
_0923_,35.42µm
_1440_,35.34µm
net29,35.12µm
_0826_,35.08µm
_1134_,34.965µm
_0143_,34.62µm
_0586_,34.57µm
_0575_,34.42µm
_1439_,34.3µm
_1431_,34.18µm
_0346_,34.16µm
_0872_,34.12µm
_0384_,33.96µm
_0827_,33.86µm
_1022_,33.8µm
_1090_,33.6µm
_0122_,33.58µm
_0129_,33.52µm
_0341_,33.41µm
net4,33.4µm
_0435_,33.28µm
_1506_,33.22µm
_0408_,33.04µm
_0258_,33.02µm
_0108_,32.92µm
_0815_,32.755µm
_0610_,32.54µm
_0832_,32.46µm
_1516_,32.46µm
_1140_,32.38µm
u_crt.r2\[2\],32µm
_1487_,31.985µm
_0493_,31.78µm
_1194_,31.68µm
X_crt\[5\],31.62µm
_0471_,31.58µm
_0525_,31.54µm
_1255_,31.375µm
u_crt.r1\[2\],31.34µm
_0168_,31.22µm
_1168_,31.2µm
_0562_,31.08µm
_0224_,30.8µm
_1589_,30.74µm
_0960_,30.72µm
_1601_,30.72µm
_0320_,30.66µm
_0805_,30.64µm
_0421_,30.54µm
net53,30.5µm
_0297_,30.42µm
_0761_,30.42µm
net23,30.4µm
u_crt.r1\[0\],30.34µm
_0718_,30.24µm
net123,30.08µm
_0306_,30µm
_1047_,30µm
_0542_,29.84µm
net203,29.74µm
_1345_,29.68µm
_0622_,29.62µm
_0321_,29.54µm
_0461_,29.52µm
_0483_,29.5µm
_0313_,29.345µm
