Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_13-58-12/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
      410 |       0 |     197 |      112 |      0 |   102 |   -7.825 |     -156.1 |     39 | _3238_/D
      420 |       0 |     205 |      114 |      0 |   103 |   -7.825 |     -155.3 |     39 | _3238_/D
      430 |       0 |     211 |      114 |      0 |   107 |   -7.825 |     -155.1 |     39 | _3238_/D
      440 |       0 |     216 |      118 |      0 |   110 |   -7.825 |     -154.7 |     39 | _3238_/D
      450 |       0 |     220 |      124 |      0 |   113 |   -7.825 |     -155.1 |     39 | _3238_/D
      452 |       0 |     196 |      117 |      0 |   101 |   -7.801 |     -156.2 |     39 | _3238_/D
      460 |       0 |     201 |      117 |      0 |   103 |   -7.801 |     -155.8 |     39 | _3238_/D
      470 |       0 |     207 |      119 |      0 |   106 |   -7.801 |     -156.1 |     39 | _3238_/D
      476 |       0 |     207 |      120 |      0 |   103 |   -7.801 |     -155.6 |     39 | _3238_/D
      480 |       0 |     209 |      120 |      0 |   104 |   -7.801 |     -156.0 |     39 | _3238_/D
      490 |       0 |     214 |      126 |      0 |   106 |   -7.801 |     -155.9 |     39 | _3238_/D
      490 |       0 |     213 |      126 |      0 |   105 |   -7.801 |     -155.2 |     39 | _3238_/D
      494 |       0 |     215 |      126 |      0 |   105 |   -7.801 |     -155.1 |     39 | _3238_/D
      499 |       0 |     215 |      126 |      0 |   105 |   -7.801 |     -155.1 |     39 | _3238_/D
      500 |       0 |     215 |      126 |      0 |   105 |   -7.801 |     -155.1 |     39 | _3238_/D
      503 |       0 |     215 |      126 |      0 |   106 |   -7.801 |     -155.1 |     39 | _3238_/D
      510 |       0 |     220 |      126 |      0 |   107 |   -7.801 |     -155.4 |     39 | _3238_/D
      513 |       0 |     219 |      127 |      0 |   107 |   -7.801 |     -155.2 |     39 | _3238_/D
      520 |       0 |     224 |      129 |      0 |   107 |   -7.825 |     -155.1 |     39 | _3238_/D
      530 |       0 |     233 |      131 |      0 |   107 |   -7.825 |     -154.5 |     39 | _3238_/D
      540 |       0 |     241 |      133 |      0 |   108 |   -7.825 |     -154.0 |     39 | _3238_/D
      550 |       0 |     248 |      137 |      0 |   109 |   -7.834 |     -153.7 |     39 | _3238_/D
      560 |       0 |     252 |      137 |      0 |   115 |   -7.834 |     -153.9 |     39 | _3238_/D
      564 |       0 |     226 |      132 |      0 |   107 |   -7.801 |     -155.2 |     39 | _3238_/D
      570 |       0 |     230 |      132 |      0 |   108 |   -7.801 |     -155.9 |     39 | _3238_/D
      575 |       0 |     232 |      134 |      0 |   109 |   -7.801 |     -155.6 |     39 | _3238_/D
      578 |       0 |     232 |      134 |      0 |   109 |   -7.801 |     -155.6 |     39 | _3238_/D
      580 |       0 |     233 |      134 |      0 |   109 |   -7.824 |     -155.7 |     39 | _3238_/D
      590 |       0 |     242 |      136 |      0 |   109 |   -7.825 |     -154.9 |     39 | _3238_/D
      600 |       0 |     250 |      138 |      0 |   110 |   -7.825 |     -154.9 |     39 | _3238_/D
      610 |       0 |     259 |      140 |      0 |   110 |   -7.834 |     -154.5 |     39 | _3238_/D
      620 |       0 |     267 |      144 |      0 |   110 |   -7.834 |     -154.1 |     39 | _3238_/D
      629 |       0 |     240 |      141 |      0 |   109 |   -7.801 |     -155.6 |     39 | _3238_/D
      630 |       0 |     240 |      141 |      0 |   109 |   -7.801 |     -155.6 |     39 | _3238_/D
      640 |       0 |     248 |      143 |      0 |   110 |   -7.801 |     -154.2 |     39 | _3238_/D
      650 |       0 |     254 |      145 |      0 |   113 |   -7.801 |     -153.3 |     39 | _3238_/D
      660 |       0 |     258 |      147 |      0 |   118 |   -7.801 |     -152.9 |     39 | _3238_/D
      670 |       0 |     264 |      149 |      0 |   121 |   -7.801 |     -153.1 |     39 | _3238_/D
      680 |       0 |     273 |      149 |      0 |   122 |   -7.801 |     -152.7 |     39 | _3238_/D
      690 |       0 |     280 |      151 |      0 |   124 |   -7.801 |     -152.8 |     39 | _3238_/D
      700 |       0 |     283 |      153 |      0 |   130 |   -7.801 |     -152.4 |     39 | _3238_/D
      710 |       0 |     288 |      155 |      0 |   134 |   -7.801 |     -148.1 |     39 | _3238_/D
      720 |       0 |     295 |      157 |      0 |   136 |   -7.801 |     -147.9 |     39 | _3238_/D
      730 |       0 |     302 |      157 |      0 |   139 |   -7.801 |     -146.7 |     39 | _3238_/D
      740 |       0 |     307 |      159 |      0 |   143 |   -7.801 |     -146.3 |     39 | _3238_/D
      750 |       0 |     315 |      159 |      0 |   145 |   -7.801 |     -146.5 |     39 | _3238_/D
      760 |       0 |     320 |      165 |      0 |   147 |   -7.801 |     -146.9 |     39 | _3238_/D
      761 |       0 |     316 |      163 |      0 |   145 |   -7.801 |     -146.4 |     39 | _3238_/D
      765 |       0 |     317 |      163 |      0 |   145 |   -7.801 |     -146.3 |     39 | _3238_/D
      770 |       0 |     319 |      167 |      0 |   145 |   -7.801 |     -146.5 |     39 | _3238_/D
      780 |       0 |     327 |      171 |      0 |   145 |   -7.801 |     -146.6 |     39 | _3238_/D
      780 |       0 |     323 |      167 |      0 |   145 |   -7.801 |     -146.3 |     39 | _3238_/D
      784 |       0 |     323 |      168 |      0 |   145 |   -7.801 |     -146.3 |     39 | _3238_/D
      788 |       0 |     323 |      168 |      0 |   145 |   -7.801 |     -146.3 |     39 | _3238_/D
      790 |       0 |     324 |      168 |      0 |   145 |   -7.801 |     -146.1 |     39 | _3238_/D
      800 |       0 |     332 |      168 |      0 |   147 |   -7.801 |     -145.3 |     39 | _3238_/D
      810 |       0 |     340 |      168 |      0 |   149 |   -7.801 |     -145.3 |     39 | _3238_/D
      820 |       0 |     345 |      172 |      0 |   152 |   -7.801 |     -144.9 |     39 | _3238_/D
      830 |       0 |     352 |      174 |      0 |   154 |   -7.801 |     -144.8 |     39 | _3238_/D
      840 |       0 |     358 |      178 |      0 |   156 |   -7.801 |     -145.1 |     39 | _3238_/D
      850 |       0 |     361 |      180 |      0 |   162 |   -7.801 |     -145.0 |     39 | _3238_/D
      860 |       0 |     366 |      182 |      0 |   166 |   -7.801 |     -144.5 |     39 | _3238_/D
      870 |       0 |     368 |      191 |      0 |   170 |   -7.801 |     -145.2 |     39 | _3238_/D
      880 |       0 |     373 |      194 |      0 |   174 |   -7.801 |     -145.8 |     39 | _3238_/D
      890 |       0 |     382 |      194 |      0 |   175 |   -7.801 |     -145.4 |     39 | _3238_/D
      900 |       0 |     387 |      194 |      0 |   180 |   -7.801 |     -145.7 |     39 | _3238_/D
      910 |       0 |     390 |      199 |      0 |   185 |   -7.801 |     -145.7 |     39 | _3238_/D
      911 |       0 |     374 |      194 |      0 |   172 |   -7.801 |     -145.0 |     39 | _3238_/D
      920 |       0 |     381 |      197 |      0 |   172 |   -7.801 |     -145.4 |     39 | _3238_/D
      930 |       0 |     391 |      197 |      0 |   172 |   -7.801 |     -145.4 |     39 | _3238_/D
      940 |       0 |     395 |      204 |      1 |   174 |   -7.801 |     -145.6 |     39 | _3238_/D
      940 |       0 |     379 |      198 |      0 |   172 |   -7.801 |     -145.0 |     39 | _3238_/D
      950 |       0 |     386 |      201 |      0 |   173 |   -7.801 |     -145.4 |     39 | _3238_/D
      960 |       0 |     396 |      201 |      0 |   173 |   -7.801 |     -145.4 |     39 | _3238_/D
      969 |       0 |     384 |      202 |      0 |   172 |   -7.801 |     -145.0 |     39 | _3238_/D
      970 |       0 |     384 |      202 |      0 |   172 |   -7.801 |     -145.0 |     39 | _3238_/D
      980 |       0 |     392 |      204 |      0 |   173 |   -7.801 |     -144.0 |     39 | _3238_/D
      990 |       0 |     401 |      204 |      0 |   174 |   -7.802 |     -143.5 |     39 | _3238_/D
     1000 |       0 |     408 |      204 |      0 |   177 |   -7.802 |     -142.7 |     39 | _3238_/D
     1010 |       0 |     410 |      204 |      0 |   185 |   -7.803 |     -142.3 |     39 | _3238_/D
     1020 |       0 |     415 |      206 |      0 |   189 |   -7.803 |     -141.6 |     39 | _3238_/D
     1030 |       0 |     421 |      208 |      0 |   192 |   -7.816 |     -141.4 |     39 | _3238_/D
